,Unnamed: 0,Label,Unnamed: 0.1,cosine,req1,req1Id,req1Priority,req1Product,req1Release,req1Severity,req1Type,req1Ver,req2,req2Id,req2Priority,req2Product,req2Release,req2Severity,req2Type,req2Ver
1494,434,1,434.0,0.20412414523193154,stuff we can remove now that xul extension are no longer supported,1387013,P5,Firefox,---,normal,enhancement,Trunk,remove deprecated opentopwin function,1387720,--,Firefox,Firefox 57,normal,enhancement,Trunk
4721,551,1,551.0,0.18257418583505536,opening preference is slow even on fast machine,1425398,--,Firefox,---,normal,enhancement,Trunk,create talos test for loading preference,1425676,P3,Firefox,---,normal,enhancement,unspecified
3094,,0,,,figure out localization strategy for cfr,1484724,,Firefox,,,,,add localized doorhanger frecency targeting and bug fix to activity stream,1487538,,Firefox,,,,
913,1502,1,1502.0,0.43301270189221935,update photon download toolbar icon progressbar to fill horizontally,1375309,P1,Firefox,Firefox 56,normal,enhancement,unspecified,add new photon themed download icon,1371834,P1,Firefox,Firefox 56,normal,enhancement,unspecified
1499,731,1,731.0,0.4472135954999579,top site search shortcut,1479806,--,Firefox,---,normal,enhancement,unspecified,uplift top search feature to firefox,1482398,P1,Firefox,Firefox 62,normal,enhancement,unspecified
384,2082,1,2082.0,0.18257418583505536,update overlay tourset icon and illustration,1374573,P1,Firefox,Firefox 56,normal,enhancement,unspecified,ux new user tour overlay ux spec,1354707,P1,Firefox,Firefox 55,normal,enhancement,54 Branch
4760,2373,1,2373.0,0.4045199174779453,add restore default button to home,1434751,P3,Firefox,Firefox 63,normal,enhancement,Trunk,add new home / new tab page preference section for default / blank / custom / add on,1417155,P1,Firefox,Firefox 61,normal,enhancement,58 Branch
97,353,1,353.0,0.18257418583505536,photon improve perceived ui performance in firefox,1363750,--,Firefox,---,normal,enhancement,unspecified,photon opening any of primary menu should be fast,1363748,--,Firefox,---,normal,enhancement,unspecified
2766,3749,0,,0.0,browser error report missing available path info,1445011,--,Firefox,Firefox 61,normal,enhancement,Trunk,implement asr = cfr doorhanger ui binding,1484034,P1,Firefox,Firefox 63,normal,enhancement,unspecified
243,624,1,624.0,0.0,investigate if we can remove itemid aka parentid from placesinsertionpoint,1457131,P3,Firefox,---,normal,enhancement,Trunk,figure out what do to with candrop with respect to sync v async,1382992,P3,Firefox,---,normal,enhancement,unspecified
4631,13117,0,,0.0,add close button to overflow tab menu,1550578,--,Firefox,---,normal,enhancement,66 Branch,enterprise policy should be able to opt out of extended triplet,1573932,--,Firefox,Firefox 70,normal,enhancement,unspecified
594,4686,0,,0.0,stop shipping communicator cs,1426426,P3,Firefox,Firefox 62,normal,enhancement,Trunk,option to reload app tab when firefox is started,669070,--,Firefox,---,normal,enhancement,5 Branch
2480,,0,,,make it possible to activate browser toolbar overflow panel from keyboard,1515543,,Firefox,,,,,improve keyboard accessibility of toolbar and it button,1418973,,Firefox,,,,
928,1624,0,,0.0,remove use of document formatvalues in aboutdialog j,1518220,P3,Firefox,Firefox 66,normal,enhancement,Trunk,add and help button to static hamburger menu,1354120,--,Firefox,---,normal,enhancement,Trunk
780,9437,0,,0.0,preference should contain customize,1418017,P5,Firefox,---,normal,enhancement,57 Branch,collect rich icon in contentlinkhandler,1352459,P2,Firefox,Firefox 57,normal,enhancement,unspecified
2331,7837,0,,0.0,enable launcher process by default on nightly,1488554,P1,Firefox,Firefox 64,normal,enhancement,Trunk,mac o implementation of new rdf datasource interface,106077,P3,Firefox,---,normal,enhancement,unspecified
2584,6746,0,,0.0,export add fix for pocket double adding spocs remove amazon cfr metadata to activity stream,1504864,P1,Firefox,Firefox 65,normal,enhancement,unspecified,record additional event telemetry on user interaction with permission prompt,1536454,P1,Firefox,Firefox 68,normal,enhancement,unspecified
1163,7339,0,,0.0,label cryptomining and fingerprinting a experimental in about preference,1529654,P2,Firefox,---,normal,enhancement,unspecified,drag and drop tab between window,412573,--,Firefox,---,normal,enhancement,unspecified
2081,1376,1,1376.0,0.6123724356957946,security testing of new cert error page,1492750,--,Firefox,---,normal,enhancement,unspecified,improve cert error page,1442203,P3,Firefox,---,normal,enhancement,unspecified
1420,1406,1,1406.0,0.149071198499986,investigate icon that load during startup but aren displayed,1363059,P1,Firefox,Firefox 56,normal,enhancement,unspecified,run browser startup image j on double device pixel ratio,1390874,--,Firefox,Firefox 57,normal,enhancement,unspecified
2563,1473,0,,0.0,consider removing timer jsm,1357731,--,Firefox,---,normal,enhancement,52 Branch,remove use of document formatvalues in aboutdialog j,1518220,P3,Firefox,Firefox 66,normal,enhancement,Trunk
1795,2526,1,2526.0,0.4780914437337575,make new confirm dialog for clearing all site data that allows you to clear cache,1422163,P1,Firefox,Firefox 60,normal,enhancement,58 Branch,clear site data dialog should remember checkbox value,1463114,P3,Firefox,---,normal,enhancement,unspecified
674,,0,,,experiment with lowering frame rate on low end device,1503339,,Firefox,,,,,firefox performance adjustment set up mechanism for various part of firefox to adapt based on machine performance characteristic,1480167,,Firefox,,,,
3866,,0,,,recordcontentblockingtelemetry shouldn be called in initplaces in nsbrowserglue j,1522794,,Firefox,,,,,telemetry for content blocking,1484251,,Firefox,,,,
719,,0,,,add downloads button to library panel,1354532,,Firefox,,,,,create library button to show recent bookmark recent downloads history synced tab screenshots and pocket list,1352110,,Firefox,,,,
1743,1189,1,1189.0,0.3651483716701107,cache layout information needed in positionpinnedtabs,1354789,--,Firefox,Firefox 55,normal,enhancement,Trunk,avoid layout flush and invalidation loop in positionpinnedtabs,1354782,--,Firefox,Firefox 55,normal,enhancement,Trunk
2202,450,1,450.0,0.0,eslint fix violation of no unsanitized rule in browser/,1396737,--,Firefox,---,normal,enhancement,unspecified,eliminate innerhtml usage in extensioncontrolled j,1443810,--,Firefox,---,normal,enhancement,unspecified
2624,2153,1,2153.0,0.17677669529663687,create list section component for activity stream experiment functionality,1514020,P2,Firefox,---,normal,enhancement,unspecified,implement numbered d list item,1519873,P1,Firefox,Firefox 66,normal,enhancement,unspecified
2018,1234,1,1234.0,0.1111111111111111,add default only dark sponsored story and bug fix to activity stream,1454780,--,Firefox,Firefox 61,normal,enhancement,unspecified,add automated test for hover and `dismiss` top site tile,1410828,P3,Firefox,Firefox 61,normal,enhancement,unspecified
4868,1001,1,1001.0,0.3333333333333333,add scroll bar on right of tab list,939457,--,Firefox,---,normal,enhancement,Trunk,add close button to tab overflow menu,618791,--,Firefox,---,normal,enhancement,Trunk
549,6099,0,,0.0,synchronize plugin activation state preference,1129792,--,Firefox,---,normal,enhancement,Trunk,cs error spam in console property contained reference to invalid variable toolbarbutton height,1384581,P1,Firefox,Firefox 56,normal,enhancement,55 Branch
4482,,0,,,activity stream should use window context for fetch to support private browsing,1503364,,Firefox,,,,,private browsing with search,1501747,,Firefox,,,,
3708,11349,0,,0.0,make new confirm dialog for clearing all site data that allows you to clear cache,1422163,P1,Firefox,Firefox 60,normal,enhancement,58 Branch,stop using not target selector in svg for firefox ui,1358998,P3,Firefox,---,normal,enhancement,unspecified
459,,0,,,exclude default search url from topsites,1479478,,Firefox,,,,,top site search shortcut,1479806,,Firefox,,,,
2477,11273,0,,0.0,implement onbeforecommand function for customizableui that will run before command is executed,1382667,P1,Firefox,Firefox 56,normal,enhancement,unspecified,ui for storage access permission control center ui,1490813,P2,Firefox,Future,normal,enhancement,unspecified
4191,,0,,,add pin tab cfr targeting attribute,1528959,,Firefox,,,,,new ui for cfr template,1501815,,Firefox,,,,
1327,1425,1,1425.0,0.2886751345948129,add telemetry probe for serp ad click into core firefox,1495548,P1,Firefox,Firefox 65,normal,enhancement,Trunk,implement remotesettings for search provider telemetry probe,1511065,P3,Firefox,---,normal,enhancement,unspecified
2715,4780,0,,0.0,implement ability to move selection of tab into another window through drag and drop,1458056,P3,Firefox,Firefox 63,normal,enhancement,Trunk,port test in browser/components/customizableui/ to new address bar implementation quantumbar,1522438,P2,Firefox,Firefox 67,normal,enhancement,unspecified
1320,,0,,,remove sidebar preference and have gear open about preference,1432672,,Firefox,,,,,setting `toolkit cosmeticanimations enabled false` should disable slide in slide out animation of activity stream sidebar,1408133,,Firefox,,,,
2581,2479,1,2479.0,0.0,export add discovery preference optimized image and bug fix to activity stream,1543756,P2,Firefox,Firefox 68,enhancement,enhancement,unspecified,spocs need to use personaliation at least,1520890,P1,Firefox,Firefox 68,normal,enhancement,unspecified
1131,13089,0,,0.0,enable browser preference search preference to turn on in content filtering of preference,1353954,P1,Firefox,Firefox 56,normal,enhancement,55 Branch,add snippet targeting for total uris count,1483040,P3,Firefox,---,normal,enhancement,unspecified
2745,,0,,,add automated test for hover over top site tile,1410818,,Firefox,,,,,add automated test for activity stream functionality,1410333,,Firefox,,,,
73,5354,0,,0.0,upgrade babel to jsm plugins to support new chromeutils import style,1523739,--,Firefox,---,normal,enhancement,unspecified,desktop attribution on mac osx,1344771,P1,Firefox,Firefox 63,normal,enhancement,unspecified
429,,0,,,ux download button should only appear in toolbar when there are current or recent downloads,1369896,,Firefox,,,,,only show downloads button when necessary,1371765,,Firefox,,,,
3750,4556,0,,0.0,add snippet targeting for unique domain count,1483041,P3,Firefox,---,normal,enhancement,unspecified,investigate deferring javascript in browser xul until after mozbeforeinitialxullayout fire,1512674,P3,Firefox,---,normal,enhancement,unspecified
2576,2314,0,,0.0,add page title to about library,1538424,--,Firefox,---,normal,enhancement,unspecified,mark client a part of experiment for a long a experiment is enabled even if they unenroll,1555161,P3,Firefox,---,normal,enhancement,unspecified
2618,2453,1,2453.0,0.0,fix race condition between tabbrowser and tabbox constructor,1401846,P3,Firefox,---,normal,enhancement,unspecified,make gbrowser init more predictable by calling it from gbrowserinit prevent early access to gbrowser,1443849,P2,Firefox,Firefox 61,normal,enhancement,Trunk
4275,10128,0,,0.0,add auto hide option to download toolbar icon context menu,1452970,P3,Firefox,Firefox 62,normal,enhancement,60 Branch,land local default layout for discovery stream in,1543800,P1,Firefox,Firefox 68,normal,enhancement,unspecified
3328,4090,0,,0.0,disable stop / reload animation if stop / reload button are placed outside of nav bar,1382898,P1,Firefox,Firefox 57,normal,enhancement,unspecified,choose set of first run triplet card to show up,1570481,P1,Firefox,Firefox 70,normal,enhancement,unspecified
2024,1557,1,1557.0,0.0,pocket new tab mvp,1512725,P1,Firefox,---,normal,enhancement,unspecified,create endpoint for delivery of layout config and feed,1514880,P2,Firefox,Firefox 66,normal,enhancement,unspecified
1744,836,1,836.0,0.0,badging / feature callouts,1560987,P1,Firefox,---,normal,enhancement,unspecified,add badge/feature callout style that match design spec,1561537,P1,Firefox,Firefox 70,normal,enhancement,unspecified
3751,12246,0,,0.0,unexpected default pinned top search for various locale and region combination,1482633,P2,Firefox,---,normal,enhancement,unspecified,entering number or single word and then pressing enter in location bar should result in consistent user experience ux,1180329,P3,Firefox,---,normal,enhancement,39 Branch
718,1113,1,1113.0,0.298142396999972,update search shortcut and top site json to support desired search url,1482479,P1,Firefox,Firefox 63,normal,enhancement,unspecified,top search should be more like button not link,1482473,P1,Firefox,Firefox 63,normal,enhancement,unspecified
3170,2070,1,2070.0,0.1889822365046136,add test for sidebar persistence,1372398,P4,Firefox,---,normal,enhancement,unspecified,remove panel that open when clicking on sidebar toolbar button,1360282,P1,Firefox,Firefox 56,normal,enhancement,unspecified
675,4099,0,,0.0,linux implementation of new rdf datasource interface,106078,--,Firefox,---,normal,enhancement,unspecified,spell check recognizing lowercase a misspelling,508632,--,Firefox,---,normal,enhancement,unspecified
1834,694,1,694.0,0.0,modular re implementation of awesomebar result list,1477942,P3,Firefox,---,normal,enhancement,Trunk,rename querycontext to urlbarquerycontext,1520907,P3,Firefox,Firefox 66,normal,enhancement,unspecified
2740,5336,0,,0.0,replace can draw in titlebar with run time check,1450279,--,Firefox,Firefox 61,normal,enhancement,Trunk,create button to initiate migration to clean firefox profile,717070,--,Firefox,Firefox 13,normal,enhancement,Trunk
1701,,0,,,context menu redesigned new tab page should display context menu button for all discovery stream layout,1527642,,Firefox,,,,,context menu implement save to pocket and bookmark menu option inside pocket new tab,1527500,,Firefox,,,,
954,,0,,,port remaining urlbar test to quantumbar,1522489,,Firefox,,,,,port test in browser/components/sessionstore/ to new address bar implementation quantumbar,1522530,,Firefox,,,,
2077,9646,0,,0.0,create js/css file for about certificate page,1555118,P1,Firefox,Firefox 69,normal,enhancement,unspecified,accept non utm params in attribution,1515172,P1,Firefox,Firefox 70,normal,enhancement,66 Branch
1998,229,1,229.0,0.1543033499620919,add url bar based page action menu,1352697,P5,Firefox,---,normal,enhancement,53 Branch,add bookmark and add to pocket open standalone popups,1403891,P4,Firefox,---,normal,enhancement,57 Branch
3031,,0,,,create base lockwise card,1559418,,Firefox,,,,,add data to lockwise card,1559421,,Firefox,,,,
3984,3405,0,,0.0,customized download site based on attribution,1571826,--,Firefox,---,normal,enhancement,unspecified,star drop animation should be applied to bookmark menu button instead of or in addition to library button if bookmark menu button is added to toolbar,1407927,P5,Firefox,---,normal,enhancement,57 Branch
103,8698,0,,0.0,add pref to enable/disable what new panel feature,1561307,P1,Firefox,Firefox 69,normal,enhancement,unspecified,http anthentication warning box show up with href attribute but not with src attribute,371657,--,Firefox,---,normal,enhancement,unspecified
1942,241,1,241.0,0.5050762722761054,add url bar based page action menu,1352697,P5,Firefox,---,normal,enhancement,53 Branch,add add/remove context menu to different item in page action menu to add/remove them from location bar adding save to pocket by default,1363188,P1,Firefox,Firefox 57,normal,enhancement,unspecified
1241,441,1,441.0,0.12909944487358055,stuff we can remove now that xul extension are no longer supported,1387013,P5,Firefox,---,normal,enhancement,Trunk,stop wrapping whole browser window in deck remove tab view deck and browser panel,1430872,P3,Firefox,Firefox 59,normal,enhancement,Trunk
830,7566,0,,0.0,quantumbar history result show url instead of title,1520833,P1,Firefox,Firefox 66,normal,enhancement,Trunk,replace when firefox start section in about preference general with checkbox,1448971,P1,Firefox,Firefox 61,normal,enhancement,unspecified
1172,,0,,,flip photon structure pref on nightly to get automated test coverage a well a nightly visibility / user testing exposure,1372309,,Firefox,,,,,photon structural change to menus/toolbars/panels,1349210,,Firefox,,,,
89,,0,,,expose last session end timestamp to snippet,1431469,,Firefox,,,,,new targeting property / feature,1432662,,Firefox,,,,
3516,2248,1,2248.0,0.11952286093343935,export add discovery component search polish and bug fix to activity stream,1520691,P2,Firefox,Firefox 66,normal,enhancement,unspecified,add memoized selector to add feed data and spocs to layout,1520514,P1,Firefox,Firefox 66,normal,enhancement,unspecified
4320,1548,0,,0.0,add message center notification preference,1433240,P3,Firefox,---,normal,enhancement,Trunk,gather telemetry about tab warming,1430160,P3,Firefox,---,normal,enhancement,Trunk
2797,859,1,859.0,0.3779644730092272,desktop first run fx,1563345,P2,Firefox,---,normal,enhancement,unspecified,capture time spent on first run modal stage,1569208,P2,Firefox,---,normal,enhancement,unspecified
1656,1921,1,1921.0,0.4472135954999579,history should show which device accessed each url,1531224,P5,Firefox,---,normal,enhancement,unspecified,sync full history from all device,1516329,P3,Firefox,---,normal,enhancement,Trunk
821,,0,,,add basic monitoring for serp page with ad / serp ad click,1505411,,Firefox,,,,,add telemetry probe for serp ad click into core firefox,1495548,,Firefox,,,,
112,1023,1,1023.0,0.6396021490668313,grant storage access to party tracking resource on window open,1474651,--,Firefox,Firefox 63,normal,enhancement,unspecified,grant storage access to party tracking resource if opened document ha user interaction,1469993,--,Firefox,Firefox 63,normal,enhancement,unspecified
1626,1400,1,1400.0,0.0,don create about blank for initial browser,1362774,P1,Firefox,Firefox 65,normal,enhancement,unspecified,dom/html/test/test fullscreen api html frequently time out on linux opt/pgo after bug,1504062,--,Firefox,---,normal,enhancement,Trunk
3800,1654,1,1654.0,0.0,lazily load about preference markup from hidden pane,1520350,P1,Firefox,Firefox 67,normal,enhancement,Trunk,evaluate how we can avoid slowly regressing startup time/performance by doing more construction work for custom element than we used to do for xbl,1515799,P3,Firefox,---,normal,enhancement,Trunk
3770,1066,1,1066.0,0.2182178902359924,investigate uitour performance impact during window opening and closing,1349742,P1,Firefox,Firefox 55,normal,enhancement,unspecified,uninitializing uitour is expensive,1357710,P3,Firefox,---,normal,enhancement,unspecified
3629,2180,1,2180.0,0.0,photon structure qa tracking bug,1387512,P5,Firefox,---,normal,enhancement,57 Branch,add firefox account button to static hamburger menu,1354084,P1,Firefox,Firefox 55,normal,enhancement,Trunk
2878,718,1,718.0,0.16666666666666666,top site search shortcut,1479806,--,Firefox,---,normal,enhancement,unspecified,remove em dash from search string dropdown text when search query is empty,1480541,P3,Firefox,Firefox 63,normal,enhancement,unspecified
3139,,0,,,deprecate recent bookmark and pocket list from bookmark menu,1401238,,Firefox,,,,,photon structural change to menus/toolbars/panels,1349210,,Firefox,,,,
380,284,1,284.0,0.0,photon make firefox start more quickly,1355956,--,Firefox,---,normal,enhancement,unspecified,delay remote process initialization until after window is shown,1356561,--,Firefox,---,normal,enhancement,unspecified
1242,1773,1,1773.0,0.0,add localized doorhanger frecency targeting and bug fix to activity stream,1487538,--,Firefox,Firefox 63,normal,enhancement,unspecified,implment required telemetry for cfr metric in a router,1480099,P1,Firefox,Firefox 63,normal,enhancement,unspecified
463,1833,1,1833.0,0.4545454545454545,export add slowdown fix onboarding localization fix and client id for snippet to activity stream,1496092,P2,Firefox,Firefox 64,normal,enhancement,unspecified,export add locale targeting asr onboarding/user pref fix test fix to activity stream,1494427,P1,Firefox,Firefox 64,normal,enhancement,unspecified
819,10810,0,,0.0,right click on tab submenu open tab in new window,433557,--,Firefox,---,normal,enhancement,unspecified,float prototype jsx bundle build,1459690,P3,Firefox,---,normal,enhancement,unspecified
4389,670,1,670.0,0.6681531047810609,restrict access of third party tracker to their cookie jar,1473978,P3,Firefox,---,normal,enhancement,unspecified,ui for restricted cookie access for third party tracker in preference,1475097,P3,Firefox,---,normal,enhancement,63 Branch
4014,946,1,946.0,0.15811388300841894,allow multiselect operation on tab,1458007,--,Firefox,---,normal,enhancement,Trunk,implement ability to move tab to start or end of tabstrip using context menu,1460017,P5,Firefox,---,normal,enhancement,Trunk
1189,102,1,102.0,0.0,photon improvement to first run experience,1349422,--,Firefox,---,normal,enhancement,unspecified,implement new automigration ui,1361283,P5,Firefox,---,normal,enhancement,unspecified
3676,,0,,,introduce pref that allows for disabling animation toolkit cosmeticanimations enabled,1352069,,Firefox,,,,,photon firefox animation improvement,1349423,,Firefox,,,,
2984,,0,,,allow enable/disable via asr devtools,1500073,,Firefox,,,,,export add end of year snippet contextual feature recommender preference and bug fix to activity stream,1500540,,Firefox,,,,
35,10792,0,,0.0,don attempt to reopen result panel when it already open,1512824,P1,Firefox,Firefox 66,normal,enhancement,Trunk,fix cfr admin page cfr and add preview method,1486931,--,Firefox,Firefox 63,normal,enhancement,unspecified
409,,0,,,create card section component for activity stream experiment functionality,1514022,,Firefox,,,,,pocket new tab mvp,1512725,,Firefox,,,,
2245,1638,1,1638.0,0.4082482904638631,disable search hand off in release,1516045,P1,Firefox,Firefox 66,normal,enhancement,unspecified,add search hand off pref to firefox j,1516044,P1,Firefox,Firefox 66,normal,enhancement,unspecified
2108,,0,,,add automated test for bookmark can be removed from library,1423137,,Firefox,,,,,add automated test for bookmark functionality,1419383,,Firefox,,,,
1797,8340,0,,0.0,hard to find processor intensive tab among many tab,380521,--,Firefox,---,normal,enhancement,unspecified,directorylinksprovider is started too early during startup,1370930,--,Firefox,Firefox 60,normal,enhancement,Trunk
1031,7228,0,,0.0,enhancement user should be redirected directly to firefox monitor website after clicking get monitor button if he is already logged in to firefox sync,1573165,P1,Firefox,---,normal,enhancement,Trunk,port search suggestion notification to new urlbarview panel,1491247,P3,Firefox,---,normal,enhancement,Trunk
3083,2015,1,2015.0,0.0,trailhead desktop first run,1545802,P1,Firefox,Firefox 67,major,enhancement,unspecified,use branding ftl to allow onboardingmessageprovider jsm to use new string,1549906,P1,Firefox,Firefox 68,normal,enhancement,unspecified
2686,2074,1,2074.0,0.14433756729740646,only upper half of button can be clicked in onboarding tour,1373612,P1,Firefox,---,normal,enhancement,unspecified,polish onboarding overlay ui to align with new visual spec,1370459,P1,Firefox,Firefox 56,normal,enhancement,unspecified
1952,,0,,,ux save to pocket should have associated animation,1355923,,Firefox,,,,,save to pocket should have associated animation,1355922,,Firefox,,,,
1800,137,1,137.0,0.16666666666666666,photon update product messaging with appropriate tone,1351268,--,Firefox,---,normal,enhancement,Trunk,ux about addons extension content and design update,1356548,P1,Firefox,Firefox 57,normal,enhancement,unspecified
2305,802,1,802.0,0.4,too many restyles when opening new tab,1519366,--,Firefox,---,normal,enhancement,unspecified,prototype new tab opening/closing animation,1355588,P4,Firefox,Firefox 67,normal,enhancement,55 Branch
3183,,0,,,photon update sidebar tree styling on linux,1377003,,Firefox,,,,,restyle history sidebar to match photon spec,1355326,,Firefox,,,,
2759,232,1,232.0,0.0,add url bar based page action menu,1352697,P5,Firefox,---,normal,enhancement,53 Branch,update panelmultiview subviews to match photon design,1353360,P1,Firefox,Firefox 55,normal,enhancement,53 Branch
368,9562,0,,0.0,consolidate logic for owner/relatedtab/relatedtocurrent/aopenerbrowser for tab,1455264,P2,Firefox,---,normal,enhancement,Trunk,move save to pocket from context menu onto article card,1463466,P1,Firefox,---,normal,enhancement,60 Branch
4230,4260,0,,0.0,retrieve `deviceid` parameter from fxa metric endpoint and append a additional query parameter for fxa flow,1550566,P1,Firefox,Firefox 68,normal,enhancement,unspecified,need way to know if browser is displaying webpayments dialog,1477378,--,Firefox,---,normal,enhancement,Trunk
460,7232,0,,0.0,cs selector showing pageactionseparator is pretty inefficient,1479426,P1,Firefox,Firefox 63,normal,enhancement,Trunk,on navigation to another shentry we ought to recollect previously current shentry a well to catch layouthistorystate,1350567,--,Firefox,---,normal,enhancement,unspecified
3651,496,1,496.0,0.3872983346207417,add automated test for activity stream functionality,1410333,--,Firefox,---,normal,enhancement,unspecified,add automated test for top site context menu user tile edit,1441570,P2,Firefox,---,normal,enhancement,unspecified
4805,1886,1,1886.0,0.12909944487358055,move syncedtabs string from browser dtd to fluent,1523761,P2,Firefox,Firefox 68,normal,enhancement,Trunk,add elipsis after connect another device and stop relying on synced tab string,1536633,--,Firefox,Firefox 68,normal,enhancement,67 Branch
787,1602,1,1602.0,0.0,pocket new tab mvp,1512725,P1,Firefox,---,normal,enhancement,unspecified,top site header component usage,1521615,P1,Firefox,Firefox 66,normal,enhancement,unspecified
487,5048,0,,0.0,control click on button should open reply in new window,301126,--,Firefox,---,normal,enhancement,unspecified,enable multiselect tab feature by default for release and beta build,1474938,P3,Firefox,Firefox 64,normal,enhancement,Trunk
2223,1134,1,1134.0,0.26967994498529685,firefox preference ui for webvr feature,1352418,--,Firefox,---,normal,enhancement,unspecified,add ui to firefox allowing user to enable or disable gamepad haptic feedback vibration,1352412,--,Firefox,---,normal,enhancement,unspecified
838,5632,0,,0.16666666666666666,security review return to amo,1472197,--,Firefox,Firefox 64,normal,enhancement,64 Branch,add security warning when downloading from http site especially when initiator page is http,1444658,--,Firefox,---,normal,enhancement,unspecified
2091,,0,,,sync list of downloads but not sync downloaded item,530402,,Firefox,,,,,potential data type to sync,530399,,Firefox,,,,
2384,3125,0,,0.0,enhancement remove or further enhance in content search arrow,1517745,P1,Firefox,Firefox 66,normal,enhancement,Trunk,shipping compact new tab page view by default,1369287,P1,Firefox,Firefox 56,normal,enhancement,unspecified
1822,2189,1,2189.0,0.0,photon structure qa tracking bug,1387512,P5,Firefox,---,normal,enhancement,57 Branch,add find in page and help button to static hamburger menu,1354119,P1,Firefox,Firefox 55,normal,enhancement,Trunk
996,117,1,117.0,0.25,photon firefox animation improvement,1349423,--,Firefox,---,normal,enhancement,unspecified,save to pocket should have associated animation,1355922,P1,Firefox,Firefox 56,normal,enhancement,55 Branch
2140,7658,0,,0.0,don merge or start transaction when applying buffer if nothing changed,1408092,P1,Firefox,Firefox 60,normal,enhancement,unspecified,server not found error message should check network offline state and have more generic you re not connected to internet message if there is no network,1195478,P3,Firefox,---,normal,enhancement,40 Branch
3760,7335,0,,0.0,write basic query context and address bar controller class,1487125,P1,Firefox,Firefox 64,normal,enhancement,Trunk,sitedatamanager jsm should have unit/xpcshell test,1439547,P2,Firefox,---,normal,enhancement,60 Branch
2139,9131,0,,0.0,remove rfc encoding support for http header field parameter,601933,--,Firefox,---,normal,enhancement,unspecified,flip stp pref based on custom tracker protection in all window,1571531,P1,Firefox,Firefox 70,normal,enhancement,70 Branch
3347,,0,,,add ability to place snippet below activity stream search box,1543686,,Firefox,,,,,special fxa snippet on new tab for firefox,1548042,,Firefox,,,,
2124,,0,,,test that usercontextid is properly added to querycontext,1533038,,Firefox,,,,,identify which old autocomplete test should be ported,1529927,,Firefox,,,,
3261,5374,0,,0.0,save and restore pinch zoom document resolution,1525259,P3,Firefox,---,normal,enhancement,unspecified,extend moz favicons with guid column to support sync,675996,--,Firefox,Firefox 11,normal,enhancement,Trunk
3295,521,1,521.0,0.5962847939999439,add automated test for bookmark functionality,1419383,P5,Firefox,---,normal,enhancement,unspecified,add automated test for bookmark folder can be cut/copied via context menu,1439906,P2,Firefox,---,normal,enhancement,unspecified
1372,6427,0,,0.0,consider fixing server bookmark inconsistency at merge time or rejecting invalid tree,1433512,P3,Firefox,---,normal,enhancement,unspecified,replace window queryinterface ci nsidocshell usage with window document docshell,1446940,P3,Firefox,Firefox 63,normal,enhancement,60 Branch
1507,2006,1,2006.0,0.25,trailhead desktop first run,1545802,P1,Firefox,Firefox 67,major,enhancement,unspecified,improve accessibility of trailhead flow,1548268,P1,Firefox,Firefox 68,normal,enhancement,unspecified
