,id1,Description1,id2,Description2,Type of dependency,label
65,30368,prernalter table user add password va,31159,propose add create continue,independent,1
66,10412,gantt chart filtering target vers,23265,pertains change applied,relates,2
67,3177,page overview installed plugins th,5863,button program function would correctly,relates,2
68,5997,redmines rest api provides valid xml response,28412,redmine register plugin id regis,independent,1
69,11177,would nice redmine send notifica,13585,backgroundrnrnsubtask pr,relates,2
70,1002,would nice ability filter,12812,moment possible see,independent,1
71,4886,using redmine different language,8058,currently impossible use redmine,relates,2
72,4049,currently impossible set permission,850,situation want registe,duplicates,0
73,3611,user manually register there,3433,fill description detailed,duplicates,0
74,16371,custom fieldsi suggust attribut,5009,could usefull check button,relates,2
75,28492,hellornrni saw,31589,cannot close issue open subta,relates,2
76,15019,custom query great mean provide st,4812,currently appears way create,independent,1
77,3221,using redmine receiving email func,31304,hello rni would like hide checkbox,independent,1
78,1250,please add confirmation like sure,2910,already time situation posti,duplicates,0
79,9191,hirnrnim introducing redmine organ,944,hello redmineteamrnrni started evaluati,duplicates,0
80,6984,using plugins,12789,hi therernrnim trying give idea,relates,2
81,30928,even language selection switched ja,20952,hirnrni need ti know use redmin,independent,1
82,32821,im interested ability turn,26007,hirni need custom field datatype user,independent,1
83,1596,opendocument native format increa,2207,would like name project,independent,1
84,6068,receiving email customer th,11498,sometimes want set project,duplicates,0
85,8515,may something else paypal,2162,id like add additional field,independent,1
86,2823,crossproject activity view would,423,project issue report,duplicates,0
87,13680,планируем запуск сайта апреля в день космо,12701,developed drive layout model,independent,1
88,11969,would like option display cer,5130,related task section issue view pre,relates,2
89,24048,hi allrnrni need help show,32288,hi guysrnrnim building bigger proje,independent,1
90,10574,would nice able tornrn confine,9911,currently reply redmine task noti,independent,1
91,10171,currently viewing journal via rest api po,8630,need view journal information rest ap,relates,2
92,28671,seo cleanup newlaborforum,16807,hellornrni guess ive found bug issu,independent,1
93,30233,time entry,13803,group date creation ascrn group dat,relates,2
94,5131,pm rsyring queryhas,32484,issue suggests group selecte,independent,1
95,4908,redmine development support tool,3068,id like suggest addition would,duplicates,0
96,11919,would useful additional column,6375,hirni think beneficial,duplicates,0
97,25384,order able manage cumulative work,7849,different project using redmine,relates,2
98,9703,common multiple project use,779,would nice multiple scm per proj,relates,2
99,9985,quite simple patch abili,11357,existing plugin redmine,independent,1
100,3874,would good display status may,6953,moment calendar block page displa,independent,1
101,3146,currently custom query issue list ar,12804,future release combine j cs file,independent,1
102,33153,one often action working,28829,patch added icon open conte,relates,2
103,24292,hirnrni currently ticket,15808,doesnt change use macr,independent,1
104,11322,need facility search issue id,13369,keep sensitive information project,independent,1
105,307,cc field like found bugzilla field,9690,click link email notifica,independent,1
106,14470,possibility user profile level toggle,9068,new toogle link called submit witho,duplicates,0
107,1770,really like ajaxish function issue,25285,plugin available autofill,independent,1
108,4157,easeofuse key end user clie,15880,currently redmine least three differen,relates,2
109,5889,hi allrnrnweve using redmine,3957,ajax file upload module progress bar f,duplicates,0
110,12247,create document excel file excel fi,7884,hi everybodyrnrni know new,duplicates,0
111,12223,described topicrnit would grea,1565,nice add page folder save,relates,2
112,12264,sometimes necessary overview wh,578,would good could see activity l,relates,2
113,13585,backgroundrnrnsubtask pr,6117,asked possible su,relates,2
114,508,instead file one directo,16024,think good option administra,independent,1
115,6884,think wuld good well opti,1926,would like assign issue identifier base,relates,2
116,5451,would nice issue start date,6366,issue end date assign,relates,2
117,395,add setting new user dont need co,416,permission option,independent,1
118,33188,migration rail ac,11779,thing came quick,independent,1
119,19843,ability inputselect exactly page,946,would useful ability spec,independent,1
120,24175,wiki page nice useful featur,959,navigation button parti,independent,1
121,8254,hello im one gentoo sysadmins,26576,beforernwidth,relates,2
122,6548,would help two,24662,formatting nontrivial table many row,independent,1
123,723,feel fixed version select box tha,1279,dead simple probably easily con,independent,1
124,23423,working lot project us many,23066,current situationrnwe kind,independent,1
125,28492,hellornrni saw,10989,able close parent issue ch,relates,2
126,9736,creating custom tracker,12005,ability hide fieldrnrnrelated,relates,2
127,707,currently hide email address preference,861,user hide email address featu,relates,2
128,4586,would really useful could export,6554,would nice possibility,relates,2
129,5085,possible create option pa,32360,roadmap page difficult find open,independent,1
130,32242,hellorni started using api redminer,365,often need filter issue based,independent,1
131,6922,hirnrnwhen exporting issue pdf,69,exporting issue textile symbol,duplicates,0
132,562,would really like see version,6230,currently im using redmine manage several,independent,1
133,6204,suggest delete bookmark new issue fro,4423,currently use master project many sub,relates,2
134,22327,worked redmine,29482,attached patch add existing query sys,duplicates,0
135,11414,default redmines diff report whitesp,14034,would nice get ability choose,relates,2
136,11422,loginin mypages issue assigned,493,hello allrnrnjust wanted say,duplicates,0
137,19300,project quick jump dropdown list sorting,19298,add filter dropdown listrnrnmany,relates,2
138,22982,project manager hope assign issue,10117,issue assign group finernbut ad,duplicates,0
139,3224,project manager going project l,29482,attached patch add existing query sys,relates,2
140,664,redmine need feature user choose wh,1233,would like get preference set homepa,relates,2
141,3783,today close ref issue via commit,11565,moment change statis issue b,duplicates,0
142,29750,similarly google doc work,10561,power offered custom field,independent,1
143,15847,would need order hav,4191,really like redminereceivingemails f,duplicates,0
144,6787,think would extremely useful user,8987,hi rnrnfirst thank work done,independent,1
145,14816,currently diff view allow quick link,9807,someone send link diff w,relates,2
146,4667,descriptionrnredminetextformatting expl,4052,feature support crossproject,duplicates,0
147,5458,good feature add time field,11044,would nice time datetime,relates,2
148,10828,patch intended reduce need multi,6118,doesnt seem option use par,relates,2
149,2712,sometimes task happen certain per,7799,redmine project management tool,independent,1
150,15387,plz allow hierarchical categoriesrnwh,5220,let start saying im quite impr,relates,2
151,4864,global statistic maybe even graph abo,8223,would nice administrator abl,relates,2
152,5624,every project text formatting,8095,would good let text formatting,duplicates,0
153,9828,new ticket page redmine,2819,get redmine theme custom logo,independent,1
154,23609,noticed redmine doesnt allow user c,9046,dear svenrnrnit beneficial fil,independent,1
155,447,right order make priority enum,7075,identity selector openid login si,independent,1
156,2653,useful use redmine incoming,7412,new option allow role see al,duplicates,0
157,5833,adding user defined column really great,1358,would nice link field th,duplicates,0
158,33296,redmineload default data load various kind,10007,think good feature recive redmine emai,independent,1
159,14919,rubyopenid,5165,possible special keyword b,independent,1
160,3119,think would give fairly decent view,7388,add option textarea use tab insert ta,independent,1
161,25017,would like able list high,1093,three tracker feature bug support,independent,1
162,16172,currently update task assigned,14574,germanrnhallornrnwie kann ich die opti,relates,2
163,3146,currently custom query issue list ar,1656,last weekend found great tool,independent,1
164,12032,frequently meeting conference,10525,small screen netnooks laptop sideb,relates,2
165,24927,addition patch implement h,24922,today many computer high resolution dis,relates,2
166,13779,case ticket wich fixe,5272,assume develop two major branch pro,duplicates,0
167,7057,using rnrnif remove ticke,1005,cant find trace someone add r,relates,2
168,8232,clothes consistently remained pretty,5630,problem link email,independent,1
169,28671,seo cleanup newlaborforum,5125,would really nice possible,independent,1
170,11177,would nice redmine send notifica,7057,using rnrnif remove ticke,duplicates,0
171,13369,keep sensitive information project,7837,hirn one longstanding peeve th,independent,1
172,4028,extremely useful feature,2850,opening issue issue list,duplicates,0
173,12327,redmine benefit lot plugins ava,6321,installation usage plugins curre,relates,2
174,1130,favor addition work breakdown struct,27530,moving issue another project,independent,1
175,26422,hellorni searched doc tried lot,22966,basically working ticket,relates,2
176,5304,cant build task tree imported data othe,7480,possible target field doc,independent,1
177,4584,currently support require ta,1828,creating issue dropdown target e,relates,2
178,32757,asinspired case,31589,cannot close issue open subta,duplicates,0
179,11213,add remove issue watcher,9122,possible track adding remo,duplicates,0
180,13637,nice feature would interesting consider,13638,feature extends issue filtering,relates,2
181,5541,hi allrnit would usefull,3640,archiving project except,duplicates,0
182,973,heyrnrncurrently seems status,3726,wonder possible add restriction,relates,2
183,8050,problem bigger workflow som,3521,would nice possibly,relates,2
184,15382,maybe already discussed could,8803,hallo erwinrnrnbitte um einrichtung eines,independent,1
185,5022,part openid spec support delegat,3207,module seems way displ,independent,1
186,13729,want make custom field invisible,12005,ability hide fieldrnrnrelated,duplicates,0
187,24662,formatting nontrivial table many row,18785,came seeing yet another forum po,independent,1
188,23286,indicated version,13387,ive done extensive reading past conversat,relates,2
189,13052,make heavily use issueid mac,566,configured current trunk version,independent,1
190,15124,introduction new ipo cli whic,15108,introduction new ipo cli whic,relates,2
191,5708,version put hold issue atta,6360,adding title attribute various important,independent,1
192,4015,allow application setting eg theme,4049,currently impossible set permission,relates,2
193,11102,adding related issue issue one,2686,somemany project add,independent,1
194,23309,member redmine corporation reported,1365,presently default tracker value deter,relates,2
195,17932,thank author use redmine project,17720,appears good way filter,relates,2
196,23390,hirnone way speedup issue show vie,30928,even language selection switched ja,independent,1
197,32086,multiple project need gen,4042,project single categ,independent,1
198,3111,please add option sort arrange,3165,line inserted following thi,independent,1
199,1255,여러 작업자가 함께 협업해야 하는 이슈의 효과적인 관리를 위해서 mantis와 같이,1142,would nice cc list people,relates,2
200,1586,sometimes find wandering,23444,year using redmine found,independent,1
201,8228,please add possibility using saved cust,662,every user different priority ti,relates,2
202,1307,would nice page ticket,7822,iframe src,independent,1
203,4620,way publish news across projec,1850,would nice one could post news pu,duplicates,0
204,20230,transforming ganttchart pdf,7441,pity graphical report,independent,1
205,8680,would like button check,1605,wwwredmineorg go activity,relates,2
206,1004,idea onernrni sometimes,594,would like see enhancement bet,duplicates,0
207,17576,current behaviour copying issue,23610,atm copying issue issue b,duplicates,0
208,25513,currently custom field type list define,25043,would nice possibility define,relates,2
209,7526,configured forge redmine creates,31339,would nice option,independent,1
210,18858,order custom field determines orde,12909,want configure issue status order,relates,2
211,393,giving client access redmine yo,8050,problem bigger workflow som,relates,2
212,8318,love use redmine there one thing,6767,would great view,independent,1
213,16863,integrate redmine application auto,32169,attached patch add link detailed,independent,1
214,2751,id like support plain html,31215,appropriate context fo,independent,1
215,7907,hellornrnwe setup issue child,6116,colleague starting rearranging,relates,2
216,8439,provides instruction changing,1605,wwwredmineorg go activity,duplicates,0
217,19077,youre using photo avatar default size,11708,moment avatar really small,relates,2
218,23471,want start redmine project anoth,3795,please find attached greek transla,independent,1
219,2069,wed like use wiki page version cre,543,would useful able insert l,relates,2
220,2729,little annoyance foundrnrnin,1605,wwwredmineorg go activity,duplicates,0
221,14553,configure custom field error type,8572,hirnrnwe waiting custom version,duplicates,0
222,21697,default configuration redmine sends s,20935,secure flag autologin cookie b,relates,2
223,779,would nice multiple scm per proj,4052,feature support crossproject,relates,2
224,12449,possible nonadmin user b,7842,userfull allow user creat,duplicates,0
225,3393,traker mapping importing trac,33551,section test case management,independent,1
226,772,useful able add custom f,3841,term usability itd great,independent,1
227,8180,creating chrome extension redmine,7420,rest api add delete und selec,duplicates,0
228,3345,repository view ability,1311,would great revision history could,duplicates,0
229,508,instead file one directo,8878,changed date format ddmmy,independent,1
230,2829,id like propose ability save filt,7360,would nice able create defaul,duplicates,0
231,2880,would great issue attribute,21026,custom field type user allows sele,independent,1
232,31272,move link general dropdownrnr,470,would nice one could tag wiki conte,independent,1
233,15019,custom query great mean provide st,19937,hellornrnrnit would really great,independent,1
234,4436,know patch exist,2859,would great custom field would,duplicates,0
235,5214,idea would useful,433,time tracking propagate parent pr,duplicates,0
236,2947,sometimes working larger wikipages,3861,using svgweb project,independent,1
237,724,redmine used tracking many diffe,374,version could consist one many iterati,relates,2
238,20820,would great possible ad time,5458,good feature add time field,duplicates,0
239,3384,would great define permission,3187,please add view issue user permission,relates,2
240,5470,first great great workrnrnnow,5840,would good benefit duplicate issue e,relates,2
241,2117,handling multiple project one redmi,805,example pagern,relates,2
242,27401,coming confluence really love,6846,would sweet able navigatio,duplicates,0
243,11943,new project setting disal,2718,ie give error message redmine u,independent,1
244,10601,let assume status called new,5816,possible set initial status,duplicates,0
245,6910,seam redmine using old,6269,adding support redcloth would nice si,duplicates,0
246,14238,hi allrni want know make,19893,using rest api would useful,independent,1
247,800,know first thing going say,991,thought redmine previously,duplicates,0
248,349,creating new task assign,4582,automaticly set issue status assigned whe,duplicates,0
249,6040,hi could nice possibility,3972,would nice value field,duplicates,0
250,2788,subprojects great tool redmine,6134,one requirement company th,independent,1
251,14771,would like dynamic welcome page,28539,like issue query journal co,independent,1
252,11530,could support hook mailerrnrnview,26839,currently use email notification see wh,relates,2
253,26455,hirnrnthe redmine count ticket id,11228,id like request email issue funct,independent,1
254,8423,reason redirecting action,4555,create search filter custom query,independent,1
255,7659,field last update another c,7360,would nice able create defaul,relates,2
256,8245,roadmap show global progress according,4291,currently cant tell issue,duplicates,0
257,30775,version plugin scm creator stoped,3933,hi rnid love export docbook straight fr,independent,1
258,6954,essential work possibility,2531,add new option within period date filter,duplicates,0
259,27150,permission infrastructure probably requires,27151,able designate group active lo,relates,2
260,1137,add feature move project version,23987,hirnrnwe encounter slowness using th,independent,1
261,22802,roadmap tab issue automatical,8016,would really like able specify,relates,2
262,21519,reading list redmine ticket,6945,lot issue generic response,duplicates,0
263,28539,like issue query journal co,580,could nice sort issue subject,independent,1
264,6883,would awesome one could specify l,11134,company us redmine project managemen,independent,1
265,7789,user inside project would fine,11220,id appreciate view hook plugins develop,independent,1
266,1233,would like get preference set homepa,4349,would nice starting page,relates,2
267,19875,raising defect field valueslist,13143,idea build custom field,duplicates,0
268,1656,last weekend found great tool,5708,version put hold issue atta,independent,1
269,7980,admin give group role project,10117,issue assign group finernbut ad,relates,2
270,6920,want subtasks assigned delive,5487,use subtasks would like subtask,relates,2
271,18003,ticket view redmine admins user,17993,help personalize issue list,independent,1
272,10353,big number value li,6231,subprojects sharing version,independent,1
273,5534,would nice possibility sw,5284,see issue list page done fie,duplicates,0
274,3792,need move bunch issue one,4769,change almost attribute issue,relates,2
275,1179,would helpful text long text,5794,custom field also used store url,relates,2
276,6647,hirnrnthis minor issuernrnive,7996,bulk edit rightclick context menu,duplicates,0
277,18618,would nice possibility as,22008,hi need check commit detail spec,independent,1
278,4413,great possibility,1326,presently way add edit,duplicates,0
279,13743,want send email local server,30483,would nice ability hide,independent,1
280,28200,add visible element edit,7603,thanks much great software iv,relates,2
281,317,created issue lot newlines sa,20084,set column option di,independent,1
282,3230,include git repo syncro,3239,would nice ability see al,independent,1
283,5328,create repository project,8227,allow filter roadmap assigned,independent,1
284,8241,notification function redmine,11619,ill probably submitting patch,relates,2
285,7694,often multiple version open,1360,several project customer,duplicates,0
286,8227,allow filter roadmap assigned,4529,tried find way,independent,1
287,405,many project redmine keeping,3695,frequently user give correct accurate,independent,1
288,22960,several related request ha,1707,tipically different team involved,duplicates,0
289,12702,reeasdf,10485,gantt view way manage,independent,1
290,6227,looking way send reminder th,3039,profile set mail p,independent,1
291,11351,believe extension curr,13627,add custom field note,independent,1
292,4967,ive modified applicationcss classic th,1758,itd nifty way colorcode tracker,duplicates,0
293,291,seen documentation,3007,think redmines outgrown current enumer,independent,1
294,19300,project quick jump dropdown list sorting,19298,add filter dropdown listrnrnmany,relates,2
295,3064,could complexity custom data file,28947,attaching new file wiki edit pag,independent,1
296,14648,hi therernrnit would really helpful,29660,currently redmine set http referrer config,relates,2
297,6666,currently deleting issue system re,18027,currently issue deleted deleted r,relates,2
298,4584,currently support require ta,1828,creating issue dropdown target e,relates,2
299,16479,redmine facility crea,18253,hellornrncurrently redmine provides,relates,2
300,3224,project manager going project l,2117,handling multiple project one redmi,relates,2
301,17098,sometimes bug rather big lon,13213,feature request roll feature,independent,1
302,34556,currently watcher section new,8562,face problem many project,relates,2
303,2060,would nice ability confi,4389,would nice group list,independent,1
304,8552,copy would great checkbox,6899,time issue copied,duplicates,0
305,13824,currently automatic project identifier sp,12844,im currently synchronizing lot project,relates,2
306,7246,mercurial concept branch inside,3909,title saysrnrnimplement foll,relates,2
307,3800,im currently running trunk version,3848,patch allows current user record,relates,2
308,21618,hellornin opinion need seperat,6666,currently deleting issue system re,duplicates,0
309,4130,think administrator able se,21447,default want user show email,duplicates,0
310,5454,redminereminderemails send n,3035,redminereminderemailsreminder sends email,relates,2
311,5054,please provide directive make possi,8367,rising demand dedicated control,independent,1
312,8158,create default user project,6206,custom variable list value,independent,1
313,5228,see link redmine user,3856,sometimes need human readable url,relates,2
314,4037,working university weve starte,5307,hellornrnas part job im using ti,independent,1
315,2666,main project see activity al,465,would really nice issue subpro,relates,2
316,2693,redmine like able u,405,many project redmine keeping,independent,1
317,7079,want show national holiday sunday,1459,global holiday calendar desirable,relates,2
318,10831,topicbased development would,5386,development team us branch pretty thor,relates,2
319,8811,often user remember filename u,4383,frequently download file kn,relates,2
320,17179,introductionrnrnthese custom field,388,often helpful see diff vers,independent,1
321,31321,redmine parent issue cant ab,28492,hellornrni saw,duplicates,0
322,3887,would nice google adsense plug,11516,might useful request avatar image,independent,1
323,10296,parentchild relation visible th,7907,hellornrnwe setup issue child,duplicates,0
324,12010,hirnrni question subscri,3505,cool feature would simple risk manageme,independent,1
325,18425,want feature like project,1853,tracker issue status workflow custom fie,duplicates,0
326,9993,add new setting help export,3647,hi allrnrni think useful,duplicates,0
327,27920,version closed locked,4569,feature new version added f,duplicates,0
328,15021,slarn configurable using th,12222,hirnrni dont know still,relates,2
329,33172,number issued old r,31863,welcome recently started using redmine via,independent,1
330,281,would great able access passwor,20129,respect option se,independent,1
331,6851,default exporting issue anything,30843,hi therernrntoday set system,independent,1
332,4564,gantt view nice function,1547,think would handy able view,duplicates,0
333,4301,would nice add option toc,13088,add cdn support jqueryui lib include,independent,1
334,20903,possible user see problem onl,24038,redmine introduced support markdown whil,independent,1
335,1645,developer working task mypage,22593,installation intented public peo,independent,1
336,30056,needed klosterladentn rnrntamplate,11060,possibility insert html fragme,independent,1
337,29181,hi wanted propose somehow edit,9184,would helpful able edit,relates,2
338,4561,also good filter give access sta,3265,itd nice redmines issue filter includ,duplicates,0
339,20228,moment understand assign issue,7774,preliminary search find f,duplicates,0
340,7694,often multiple version open,1360,several project customer,duplicates,0
341,17205,hi allrnrni want add custom field r,11519,common edit wiki content fo,independent,1
342,22043,hirni often use task several subtask,1265,version deletable way,independent,1
343,11356,prerndeprecation warning confirm option,10225,think good improvement add possibi,independent,1
344,6877,diff revision probably good,5665,view revision change via project,duplicates,0
345,24636,project require issue,9432,would useful possibility,duplicates,0
346,33721,essential compare spent time esti,13088,add cdn support jqueryui lib include,independent,1
347,3844,writing redmine plugin use wiki,689,setting filter filter i,independent,1
348,21517,mentioning another issue descripti,5453,person update ticket ticket n,duplicates,0
349,30916,jan wrote beginner often get con,9226,planio online project management,relates,2
350,7982,dear redmine teamrnrni would realy like,2117,handling multiple project one redmi,relates,2
351,3320,list issuestickets include multi,2889,good project name field,duplicates,0
352,420,would great mail notification could b,2951,think would great summery yo,independent,1
353,5147,copy lang folder language chang,3833,would nice comment field ad,independent,1
354,32406,moment relation added one,29272,hirnfor moment possible get,duplicates,0
355,569,thanks great piece work would b,6297,something really useful daily usage ser,independent,1
356,1353,would useful u possible,1159,currently add one many filter,relates,2
357,28724,moment redmine wont reset api key,13448,currently easily overlooked one,independent,1
358,17907,redmine good project management,21577,custom field type version used,relates,2
359,559,suggestion enhance workflow,12647,redmine form based flat view,relates,2
360,6924,hello problem project whi,1411,firm evaluating redmine use,duplicates,0
361,4885,comment field logging time,24577,attached patch add following change,duplicates,0
362,13378,dear redmine teamrnhow add custom,5009,could usefull check button,relates,2
363,28213,described tedious r,25799,use issue import feature redmine whe,relates,2
364,26222,order calculate timing stat,31336,would nice configuration optio,independent,1
365,19591,true multiuser multiproject environ,8095,would good let text formatting,duplicates,0
366,13295,implement software move i,12275,hirnrnim making simple bot update,relates,2
367,25003,hellorni found window approval,6543,would nice user preference,independent,1
368,19561,hello im new redmine wonder,14555,hi redmine teamrni suggest featurer,independent,1
369,32291,im using redmine window platform bitnami,26791,patch series introducing,duplicates,0
370,8001,ticket ticket reference wa,9364,hellornrnwhen using gantt view com,independent,1
371,11531,workflow convenient update,460,svn integration nice something l,independent,1
372,15286,want make minor change defau,17312,reproduce create new issue enter sub,independent,1
373,6614,nice fature would able define ico,13297,would great set icon ca,duplicates,0
374,7550,would nice useful project,9415,dependecies precedes follows,independent,1
375,11276,related issue section today missing r,7849,different project using redmine,duplicates,0
376,14469,browsing source code via source,3382,currently use prernprecode class,duplicates,0
377,32042,add show summary creatingediting cu,6380,hi could allow user choose different f,independent,1
378,7124,might useful allow configuration,4582,automaticly set issue status assigned whe,duplicates,0
379,1737,id much like feature similar,4347,user reply issue heshe de,relates,2
380,11351,believe extension curr,13743,want send email local server,independent,1
381,25703,hellornim trying filter issue f,4367,im trying restructure workflow,independent,1
382,29660,currently redmine set http referrer config,24583,currently running redmine,relates,2
383,4690,hirnrnwe would like option c,24577,attached patch add following change,duplicates,0
384,1860,textile nice sometimes powerful eno,1208,heavy user tracs support restr,duplicates,0
385,2877,would nice ability includ,10019,would good integration r,independent,1
386,12155,redmine tracker project,8568,situation would,duplicates,0
387,15394,think nice custom field,8120,code syntax highlighting wiki work wi,independent,1
388,20558,would useful recording purpose,442,hirnrnin project testersr,relates,2
389,14786,target version field filter locked,10953,im looking create project function,duplicates,0
390,14570,use version add new i,31257,allow value like thisrnrn redminehomeh,independent,1
391,33717,hellorni searching possible featur,33099,attached small patch abl,independent,1
392,28471,header issue page subtasks list issue,14497,pl resolve plugin problem pl installatio,independent,1
393,4487,currently way view history,1834,provide option view issue note threaded,relates,2
394,2471,would like see user activity p,574,using page checking ticket,relates,2
395,2356,interesting integration,1131,would like see way add custom exte,relates,2
396,3912,id like make search list check,992,think two improvement help lotrn,relates,2
397,17618,netldap gem updated,12811,netldap charset bug,relates,2
398,14472,reopen feature tracking,14387,time tracking one hated ne,duplicates,0
399,27307,issue assigning issue dif,5095,patch allows plugin add action,independent,1
400,2595,currently view reportsissue reportp,2529,view issue parent project,relates,2
401,15838,update received issue via ema,15837,email received valid user,relates,2
402,9911,currently reply redmine task noti,6480,wikipage redmineinstallloggerconfigur,independent,1
403,13143,idea build custom field,22026,like old topic id like req,relates,2
404,6800,global right assignable somewhere,4427,current role permission concept based,duplicates,0
405,4388,example would like custom field,8417,rni thought approach make,relates,2
406,33002,file news notification,16006,send notification called message cre,relates,2
407,10011,company using time estimation,723,feel fixed version select box tha,independent,1
408,33902,image downloaded browser n,13058,moment roadmap version without dat,independent,1
409,2879,installation redmine us email sub,2984,im afraid fix proposed doesnt w,relates,2
410,1051,reported issue list page view,1565,nice add page folder save,duplicates,0
411,1104,custom user field phone number im,1332,would great allow user modify,duplicates,0
412,19293,hirnrnits possible load issue edi,7404,im creating interface auto creates pr,independent,1
413,17534,would useful show resource base,5202,good day would helpful gantt ch,relates,2
414,1085,would like see sitewide activity issue,376,would nice way see,duplicates,0
415,12069,hirnrnour developer want split done,373,slider could visualize progress,duplicates,0
416,26908,im sure good idea,9715,redmine already support fixing issue,independent,1
417,2315,currently redmine us one login password,10159,often even project author miss ar,independent,1
418,4217,viewing cc code repository,1689,setting somewhere allow,duplicates,0
419,29992,administrator see list p,15835,developing synchronization projec,duplicates,0
420,21869,think would rather convenient,18189,functionality b,duplicates,0
421,3169,may interesting thi,779,would nice multiple scm per proj,duplicates,0
422,3410,using context menu user forge,415,tend lot issue using red,relates,2
423,9700,field new issue form visible,1091,want create tracker custom,relates,2
424,14907,hi therernrnmaybe could goal fo,14534,hirnrni want run redmine rail,duplicates,0
425,24927,addition patch implement h,24922,today many computer high resolution dis,relates,2
426,13122,project setting would nice ab,10842,ldap user want delete,independent,1
