,id1,Description1,id2,Description2,Type of dependency
26,33352, The query filters on issues and related issues...,4806,   It should be possible to filter by issue id (t...,relates
27,33352, The query filters on issues and related issues...,6118,"   There doesn't seem to be an option to use ""par...",relates
28,33352, The query filters on issues and related issues...,3265,   It'd be nice if Redmine's issue filters includ...,relates
29,33592, Users CSV has updated_on and passwd_changed_on...,33347," currently, there is no means to see updated_on...",relates
30,33330, There is no ability to import Issue relations ...,28198,"  As promised in #22701, I now would like to pro...",duplicates
31,33325, Is it possible to have a patch that will add t...,1996,   It would be nice to have the time tracking rep...,relates
32,33288, Is it possible to add a wiki bar into custom_f...,33256, Before:\r\n!{width:70%; border: 1px solid grey...,duplicates
33,33288, Is it possible to add a wiki bar into custom_f...,33256, Before:\r\n!{width:70%; border: 1px solid grey...,duplicates
34,33153, One of the most often action when working with...,33254, #29391 added a useful badge that shows the sta...,relates
35,33834, This patch adds open/closed badge to email not...,33254, #29391 added a useful badge that shows the sta...,relates
36,33832," Currently, ""Private"" badge (#7414) and ""Open/C...",33254, #29391 added a useful badge that shows the sta...,relates
37,33216, An organization's policy requires users not be...,3369,   For using Redmine in an internal company situa...,relates
38,33174," The project overview page shows only users, ev...",12794,   When I go to a project page:\r\n  http://foo.c...,relates
39,33156," introduced with the issue #19097, the user was...",19097,  There have been a number of attempts to make R...,relates
40,33153, One of the most often action when working with...,28829,  Patch #26655 has added icons to open the conte...,relates
41,33153, One of the most often action when working with...,33254, #29391 added a useful badge that shows the sta...,relates
42,33129," In the earlier versions of Redmine, ""Latest pr...",21148,  In some of our Redmine installations where pro...,relates
43,2973,   numeric custom fields.\r\npriority field.\r\ne...,33101," Currently, the priority issues filter supports...",relates
44,2893,"   When attempting to navigate our redmine today,...",33071, The attached patch adds protection against del...,relates
45,33002, There are no files in news notifications. Can ...,16006,  The send_notification is called on message cre...,relates
46,32944, #31355 is really a nice thing. But one thing i...,31355,  This patch aims to make the project jump box (...,relates
47,29482,  The attached patch adds the existing query sys...,32818, Add a system settings for default results disp...,relates
48,32781," Hi everybody,\r\nif I clearly understood, foll...",26791,"  With this patch series, we are introducing the...",relates
49,32757," Same as/inspired by #31589, but for the case t...",31589, You cannot close an issue if it has open subta...,duplicates
50,32641," When language on ""My Account"" is set to “Engli...",26279,"  In the current implementation, the encoding of...",relates
51,32629," I suggest adding ""Edit"" button to Wiki sidebar...",5208,   A nice feature would be to add the aibility to...,relates
52,32528, Languages often used in code highlights differ...,14937,"  ""Planio"":http://plan.io has developed and woul...",relates
53,32501, Preconditions: The localization of the site mu...,654,   This is an example of the i18n of the help.\r\...,duplicates
54,32496, We can import CSV to batch creating new issues...,23448,  I'd like to have the possibility to update iss...,duplicates
55,32493, When a ticket has a lot of screenshot and\or p...,1984,   Similar to how bugzilla does it. The file is s...,duplicates
56,32406, For the moment the relations can be added one ...,29272,"  Hi,\r\nFor the moment it's possible to get all...",duplicates
57,571,   It can be nice to enable/disable displaying pr...,32350, I would like to propose a redesign of the proj...,relates
58,32321," There is a filter as ""Asignee's Group"", and it...",7867,   Is it  possible to add group of auther for fil...,duplicates
59,32302, I think it will be useful to allow users to fi...,29482,  The attached patch adds the existing query sys...,relates
60,32302, I think it will be useful to allow users to fi...,31355,  This patch aims to make the project jump box (...,relates
61,572,"   Because we have really long list of projects, ...",32302, I think it will be useful to allow users to fi...,relates
62,32291, I'm using redmine on Windows platform (Bitnami...,26791,"  With this patch series, we are introducing the...",duplicates
63,32278, The idea : \r\n\r\n- Display Roadmap page with...,6432,   h2. Extensive subject\r\n\r\nAllow a Roadmap v...,relates
64,32249, Redmine displays thumbnails of attachments whe...,1006,   It would be nice to display a thumbnail of ima...,relates
65,32178," Dear all,\r\n\r\nis it possible to create cond...",22026,"  Like the very old topic below, I'd like to req...",relates
66,32085," Currently, those fields are displayed as texta...",19903,  Would it be possible to get the textbox change...,relates
67,32052, I think it would be useful to be able to autoc...,31989, The attached patch adds support for inline iss...,relates
68,32002, I didn't found a way to get inherit_members fi...,5605,"   alternatively, the ""Roles & permissions"" secti...",relates
69,31989, The attached patch adds support for inline iss...,13919,   https://github.com/dwarburt/redmine-mention-pl...,relates
70,31989, The attached patch adds support for inline iss...,5840,   It would be good benefit for duplicate issue e...,relates
71,31989, The attached patch adds support for inline iss...,31908, In our installation we have more than 3000 pro...,relates
72,32052, I think it would be useful to be able to autoc...,31989, The attached patch adds support for inline iss...,relates
73,33352, The query filters on issues and related issues...,31989, The attached patch adds support for inline iss...,relates
74,31989, The attached patch adds support for inline iss...,33820, I think it would be useful to use the function...,relates
75,31989, The attached patch adds support for inline iss...,33425, The attached patch adds an auto-complete featu...,relates
76,4325,   I think it would ease cross referencing intern...,31989, The attached patch adds support for inline iss...,duplicates
77,31984," There is permission to edit time logs, \r\n\r\...",13244,   For example any user have to log his spent tim...,duplicates
78,31925, Extracted the patch from #23997.\r\n\r\n,23997,"  For issue custom fields, one can already selec...",relates
79,31989, The attached patch adds support for inline iss...,31908, In our installation we have more than 3000 pro...,relates
80,7455,   Our PM team really likes the new red/green pro...,31881," ""behind-schedule"" class, which is already avai...",relates
81,31879," I propose adding ""start with"" and ""end with"" o...",3040,"   *Context:*\r\nIn order to identify each task, ...",relates
82,23997,"  For issue custom fields, one can already selec...",31859, Based on the work made by Jens Krämer in #2399...,relates
83,25746,"  Dears,\r\n\r\nfirst of all thanks a lot for al...",31859, Based on the work made by Jens Krämer in #2399...,duplicates
84,31826, in addition to default assignee for Category i...,5577,   We'd like the ability to add certain people as...,relates
85,31756," Hello, \r\n\r\nI have a problem with done rati...",373,   A slider could visualize the progress of an is...,relates
86,31714," On the calendar view, there are visible start ...",27095,  It would be really handy to pick up which cust...,relates
87,31714," On the calendar view, there are visible start ...",10267,   It is powerful to be able to create a date fie...,relates
88,31638, For tightly scheduled tasks the issue start da...,5458,   Can a very good feature to add time fields for...,relates
89,31617, While the auto-generated robots.txt contains U...,3661,   I am having a problem with Redmine processes d...,relates
90,31589, You cannot close an issue if it has open subta...,10989,   I am able to close a parent issue while its Ch...,relates
91,28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",31589, You cannot close an issue if it has open subta...,relates
92,31322,  I wish to add the function of reminder which s...,31589, You cannot close an issue if it has open subta...,relates
93,32757," Same as/inspired by #31589, but for the case t...",31589, You cannot close an issue if it has open subta...,duplicates
94,31449,"  I am using Redmine as an issue manager. So, I ...",31581, I propose a feature to visualize the changes o...,relates
95,31518, It would be nice if we can configure Redmine t...,13296,"   Each project has a ""due date"" (when working wi...",duplicates
96,30118,  Ruby 2.6 is going to be released on 2018-12-25...,31500, Ruby 2.7.0 is going to be released on 2019-12-...,copied_to
97,6421,"   In the issue detail view, it would be helpful ...",31499," This patch adds ""Due in X days"" / ""X days late...",relates
98,33884," Issue details page shows ""Due in X days"" infor...",31499," This patch adds ""Due in X days"" / ""X days late...",relates
99,31468," Hello, \r\n\r\nthe Gantt diagram is a very use...",20481,  It would be useful which right  and left panel...,relates
100,31449,"  I am using Redmine as an issue manager. So, I ...",31581, I propose a feature to visualize the changes o...,relates
101,31434,"  Currently, the version of source:trunk/public/...",31418,  I propose a feature to visualize the results t...,relates
102,31434,"  Currently, the version of source:trunk/public/...",31418,  I propose a feature to visualize the results t...,relates
103,31377,"  Hi Redminers,\r\n\r\nI've searched and checked...",13725,   Hi!\r\n\r\nIt would be great to archive or clo...,duplicates
104,32302, I think it will be useful to allow users to fi...,31355,  This patch aims to make the project jump box (...,relates
105,572,"   Because we have really long list of projects, ...",31355,  This patch aims to make the project jump box (...,relates
106,7751,   Looking for an enhancement to the project drop...,31355,  This patch aims to make the project jump box (...,relates
107,32944, #31355 is really a nice thing. But one thing i...,31355,  This patch aims to make the project jump box (...,relates
108,7339,"   Hi,\r\n\r\nA favorites project list would be g...",31355,  This patch aims to make the project jump box (...,duplicates
109,31348,  This patch adds tabs to switch between Profile...,31353,  At the moment the top menu bar offers several ...,relates
110,31348,  This patch adds tabs to switch between Profile...,31353,  At the moment the top menu bar offers several ...,relates
111,31340,"  It would be nice, if there would be a option(s...",14341,  Could you add ability to restrict email domain...,duplicates
112,31338,"  Currently, if a user isn't registered at redmi...",21158,"  I frequently bcc redmine, when I send project ...",duplicates
113,31321,"  From Redmine 3.4, the parent issue can't be ab...",31322,  I wish to add the function of reminder which s...,relates
114,31322,  I wish to add the function of reminder which s...,28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",relates
115,31322,  I wish to add the function of reminder which s...,31589, You cannot close an issue if it has open subta...,relates
116,31321,"  From Redmine 3.4, the parent issue can't be ab...",31322,  I wish to add the function of reminder which s...,relates
117,31321,"  From Redmine 3.4, the parent issue can't be ab...",10989,   I am able to close a parent issue while its Ch...,relates
118,31321,"  From Redmine 3.4, the parent issue can't be ab...",28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",duplicates
119,31313,  In the ticket create/edit form I can select a ...,29663,   I would like to continue my work on #1448 and...,relates
120,31300,  In #19468 was implemented the browser native d...,23892,  Recent versions of Chrome and Edge have their ...,relates
121,13834,"   Hi,\r\n\r\nI am looking for a datetime field a...",31300,  In #19468 was implemented the browser native d...,relates
122,31234,  h3. How to assign a issue to more than one use...,408,   It would be great if it was possible to assign...,duplicates
123,23778,  I think this should be default behavior.  I've...,31225,  It is useful if we can know the due date of ea...,relates
124,31154,  RFC non-compliant emission causes Mail::Field:...,5913,   \r\nIn mail notification created by Redmine 'F...,relates
125,31106,"  When importing issues, many of the issue field...",1739,"   Sometimes, I submit an issue, but down the roa...",relates
126,31050,  See the image attached. This is a sample ticke...,11969,   I would like to have the option to display cer...,relates
127,31026,  https://weblog.rubyonrails.org/2019/3/13/Rails...,31027,  Copied from #31026.\r\n\r\n---\r\n\r\nhttps://...,copied_to
128,31026,  https://weblog.rubyonrails.org/2019/3/13/Rails...,31027,  Copied from #31026.\r\n\r\n---\r\n\r\nhttps://...,copied_to
129,33425, The attached patch adds an auto-complete featu...,30986,"  Redmine has useful wiki macros such as ""child_...",relates
130,30985,  User custom fields displayed in the profile pa...,30977,  Project custom fields displayed on the Overvie...,relates
131,30985,  User custom fields displayed in the profile pa...,30977,  Project custom fields displayed on the Overvie...,relates
132,30916,"  As Jan wrote in #9226, beginners often get con...",30853,"  Currently, you will see a warning message ""No ...",relates
133,30916,"  As Jan wrote in #9226, beginners often get con...",9226,"   At ""*Planio Online Project Management*"":http:/...",relates
134,30893,"  Currently (r17844 and later), you can see the ...",3555,   Need the ability to search for all issues that...,relates
135,30916,"  As Jan wrote in #9226, beginners often get con...",30853,"  Currently, you will see a warning message ""No ...",relates
136,30834,"  When I follow e.g. the link message#4, the for...",22978,"  When I follow e.g. the link #4806#note-9, the ...",relates
137,30808,  at Custom Query\r\nchild task can select singl...,30482,  at Custom Query\r\nparent issue can select sin...,relates
138,30492,  Redmine uses ImageMagick via rmagick to genera...,22995,  Currently image thumbnails are created using s...,relates
139,30808,  at Custom Query\r\nchild task can select singl...,30482,  at Custom Query\r\nparent issue can select sin...,relates
140,30460,"  When a project was closed and read-only, all m...",29449,"  Users see issues assigned to them on My Page, ...",duplicates
141,27758,  I'm working on a patch that adds the Preview f...,30459,"  In Redmine 3.4 and earlier, you could update t...",relates
142,30459,"  In Redmine 3.4 and earlier, you could update t...",34549,Add keyboard shortcuts for the following butto...,blocks
143,30356,"  Currently, Redmine 4.0 supports Ruby 2.2. But ...",29946,"  The latest version of i18n gem is ""1.1.1"":http...",blocks
144,14130,  There is possibility in Spent Time Report now ...,30346,"  I am evaluating last Redmine version (v4.0.0),...",relates
145,30346,"  I am evaluating last Redmine version (v4.0.0),...",23401,  Unfortunately such important value as status c...,relates
146,30336,"  Currently, I can enable or disable ""Log Time"" ...",29490,  I would like to have a flag that can restrict ...,duplicates
147,30233,"  Same as #13803, but for time entries.",13803,   * group by date creation asc\r\n* group by dat...,relates
148,30207,  A tab in the cross-project menu is always disp...,5920,   Recently I started using Redmine with many pro...,relates
149,30118,  Ruby 2.6 is going to be released on 2018-12-25...,31500, Ruby 2.7.0 is going to be released on 2019-12-...,copied_to
150,30068,  The purpose of this issue is not to implement ...,26791,"  With this patch series, we are introducing the...",relates
151,29667,  https://weblog.rubyonrails.org/2017/9/27/Rails...,30043,  https://weblog.rubyonrails.org/2018/11/27/Rail...,relates
152,29992,"  Now, only administrators can see list of all p...",15835,  We are developing an synchronization of projec...,duplicates
153,29947,  Redmine uses roadie gem 3.2.x that is a bit ol...,25538,  Support for Ruby 1.9.3 and 2.0 has ended by Ru...,relates
154,30356,"  Currently, Redmine 4.0 supports Ruby 2.2. But ...",29946,"  The latest version of i18n gem is ""1.1.1"":http...",blocks
155,29935,"  Please provide ""Edit authored issues"" and ""Edi...",1248,   * *Today (as in version 0.7.1):*\r\n** We may ...,relates
156,12550,"   Hi,\r\n\r\nas i see in the roles and permissio...",29935,"  Please provide ""Edit authored issues"" and ""Edi...",duplicates
157,12644,"   Hi there,\r\n\r\nit would be good to add an op...",29894,"  Currently, you have to go to the detail page o...",relates
158,29757,  Reasoning:\r\n* in some Redmine installations ...,1595,   Here in Indonesia a substantial proportion of ...,relates
159,33791," Is there a reason to have the ""First Name"" and...",29757,  Reasoning:\r\n* in some Redmine installations ...,duplicates
160,29752,"  Currently, Textile and Markdown files are trea...",13431,"   hi, folks\r\n\r\nas both github and gitlab can...",relates
161,16849,  It would be fine to render *.md in Reposotory ...,29752,"  Currently, Textile and Markdown files are trea...",relates
162,29732,"  Drop down lists is issues, such as used in cus...",29663,   I would like to continue my work on #1448 and...,relates
163,29725,"  In Documents page, documents are listed in asc...",1958,   On the page that list the documents (/projects...,relates
164,29712,"  Currently, full-width custom fields don't have...",27758,  I'm working on a patch that adds the Preview f...,relates
165,28085,  Upon upgrading to version 3.4.4 we noticed we ...,29712,"  Currently, full-width custom fields don't have...",duplicates
166,29687,  Whenever I edit a comment it is updated but as...,12388,   It should be possible to see what changes had ...,duplicates
167,29667,  https://weblog.rubyonrails.org/2017/9/27/Rails...,28247,"  * Trunk should be updated to Rails 5.1.5, whic...",relates
168,29667,  https://weblog.rubyonrails.org/2017/9/27/Rails...,30043,  https://weblog.rubyonrails.org/2018/11/27/Rail...,relates
169,23368,"  Hi,\r\nI am looking for features like webhooks...",29664,  To have Redmine be able to at least use POST m...,relates
170,3971,   Switching between simple email notification an...,29664,  To have Redmine be able to at least use POST m...,duplicates
171,1448,   Many of our issues span multiple categories --...,29663,   I would like to continue my work on #1448 and...,relates
172,29732,"  Drop down lists is issues, such as used in cus...",29663,   I would like to continue my work on #1448 and...,relates
173,31313,  In the ticket create/edit form I can select a ...,29663,   I would like to continue my work on #1448 and...,relates
174,29660,  Currently Redmine sets no HTTP Referrer config...,24583,  We are currently running Redmine 2.4.3.stable....,relates
175,29660,  Currently Redmine sets no HTTP Referrer config...,23630,  Is there any plan to upgrade the enviroment to...,relates
176,14648,"  Hi there,\r\n\r\nit would be really helpful to...",29660,  Currently Redmine sets no HTTP Referrer config...,relates
177,29624,"  As an example, Simple Machines Forum software,...",9020,   Can we get a feature much like Jenkins already...,duplicates
178,29617,"  I tried to search for duplicates, but couldn't...",15333,  I would like suggest that oEmbed be added to R...,relates
179,29615,  it would be very handy to have a filter criter...,28170,"  In the issues view, it would be helpful to fil...",duplicates
180,29519,  Allow user to select parent issue in group by ...,5325,   I just upgraded to the newest version of Redmi...,duplicates
181,29501,"  Currently, bulk edit context menu allows addin...",4511,   Having the nice user group feature in Redmine ...,relates
182,30336,"  Currently, I can enable or disable ""Log Time"" ...",29490,  I would like to have a flag that can restrict ...,duplicates
183,26465,  Inspired by #20063-3 I thought that it would b...,29489,  The attached patch adds an @issue(123)@ macro ...,relates
184,6655,"   Now I see a lot of projects in one page, but I...",29482,  The attached patch adds the existing query sys...,relates
185,572,"   Because we have really long list of projects, ...",29482,  The attached patch adds the existing query sys...,relates
186,28678,"  Why? There is a lot of cases, when we need thi...",29482,  The attached patch adds the existing query sys...,relates
187,29482,  The attached patch adds the existing query sys...,20081,"  When filtering (issues, spent time, etc) by pr...",relates
188,3224,"   As project managers, we are going to project l...",29482,  The attached patch adds the existing query sys...,relates
189,32302, I think it will be useful to allow users to fi...,29482,  The attached patch adds the existing query sys...,relates
190,29482,  The attached patch adds the existing query sys...,32818, Add a system settings for default results disp...,relates
191,571,   It can be nice to enable/disable displaying pr...,29482,  The attached patch adds the existing query sys...,relates
192,33490," Current ""Subproject of"" filter implementation ...",29482,  The attached patch adds the existing query sys...,relates
193,12329,"   I'd like to suggest adding filters to the ""pro...",29482,  The attached patch adds the existing query sys...,duplicates
194,22966,  Basically the same is when working with ticket...,29482,  The attached patch adds the existing query sys...,duplicates
195,22327,"  Having worked with Redmine for a while, I now ...",29482,  The attached patch adds the existing query sys...,duplicates
196,2399,   Wouldn´t it be great if one could use custom f...,29482,  The attached patch adds the existing query sys...,duplicates
197,26494,  Currently all project list  displays on multip...,29482,  The attached patch adds the existing query sys...,duplicates
198,24841,"  Dear developers,\r\n\r\ncurrently redmine list...",29482,  The attached patch adds the existing query sys...,duplicates
199,26641,  can we have report display all project informa...,29482,  The attached patch adds the existing query sys...,duplicates
200,1472,   Used tables to create an organized view of all...,29482,  The attached patch adds the existing query sys...,duplicates
201,2117,   When handling multiple projects with one Redmi...,29482,  The attached patch adds the existing query sys...,duplicates
202,9207,"   On some Redmine installations, the single Redm...",29482,  The attached patch adds the existing query sys...,duplicates
203,22124,"  Instead of a plain list of projects, there cou...",29482,  The attached patch adds the existing query sys...,duplicates
204,29482,  The attached patch adds the existing query sys...,33422, This would be nice to have now that #29482 is ...,precedes
205,29473,"  While editing issue, Ctrl+Enter should invoke ...",449,   It would be so convinient and productive if re...,relates
206,29473,"  While editing issue, Ctrl+Enter should invoke ...",33918,This feature should be documented on [[Redmine...,precedes
207,29471,  This is very popular function in modern tools ...,13919,   https://github.com/dwarburt/redmine-mention-pl...,duplicates
208,29470,"  There are some types of trackers (like ""Story ...",27988,  A few months after we started using Redmine in...,relates
209,29435,  The list of discussion boards is poorly implem...,29451,  In the age of responsive web applications and ...,relates
210,17006,"  I wouldn't like to see issues on ""my page"" fro...",29449,"  Users see issues assigned to them on My Page, ...",duplicates
211,30460,"  When a project was closed and read-only, all m...",29449,"  Users see issues assigned to them on My Page, ...",duplicates
212,20081,"  When filtering (issues, spent time, etc) by pr...",29449,"  Users see issues assigned to them on My Page, ...",blocks
213,29435,  The list of discussion boards is poorly implem...,29451,  In the age of responsive web applications and ...,relates
214,29321,"  The issues view is split in two sections, the ...",29034,"  In #29027, I've proposed to add an collapse/ex...",relates
215,29309,"  Dear Team,\r\n\r\nWe are using Redmine for int...",7765,   Hello\r\n\r\nI was thinking about a report fea...,duplicates
216,29286,"  Currently, you can set a default spent time ac...",938,"   Each users should have it's own ""default activ...",relates
217,7080,   We have a general project called Administratio...,29286,"  Currently, you can set a default spent time ac...",relates
218,29272,"  Hi,\r\nFor the moment it's possible to get all...",33418, Sometimes you need to add a lot of relations t...,relates
219,32406, For the moment the relations can be added one ...,29272,"  Hi,\r\nFor the moment it's possible to get all...",duplicates
220,29214,  It would be very nice if we have a little butt...,5953,   I hope that we can copy (and paste) RSS/REST A...,relates
221,29212,  can you add a feature to export gantt chart to...,3097,   Then it can be converted to Excel file for fur...,duplicates
222,3272,   It would be very nice to have the ability to i...,29187,  The idea :\r\n\r\nUse this code @!attachment#8...,relates
223,29181,"  Hi, I wanted to propose that somehow edit the ...",9184,   It would be very helpful to be able to edit is...,relates
224,17907,  Redmine is good for project management. But no...,29164,"  The function of Redmine is flexible, and it ca...",relates
225,29131,  'View all Issues' adds project custom fields  ...,18006,"  In an issue list, it is possible to filter by ...",duplicates
226,29097,  Hi I am new to redmine and we have installed i...,1385,"   I've attached ""migrate_from_jira.rake"", which ...",duplicates
227,29053,"  ""Email notifications"" section on ""My account"" ...",29080,"  In ""Copy"" section on copy_project page, which ...",copied_to
228,29053,"  ""Email notifications"" section on ""My account"" ...",29080,"  In ""Copy"" section on copy_project page, which ...",copied_to
229,24568,  It is not possible to select a locked user for...,29042,  This issue is extracted from 24568#note-8.\r\n...,relates
230,9994,"   This helps to stay on the report window, and g...",29042,  This issue is extracted from 24568#note-8.\r\n...,relates
231,25288,"  When working with spent time report, I would l...",29042,  This issue is extracted from 24568#note-8.\r\n...,duplicates
232,28952,  On setups where a lot of logins happen (e.g. w...,29041,  this is simmilar to #28952\r\n\r\nif Rails.app...,relates
233,29027,  I've tested the patch series in #3058 on the l...,29034,"  In #29027, I've proposed to add an collapse/ex...",relates
234,29321,"  The issues view is split in two sections, the ...",29034,"  In #29027, I've proposed to add an collapse/ex...",relates
235,11988,   I think is better put the thumbnails and the a...,29034,"  In #29027, I've proposed to add an collapse/ex...",relates
236,25925,  In order to see more of the old notes on scree...,29034,"  In #29027, I've proposed to add an collapse/ex...",relates
237,29027,  I've tested the patch series in #3058 on the l...,29034,"  In #29027, I've proposed to add an collapse/ex...",relates
238,28969,  *Orientation*\r\n\r\nRedmine 3.3.1.stable sear...,22675,"  Hello,\r\ncould be useful have the possibility...",relates
239,28952,  On setups where a lot of logins happen (e.g. w...,29041,  this is simmilar to #28952\r\n\r\nif Rails.app...,relates
240,28913,  Would like Redmine to track when watchers are ...,9122,   It should be possible to track adding and remo...,duplicates
241,28829,  Patch #26655 has added icons to open the conte...,729,"   Currently, after clicking ""Update"" on a ticket...",relates
242,28829,  Patch #26655 has added icons to open the conte...,28086,  In addition to the nice improvements in #10485...,relates
243,33153, One of the most often action when working with...,28829,  Patch #26655 has added icons to open the conte...,relates
244,8095,   It would be good to let the text formatting be...,28823,  Have you any plans to implement different mark...,relates
245,28683,"  i think it would be a nice and easy thing, to ...",28011,  The maximum number of issues to be displayed o...,duplicates
246,28678,"  Why? There is a lot of cases, when we need thi...",29482,  The attached patch adds the existing query sys...,relates
247,28533,  I have more than 40 different querys and it wo...,9309,"   Especially for public queries, it would be rea...",duplicates
248,28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",10989,   I am able to close a parent issue while its Ch...,relates
249,31322,  I wish to add the function of reminder which s...,28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",relates
250,28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",31589, You cannot close an issue if it has open subta...,relates
251,31321,"  From Redmine 3.4, the parent issue can't be ab...",28492,"  Hello,\r\n\r\nI saw that: r16108.\r\n\r\nBut a...",duplicates
252,28405,  Currently it's possible to assign issue only t...,8629,   This feature request is vaguely similar to #73...,duplicates
253,28368,  Hi \r\n   Created private project in redmine w...,8488,"   As requested by some people (#7414#note-16, #7...",duplicates
254,28338,  I have started implementing a Resque backend f...,26791,"  With this patch series, we are introducing the...",relates
255,28330,  !{width: 70%; border:1px solid #ccc}highlighte...,22978,"  When I follow e.g. the link #4806#note-9, the ...",relates
256,28312,  We occasionally get users updating issues that...,1737,   i'd very much like to have a feature similar t...,duplicates
257,28308,  can we add validation of spent time for the ye...,13244,   For example any user have to log his spent tim...,relates
258,29667,  https://weblog.rubyonrails.org/2017/9/27/Rails...,28247,"  * Trunk should be updated to Rails 5.1.5, whic...",relates
259,25578,  I think it should be great to have a way to im...,28234,  h3. Preface\r\n\r\nThe imports controller was ...,duplicates
260,28198,"  As promised in #22701, I now would like to pro...",28213,"  As described in #25799, it can be tedious to r...",relates
261,28213,"  As described in #25799, it can be tedious to r...",25799,  We use the issue import feature in Redmine whe...,relates
262,26326,"  As in Ticket #25799 mentioned, there would be ...",28213,"  As described in #25799, it can be tedious to r...",relates
263,28202,  It would be very helpful to be able to update ...,23448,  I'd like to have the possibility to update iss...,duplicates
264,28200,  Can you add more visible element to edit the d...,7603,   Thanks very much for your great software!  I'v...,relates
265,28198,"  As promised in #22701, I now would like to pro...",22701,  When importing issues via CSV with parent rela...,relates
266,28198,"  As promised in #22701, I now would like to pro...",28213,"  As described in #25799, it can be tedious to r...",relates
267,33330, There is no ability to import Issue relations ...,28198,"  As promised in #22701, I now would like to pro...",duplicates
268,29615,  it would be very handy to have a filter criter...,28170,"  In the issues view, it would be helpful to fil...",duplicates
269,28094,  Kotlin usage is growing recently and I have qu...,24681,  I propose replacing CodeRay with other syntax ...,relates
270,28829,  Patch #26655 has added icons to open the conte...,28086,  In addition to the nice improvements in #10485...,relates
271,28085,  Upon upgrading to version 3.4.4 we noticed we ...,29712,"  Currently, full-width custom fields don't have...",duplicates
272,28011,  The maximum number of issues to be displayed o...,10713,"   In the user account setting, add some configur...",relates
273,28683,"  i think it would be a nice and easy thing, to ...",28011,  The maximum number of issues to be displayed o...,duplicates
274,29470,"  There are some types of trackers (like ""Story ...",27988,  A few months after we started using Redmine in...,relates
275,27920,  If all versions are closed or locked and there...,4569,   With feature #4315 new versions can be added f...,duplicates
276,27870,  Hi\r\nCould you please create API for editing/...,10171,   Currently viewing journals via REST API is pos...,duplicates
277,27864,"  Hi,\r\noften I copy issues across versions. My...",14342,"  When I copy tasks with subtasks, the changed p...",duplicates
278,27823,  I want the function to display only the ticket...,6300,"   When managing many projects, sometimes you'd j...",relates
279,27368,  This patch implements preview for comments for...,27758,  I'm working on a patch that adds the Preview f...,relates
