,id1,Description1,id2,Description2,Type of dependency
51,89582, *Motivation*\r\nCurrently there is being some ...,73665,"  Hey guys,\r\n\r\nI want to suggest a new featu...",relates
52,89582, *Motivation*\r\nCurrently there is being some ...,46017,   For multi language sites it is not really conv...,relates
53,89574," The messages ""Congrats, this page will look li...",89573, If field type slug is used in custom records (...,relates
54,89574," The messages ""Congrats, this page will look li...",89573, If field type slug is used in custom records (...,relates
55,89556," Once the integration is done and stable, backp...",89526, To let people experience the new translation s...,relates
56,89556," Once the integration is done and stable, backp...",89526, To let people experience the new translation s...,relates
57,89524, Currently it's not possible to search for loca...,46017,   For multi language sites it is not really conv...,relates
58,89524, Currently it's not possible to search for loca...,73665,"  Hey guys,\r\n\r\nI want to suggest a new featu...",relates
59,89582, *Motivation*\r\nCurrently there is being some ...,89524, Currently it's not possible to search for loca...,relates
60,89509, Fluid does not provide a way to access flexfor...,92402, The FlexFormService should convert values into...,relates
61,89509, Fluid does not provide a way to access flexfor...,92875,The tCA allows the field flex. I want use some...,relates
62,89502, It should be possible to set the title of the ...,85592,  Make it possible to define the site title in t...,duplicates
63,88947,  This was an idea / feature request that was ma...,89458, It is possible to add a different url for manu...,relates
64,89457, There are several use cases where it is necess...,85127,  Sometimes there may be problems with external ...,relates
65,89389,  While making use of xml2tree the function xmlR...,40503,   A general problem of Typo3 is the XHTML suppor...,relates
66,89381,  Vimeo allows to omit cookies by adding a GET p...,84843,  ask users for consent before loading youtube i...,relates
67,89322,"  Currently, it is not possible to use TYPO3 in ...",87072,"  Currently, the choice of lock strategy is fixe...",relates
68,89292,  With #89143 a new feature for correlation ids ...,89143,  The record history needs a correlation id to a...,relates
69,89209,"  To lower the entry level, the workspace module...",65249,  It would be great for user experience if it wa...,duplicates
70,89177,  The linkvalidator's default PageTsConfig curre...,92542, We repeatedly have errors in the log due to in...,relates
71,89292,  With #89143 a new feature for correlation ids ...,89143,  The record history needs a correlation id to a...,relates
72,91080, In older TYPO3 versions it is possible to defi...,89102,"  There will be site wide settings available, th...",relates
73,88954,  I would like to be able to tell the f:image f:...,59067,"  When rendering an image, TYPO3 6.x places it i...",relates
74,88947,  This was an idea / feature request that was ma...,89458, It is possible to add a different url for manu...,relates
75,88908,  \r\nWhen you modify the CType of a content ele...,76925,  When I create a new tt_content entry using the...,relates
76,88844,  Observed with TYPO3 CMS v9.5.4\r\n\r\nWhen loc...,88845,  Observed with TYPO3 CMS v9.5.4\r\n\r\nWhen loc...,relates
77,88844,  Observed with TYPO3 CMS v9.5.4\r\n\r\nWhen loc...,88845,  Observed with TYPO3 CMS v9.5.4\r\n\r\nWhen loc...,relates
78,90374, Creating a new file reference in frontend cont...,88833,  Related to https://forge.typo3.org/issues/4896...,relates
79,88818,  h1. Use Cases are:\r\n\r\n*kriss toff [17:09]*...,91619, I have a one tree installation with two langua...,relates
80,92088, Hi!\r\n\r\nIt would be great to think about us...,88537,"  Hey,\r\n\r\ni think that support for WebP imag...",duplicates
81,88470,  We have a lot of customers who are migrating f...,90243, It would be nice to have a message field in th...,relates
82,85134,  As a user I want to change the email template ...,88470,  We have a lot of customers who are migrating f...,duplicates
83,88322,  Allow the overwriting of the slug field via Pa...,89875, I would recommend to make some of the slug fie...,relates
84,87844,  Add a option to exclude pages from speaking ur...,88198,  In order to allow custom specifics for website...,relates
85,88147,"  Hey,\r\n\r\ncan you maybe set configurable pat...",92364, In the sitemap of sysext seo the stylesheets c...,relates
86,87856,  TYPO3 LTS v8 and v9 require Swiftmailer with v...,90370, Use @egulias/email-validator@ for email valida...,relates
87,87844,  Add a option to exclude pages from speaking ur...,88198,  In order to allow custom specifics for website...,relates
88,87836,  It should be possible to link to a language ve...,22113,   Sometimes it's necessary to link to an explici...,relates
89,87693,  Currently the alternative domain can be config...,86400,  Variants for the site's variant were added in ...,duplicates
90,87457,  This patch introduces the requirement to symfo...,93197,Right now only the property @var annotation ca...,relates
91,85939,  Since the standard allows the integrity-attrib...,87420,  In order to ensure that Stylesheets and JavaSc...,duplicates
92,87341,  It would be really nice to have a possibility ...,86937,  Situation:\r\n\r\n# I did fresh install TYPO3 ...,relates
93,87341,  It would be really nice to have a possibility ...,86495,  When the slug changes (for example because one...,duplicates
94,80793,  Admins should be able to define a password pol...,87299,  Enhance TYPO3 functionality concerning passwor...,relates
95,87199,  It would be great if the email content could b...,84849,  As a user I want to be able to add a link or s...,duplicates
96,87152,  A finisher „Summary“ wich is the same as the s...,87151,  An RTE for the message in the confirmation fin...,relates
97,87152,  A finisher „Summary“ wich is the same as the s...,87151,  An RTE for the message in the confirmation fin...,relates
98,87151,  An RTE for the message in the confirmation fin...,84849,  As a user I want to be able to add a link or s...,duplicates
99,87092,  Currently many messages (feedback / error) are...,17274,   They should be moved to one of standard langua...,relates
100,87091,  Currently the installtool is only in English a...,87092,  Currently many messages (feedback / error) are...,relates
101,87091,  Currently the installtool is only in English a...,87092,  Currently many messages (feedback / error) are...,relates
102,87091,  Currently the installtool is only in English a...,17274,   They should be moved to one of standard langua...,relates
103,89322,"  Currently, it is not possible to use TYPO3 in ...",87072,"  Currently, the choice of lock strategy is fixe...",relates
104,86949,  hello.\r\n\r\nwhere can i overwrite this annoy...,84849,  As a user I want to be able to add a link or s...,duplicates
105,86937,  Situation:\r\n\r\n# I did fresh install TYPO3 ...,86496,"  When updating an url-segment from ""/parent-pag...",relates
106,87341,  It would be really nice to have a possibility ...,86937,  Situation:\r\n\r\n# I did fresh install TYPO3 ...,relates
107,86495,  When the slug changes (for example because one...,86937,  Situation:\r\n\r\n# I did fresh install TYPO3 ...,relates
108,86908,"  Hello, \r\nIt seems there is not any option fo...",71831,  the new 'text & media' element has no possibil...,relates
109,86681,  When exporting database records from the backe...,84517,  It would be nice if I could change the delimit...,duplicates
110,86548,  Regarding this tweet https://twitter.com/xpers...,86549,  This feature request is related to #86548\r\n\...,relates
111,86548,  Regarding this tweet https://twitter.com/xpers...,65124,  Quite often editors request the possibility to...,relates
112,86548,  Regarding this tweet https://twitter.com/xpers...,86549,  This feature request is related to #86548\r\n\...,relates
113,86496,"  When updating an url-segment from ""/parent-pag...",86495,  When the slug changes (for example because one...,relates
114,86937,  Situation:\r\n\r\n# I did fresh install TYPO3 ...,86496,"  When updating an url-segment from ""/parent-pag...",relates
115,86496,"  When updating an url-segment from ""/parent-pag...",86495,  When the slug changes (for example because one...,relates
116,86495,  When the slug changes (for example because one...,86937,  Situation:\r\n\r\n# I did fresh install TYPO3 ...,relates
117,87341,  It would be really nice to have a possibility ...,86495,  When the slug changes (for example because one...,duplicates
118,86400,  Variants for the site's variant were added in ...,86303,  The base of a variant can be different for dif...,relates
119,87693,  Currently the alternative domain can be config...,86400,  Variants for the site's variant were added in ...,duplicates
120,86400,  Variants for the site's variant were added in ...,86303,  The base of a variant can be different for dif...,relates
121,23899,   Sometimes you wish to give control instruction...,86220,  The debug function at typo3_src-9.3.3/typo3/sy...,relates
122,85986,  The default behaviour of the inline TCA input ...,24019,   The current implementation always adds new IRR...,relates
123,85939,  Since the standard allows the integrity-attrib...,87420,  In order to ensure that Stylesheets and JavaSc...,duplicates
124,85843,  TYPO3 installation should notify backend users...,73713,  Is it an idea to add a warning in the system i...,duplicates
125,89502, It should be possible to set the title of the ...,85592,  Make it possible to define the site title in t...,duplicates
126,85590,  Use case:\r\nWe would like customize the csv f...,71321,"  When I create a task -> sql query, and I make ...",relates
127,85134,  As a user I want to change the email template ...,88470,  We have a lot of customers who are migrating f...,duplicates
128,89457, There are several use cases where it is necess...,85127,  Sometimes there may be problems with external ...,relates
129,85054,  to replace the various ViewHelpers throughout ...,84983,  The core features two dedicated EditRecordLink...,relates
130,84704,"  h1. Problem\r\n\r\nCurrently, the links are di...",84990,"  h1. Problem\r\n\r\nCurrently, RteHtmlParser::m...",relates
131,85054,  to replace the various ViewHelpers throughout ...,84983,  The core features two dedicated EditRecordLink...,relates
132,90243, It would be nice to have a message field in th...,84849,  As a user I want to be able to add a link or s...,relates
133,84532,"  Hello there,\r\n\r\nIt should be made possible...",84849,  As a user I want to be able to add a link or s...,duplicates
134,86949,  hello.\r\n\r\nwhere can i overwrite this annoy...,84849,  As a user I want to be able to add a link or s...,duplicates
135,87199,  It would be great if the email content could b...,84849,  As a user I want to be able to add a link or s...,duplicates
136,87151,  An RTE for the message in the confirmation fin...,84849,  As a user I want to be able to add a link or s...,duplicates
137,89381,  Vimeo allows to omit cookies by adding a GET p...,84843,  ask users for consent before loading youtube i...,relates
138,84775,  The HMENU should be extended to support the au...,84650,  Introduce a new language menu processor which ...,relates
139,84704,"  h1. Problem\r\n\r\nCurrently, the links are di...",84990,"  h1. Problem\r\n\r\nCurrently, RteHtmlParser::m...",relates
140,84656,  It might be useful to set the target language ...,90825, This is a kind of follow-up of ticket #22113\r...,relates
141,84775,  The HMENU should be extended to support the au...,84650,  Introduce a new language menu processor which ...,relates
142,84584,  * Settings influencing page rendering should b...,84585,  The info module should provide more informatio...,relates
143,84584,  * Settings influencing page rendering should b...,22564,   Previewing of group-limited content only works...,relates
144,84584,  * Settings influencing page rendering should b...,84585,  The info module should provide more informatio...,relates
145,84532,"  Hello there,\r\n\r\nIt should be made possible...",84849,  As a user I want to be able to add a link or s...,duplicates
146,84517,  It would be nice if I could change the delimit...,54075,  It would be nice if I could change the delimit...,relates
147,86681,  When exporting database records from the backe...,84517,  It would be nice if I could change the delimit...,duplicates
148,84493,"  I noticed, that only 'pages' (and language tab...",84244,"  I tried to use the ""new"" way to handle Restric...",relates
149,84493,"  I noticed, that only 'pages' (and language tab...",84244,"  I tried to use the ""new"" way to handle Restric...",relates
150,84183,  Is it possible to make backend panels resizabl...,78760,  With TYPO3 CMS version 8.4 in the BE the colum...,relates
151,83673,  TYPO3 is known for its good multilanguage supp...,84133,  Variants allow you to change properties of a f...,relates
152,81593,"  Are there any plans, or is it already possible...",84133,  Variants allow you to change properties of a f...,relates
153,82211,  Currently it's possible to override form defin...,84133,  Variants allow you to change properties of a f...,relates
154,83965,"  As an editor, I want read important instructio...",61170,  as a page may contain a lot of records the dis...,duplicates
155,83858,"  Hi,\r\n\r\nonly one thought.\r\n\r\nA customer...",24019,   The current implementation always adds new IRR...,relates
156,83834,  In order to allow the debugging of YAML config...,90052, To ease debugging of the form yaml configurati...,relates
157,83824,  It would be nice that for IRRE records with a ...,70200,  The inline foreign_selector should support sug...,relates
158,83677,"  Hello Core-Team,\r\n\r\nI would prefer a globa...",83655,  Add a possibility to export the redirects as w...,relates
159,83673,  TYPO3 is known for its good multilanguage supp...,84133,  Variants allow you to change properties of a f...,relates
160,83672,"  To be able to use EXT:form just as it is, a JS...",31094,   Currently the submitted data of the form is on...,relates
161,83668,  When you have a lot of files in 1 directory an...,64764,"  Hi,\r\n\r\nThe current system to browse record...",relates
162,83677,"  Hello Core-Team,\r\n\r\nI would prefer a globa...",83655,  Add a possibility to export the redirects as w...,relates
163,83463,  Since Core extensions (sysexts) are stable and...,70157,  When looking in the EM for my installed extens...,relates
164,89894, h2. Background\r\n\r\nThe Extension Manager in...,83463,  Since Core extensions (sysexts) are stable and...,relates
165,83461,  Currently it is really hard to get to the actu...,92283," In the backend forms, the fieldnames are displ...",relates
166,34541,"   In the Info-Module -> ""Pagetree overview"" the ...",83449,  the info module has currently a hardcoded sele...,relates
167,83338,  Serializing is not clean at all and can potent...,4387,   It'd be useful to have a way to automatically ...,relates
168,83285,  h1. Problem/Description\r\n\r\nIt would be nic...,81991,"  Hi, there.\r\n\r\ni am missing a dopdown field...",relates
169,82356,  Check if it is possible to upload multiple fil...,80129,"  Allow the editor to set the ""multiple"" attribu...",relates
170,82212,  The current FlexForm storage method is only aw...,92402, The FlexFormService should convert values into...,relates
171,82211,  Currently it's possible to override form defin...,84133,  Variants allow you to change properties of a f...,relates
172,82108,  Add support to reference a file wirh EXT: syntax,82091,  Currently the SVG content object renders SVG f...,relates
173,82108,  Add support to reference a file wirh EXT: syntax,82091,  Currently the SVG content object renders SVG f...,relates
174,62718,  The result of an indexed_search search shows u...,82070,  The search result has a path with the pagetree...,relates
175,82055,  The @noopener@ link type prevents an opened UR...,78488,"  Hey there,\r\n\r\nis there a solution for the ...",duplicates
176,83285,  h1. Problem/Description\r\n\r\nIt would be nic...,81991,"  Hi, there.\r\n\r\ni am missing a dopdown field...",relates
177,81623,  The new TYPO3 8 core Linkhandler functionality...,79626,"  integrate the linkhandler into the core, not a...",relates
178,81593,"  Are there any plans, or is it already possible...",84133,  Variants allow you to change properties of a f...,relates
179,81379,"  Hi,\r\n\r\nIt would be nice to have a possibil...",17406,   Initial situation:\r\nI have a menu point in f...,relates
180,81327,"  Similar to the ""Save and view page"" feature wh...",77581,  In #66370 the configuration for the preview ur...,duplicates
181,81252,  TYPO3 has 3 different methods/places to genera...,77581,  In #66370 the configuration for the preview ur...,duplicates
182,80945,  Speaking URLs must be a TYPO3 core feature in ...,79618,  Configuring URLs in TYPO3 is pain in the ass.\...,relates
183,80793,  Admins should be able to define a password pol...,59073,  * flag for a user that the password neeeds to ...,relates
184,80793,  Admins should be able to define a password pol...,21659,   Currently there is no way to configure a minim...,relates
185,80793,  Admins should be able to define a password pol...,59074,  * flag for a user that the password neeeds to ...,relates
186,80793,  Admins should be able to define a password pol...,69190,"  Hi,\r\n\r\nA great feature will be to add a ne...",relates
187,80793,  Admins should be able to define a password pol...,78928,"  Hello everyone,\r\n\r\nis it possible to integ...",relates
188,80793,  Admins should be able to define a password pol...,51479,  Show somehow which user passwords are treatend...,relates
189,37800,   I would like to see a hook added for checking ...,80793,  Admins should be able to define a password pol...,relates
190,80793,  Admins should be able to define a password pol...,87299,  Enhance TYPO3 functionality concerning passwor...,relates
191,80792,  Provide a strength meter for password fields t...,80793,  Admins should be able to define a password pol...,blocks
192,80791,  during entry of password data into password fi...,80792,  Provide a strength meter for password fields t...,blocks
193,80792,  Provide a strength meter for password fields t...,80793,  Admins should be able to define a password pol...,blocks
194,19256,   Use Javascript event handler (onkeypress) to c...,80791,  during entry of password data into password fi...,relates
195,80791,  during entry of password data into password fi...,80792,  Provide a strength meter for password fields t...,blocks
196,80697,  I think it's a usefull feature to define a def...,68895,  Adding @options.defaultUploadFolder@ to PageTS...,relates
197,80659,  I need to set the charset of the database to u...,80398,  to be able to store 4 byte unicode characters ...,relates
198,80559,  each input or output should be able to handle ...,64372,  For a website with users from the other side o...,relates
199,80559,  each input or output should be able to handle ...,61110,  Johannes Feustel:\r\n> As an editor and as a d...,duplicates
200,67750,  Suggestion for TYPO3 7.x  (I don't know if som...,80477,  Based on the work from https://github.com/witr...,relates
201,80659,  I need to set the charset of the database to u...,80398,  to be able to store 4 byte unicode characters ...,relates
202,80398,  to be able to store 4 byte unicode characters ...,71454,  There should be a possibility to set the conne...,relates
203,80378,  Hi \r\nin the BE filelist module we can upload...,20558,   Many users want to upload a lot of files in a ...,relates
204,80212,  Here's a longer term idea (proposal): move all...,92431, To be able to version the configuration and re...,relates
205,82356,  Check if it is possible to upload multiple fil...,80129,"  Allow the editor to set the ""multiple"" attribu...",relates
206,80128,  When an editor sets a minimum field length the...,80126,  When an editor sets a maximum field length the...,relates
207,80125,"  While currently a validator for emails exist, ...",80127,  The field validator range should set the attri...,relates
208,80128,  When an editor sets a minimum field length the...,80126,  When an editor sets a maximum field length the...,relates
209,80125,"  While currently a validator for emails exist, ...",80127,  The field validator range should set the attri...,relates
210,79928,  In the function @\TYPO3\CMS\Core\Utility\Exten...,77540,  Currently it's not possible to use a string fr...,relates
211,79900,  This patch add Unicode detection for Oracle da...,79899,  Thish is a patch to begin adding Oracle suppor...,relates
212,79900,  This patch add Unicode detection for Oracle da...,79899,  Thish is a patch to begin adding Oracle suppor...,relates
213,79889,  See number 3 in #79795\r\n,79795,  Hi TYPO3 folks and core team!\r\n\r\nI’m worki...,relates
214,79888,  Replace all $knownPwassword == $givenPassword ...,79795,  Hi TYPO3 folks and core team!\r\n\r\nI’m worki...,relates
215,79888,  Replace all $knownPwassword == $givenPassword ...,79795,  Hi TYPO3 folks and core team!\r\n\r\nI’m worki...,relates
216,79889,  See number 3 in #79795\r\n,79795,  Hi TYPO3 folks and core team!\r\n\r\nI’m worki...,relates
217,64764,"  Hi,\r\n\r\nThe current system to browse record...",79679,  My wishlist:\r\n\r\n1) Show file creation date...,relates
218,66620,"  I wrote a viewhelper for fe edit, it would be ...",79633,  Add a new frontend editing extension that adds...,relates
219,79626,"  integrate the linkhandler into the core, not a...",76859,  Having the following gives us functionality to...,relates
220,81623,  The new TYPO3 8 core Linkhandler functionality...,79626,"  integrate the linkhandler into the core, not a...",relates
221,80945,  Speaking URLs must be a TYPO3 core feature in ...,79618,  Configuring URLs in TYPO3 is pain in the ass.\...,relates
222,79403,  A rather extensive library of general purpose ...,79430,  *Problem:*\r\nI am using the DataProcessor to ...,relates
223,79403,  A rather extensive library of general purpose ...,79430,  *Problem:*\r\nI am using the DataProcessor to ...,relates
224,79387,  The $nonRelationTables and $nonRelationFields ...,65460,  The patch https://review.typo3.org/#/c/35191 m...,relates
225,79387,  The $nonRelationTables and $nonRelationFields ...,65461,  The patch https://review.typo3.org/#/c/35191 i...,relates
226,78036,  If you rename a folder in the filelist and hav...,79366,  Observed with TYPO3 6.2\r\n\r\nAn editor can r...,relates
227,79225,  Since #69459 is possible to use Fluid for the ...,69459,  A new option via TSconfig allows to render tt_...,relates
228,71343,"  Hi,\r\n\r\n#69459 brings nice functionality to...",79225,  Since #69459 is possible to use Fluid for the ...,duplicates
229,32051,   Hi there\r\n\r\nit would be nice to be able to...,79054,"  Hello,\r\n\r\nin a Repository I will sort the ...",relates
230,78931,  Actually ajax is used for hide/unhide or delet...,72908,"  Whenever one is going to activate a buttone, e...",relates
231,78931,  Actually ajax is used for hide/unhide or delet...,75462,  Just a usability suggestion which would correc...,relates
232,78931,  Actually ajax is used for hide/unhide or delet...,92295, It'would be nice if it were possibleto to sort...,relates
233,80793,  Admins should be able to define a password pol...,78928,"  Hello everyone,\r\n\r\nis it possible to integ...",relates
234,84183,  Is it possible to make backend panels resizabl...,78760,  With TYPO3 CMS version 8.4 in the BE the colum...,relates
235,78532,  If you have an image relation field defined in...,24019,   The current implementation always adds new IRR...,relates
236,78488,"  Hey there,\r\n\r\nis there a solution for the ...",34288,"   When I set an attribute rel=""nofollow"" to the ...",relates
237,78488,"  Hey there,\r\n\r\nis there a solution for the ...",5341,   Some users (simple redactors) don't know what ...,relates
238,82055,  The @noopener@ link type prevents an opened UR...,78488,"  Hey there,\r\n\r\nis there a solution for the ...",duplicates
239,78373,"  Hey TYOP3 world,\r\n\r\nWhile working with res...",52225,  Sometimes I have a contents with restricted ac...,duplicates
240,78036,  If you rename a folder in the filelist and hav...,79366,  Observed with TYPO3 6.2\r\n\r\nAn editor can r...,relates
241,78036,  If you rename a folder in the filelist and hav...,90325, *Prerequisits:*\r\nTypo3 v8.7.30 (most likely ...,relates
242,70461,  Since 6.2 fields that are editable in the back...,77848,"  ""Soft hyphens"":https://en.wikipedia.org/wiki/S...",relates
243,77842,  Not sure if I'm in the right category and ther...,7459,   When creating a new Content Element the result...,relates
244,77842,  Not sure if I'm in the right category and ther...,67750,  Suggestion for TYPO3 7.x  (I don't know if som...,relates
245,81252,  TYPO3 has 3 different methods/places to genera...,77581,  In #66370 the configuration for the preview ur...,duplicates
246,81327,"  Similar to the ""Save and view page"" feature wh...",77581,  In #66370 the configuration for the preview ur...,duplicates
247,77572,  Similar to the search in EXT:recordlist the se...,71469,  Similar to the record search in the list modul...,relates
248,77572,  Similar to the search in EXT:recordlist the se...,53666,  During the UXW09 it was defined that we only w...,relates
249,79928,  In the function @\TYPO3\CMS\Core\Utility\Exten...,77540,  Currently it's not possible to use a string fr...,relates
250,77532,  The current implementation of the cropping too...,61796,  Image cropping has to be intelligent and autom...,blocks
251,77224,  In issue 77048 I suggested to have SVG files e...,77048,  TYPO3 CMS 7 introduces usage of SVG in icons a...,relates
252,77224,  In issue 77048 I suggested to have SVG files e...,77048,  TYPO3 CMS 7 introduces usage of SVG in icons a...,relates
253,77025,"  On validation errors, extbase forwards to the ...",70384,  When a validation error happens during form su...,relates
254,88908,  \r\nWhen you modify the CType of a content ele...,76925,  When I create a new tt_content entry using the...,relates
255,79626,"  integrate the linkhandler into the core, not a...",76859,  Having the following gives us functionality to...,relates
256,76796,"  Like media, categories, etc.",76433,"  Hi,\r\n\r\nhaving enabled categories tab in ba...",relates
257,67884,  gather all CEs which are not assigned to a val...,76564,  Imagine the following scenario:\r\n\r\n1) crea...,relates
258,76433,"  Hi,\r\n\r\nhaving enabled categories tab in ba...",60553,"  Please add ""Categories"" palette (from TYPO3 6....",relates
259,76796,"  Like media, categories, etc.",76433,"  Hi,\r\n\r\nhaving enabled categories tab in ba...",relates
260,76015,  It would be great to have an option in the sch...,52286,"  Hi,\r\n\r\nThis might not be that valuable in ...",duplicates
261,21661,   Add an option to blacklist ips for a configura...,75987,  Our current brute force protection is non exis...,relates
262,19987,   It's possible to attack the server and try to ...,75987,  Our current brute force protection is non exis...,relates
263,75858,  Hello\r\n\r\nI would suggest a option which en...,28382,   Instead of evaluating Google Analytics code ri...,relates
264,75723,"  hi,\r\n\r\ni use sr_feuser_register 4.0.2 an t...",46438,"   In the setfix process, once a user has confirm...",duplicates
265,67750,  Suggestion for TYPO3 7.x  (I don't know if som...,75676,  As an editor I want to choose the positon firs...,relates
266,72908,"  Whenever one is going to activate a buttone, e...",75462,  Just a usability suggestion which would correc...,relates
267,78931,  Actually ajax is used for hide/unhide or delet...,75462,  Just a usability suggestion which would correc...,relates
268,66589,  Allow class for flexform sheet tabs in backend...,75266,  There should be a possibility to have at least...,relates
269,75266,  There should be a possibility to have at least...,92903,It would be great to be able to arrange FlexFo...,relates
270,34288,"   When I set an attribute rel=""nofollow"" to the ...",75165,"  Hi all!\r\n\r\nWhen setting links (via RTE, li...",relates
271,75043,  Please use .gz instead of .gzip for statically...,93182,Make the compressed file extension configurabl...,relates
272,74500,"  Keep Backend Preview Templates feature, but do...",73597,"  I want to display not ""n entries"" on a section...",relates
273,73728,  Integrate a Bootstrap-style color-picker:\r\nh...,28950,   constant.txt\r\n\r\n<pre>\r\nconfig.tx_phamlp_...,relates
274,85843,  TYPO3 installation should notify backend users...,73713,  Is it an idea to add a warning in the system i...,duplicates
275,73697,  *Problem*\r\nRemoving many extensions that cou...,71525,  Please add a possibility to deactivate an exte...,relates
276,46017,   For multi language sites it is not really conv...,73665,"  Hey guys,\r\n\r\nI want to suggest a new featu...",relates
277,89524, Currently it's not possible to search for loca...,73665,"  Hey guys,\r\n\r\nI want to suggest a new featu...",relates
