,Unnamed: 0,id1,Description1,id2,Description2,Type of dependency,label
57,1003,28258,curl allowsrncurlopt proxytype teither cur,28839,case may necessary,relates,1
58,326,54030,typoscript option subjectfieldwrap would,68771,would nice make something like,relates,1
59,7542,43402,export record pdf file,46761,optimize listing functionality module,independent,0
60,1997,88609,inside debug panel adminpanel page,36496,would great improvement extens,independent,0
61,104,86548,regarding tweet,86549,feature request related,relates,1
62,4481,67895,seems option dce load schem,14141,using ie openthe extensi,independent,0
63,793,68300,frontend page repository capable,38732,hirnrnlets start modernize content e,relates,1
64,657,46734,would safe class name get,46735,difficult eliminate unwanted brtag,relates,1
65,5423,4821,new keyword encrypt encryptobsc,11504,view new extension manager settingsrnacti,independent,0
66,1313,19586,using latest firefox auto logout th,19152,part implemented idea rnpa,relates,1
67,123,85054,replace various viewhelpers throughout,84983,core feature two dedicated editrecordlink,relates,1
68,1414,18595,feature see attached patch depends,17568,webpage column view tt content,relates,1
69,6951,24345,nice place hook mod,54534,using email form validation sh,independent,0
70,576,51933,usability viewpage module imp,51865,since viewpage module show sele,relates,1
71,1297,18548,every class instance done throug,19192,requirement idea autoloading typo,relates,1
72,8794,19869,currently button undo redo cannot,28494,tca password field befe saltedpas,independent,0
73,1690,4718,possible register custom view,4894,currently chart created equally e,relates,1
74,201,80125,currently validator email exist,80127,field validator range set attri,relates,1
75,3701,3175,still us old mootools libraryrnt,60592,jquery theme cs kb cause conflic,independent,0
76,2617,44345,editor wanted assimilate colum,106,plan svn sso followsrnrn,independent,0
77,577,51915,often want store different kind,36705,beuser open page doctype sysfold,relates,1
78,719,44256,might great able create content,43832,would great session could tagged,relates,1
79,3331,87618,upgrade wizard window show number upgrad,50224,workspace defined owner membe,independent,0
80,5498,4662,need modification component manager,45862,use approach extension news enable,independent,0
81,7467,34428,opened issue reference br,13034,currently youre deleting address ge,independent,0
82,156,49799,current version surf open new ssh co,15063,problem user doesnt po,independent,0
83,8326,49178,hellornrni experience dce f,23735,htmlmail ugly nonrfc conformant,independent,0
84,56,88947,idea feature request,89458,possible add different url manu,relates,1
85,807,37921,currently ship requires n,48223,core currently ship compati,relates,1
86,8856,76217,xclass wording weird term origin,33954,jquery popular mootools,independent,0
87,618,49972,hey guysrnrni check many issue,23085,save view button backend onl,relates,1
88,3044,49010,need ask myopenid usern,72841,use svconnect extension develo,independent,0
89,125,75746,tried fluid versionrnprerntt conten,84640,devs nice see id con,independent,0
90,907,33487,could considered discussion,42176,currently resolution view class,relates,1
91,902,33587,currently delete unused resource,33469,currently resource need database becau,relates,1
92,16,83461,currently really hard get actu,92283,backend form fieldnames displ,relates,1
93,986,28399,custom application bundled validators,6456,add possibility customize validatio,relates,1
94,5309,47231,hellornrnwill extension support,62360,case migration may want purge,independent,0
95,1504,17003,onclickpopup image extension nee,15889,using layermenus confronted,relates,1
96,5208,8082,currently clean way retrieve,34871,wish implement last first pag,independent,0
97,2865,6386,would nice provide support writin,54534,using email form validation sh,independent,0
98,888,34031,alloweditems currently modified th,34027,apply defaultordering based order,relates,1
99,8956,47404,currently must introduce method inte,89454,currently broken link shown th,independent,0
100,2456,55594,download icon,5618,think noticewarning enabling de,independent,0
101,1260,19793,typo core counting row iswas implemen,19786,typo core counting row iswas implemen,relates,1
102,968,29565,felogin decides display according,38844,request codelist felogin,relates,1
103,77,88147,heyrnrncan maybe set configurable pat,92364,sitemap sysext seo stylesheets c,relates,1
104,537,30418,would nice package bootstrapped,54151,hirnrnfor reimplemented,relates,1
105,174,80945,speaking url must core feature,79618,configuring url pain as,relates,1
106,823,44123,first impression flowneos unst,37438,corebootstrap contains following linesr,relates,1
107,511,56556,way currently check existence,56529,way currently check existence,relates,1
108,3728,59915,resizing image imagemagickgraphicsmagic,24435,would nice temp cached file c,independent,0
109,707,44463,documentation lack flow chart,35770,registrating user get email,relates,1
110,309,83463,since core extension sysexts stable,70157,looking em installed extens,relates,1
111,473,29376,number picturesalbumrnexif data,33774,atm ajaxifyed form default load r,independent,0
112,1289,19320,would nice able replace,19347,stdwrap possible yet orde,relates,1
113,1719,3291,need concept cacheable viewhelpers,43457,idea add new argument render viewh,relates,1
114,14,92297,one several possible solution ig,92822,already mentioned problem false po,relates,1
115,23,30019,would like add multiple crawler configura,18095,access control query use time rounded,independent,0
116,102,86548,regarding tweet,86549,feature request related,relates,1
117,6182,60070,possible choose v,11580,hi guysrnnow configurable sea,independent,0
118,175,36121,make view help php extension,53007,rnwhen want create new inline eleme,independent,0
119,6976,85826,hellornrnit would great woul,15553,imho page icon change somehow reflec,independent,0
120,1841,15117,gettypolink support array,33004,attached patch enables provide redire,independent,0
121,6875,20111,one hovers csh icon,1614,display link print codernrnas,independent,0
122,759,46909,hirnrni think would great improve,69,add validation functionality property,independent,0
123,4933,11262,often happens several extension gener,10484,added warning level selector flexfo,independent,0
124,3398,84760,add typoscript condition site siteidenti,57161,config file sealed get,independent,0
125,2217,5222,test like ping http could make,32,design implement configuration manager,independent,0
126,207,79889,see number,79795,hi folk core teamrnrnim worki,relates,1
127,1097,20521,working regular expression regexp de,91600,ive stumbled across low hanging fruit,independent,0
128,1470,16365,versioning part core ui,16626,would nice hide workspace menue,relates,1
129,768,39729,basically related extbase f,39730,case backend module rely,relates,1
130,8363,532,hi folksrnrni need possibility upl,8625,selectable option getrnrna im,independent,0
131,741,3244,hi allrnrnive looked imagewidth,38419,sometimes would helpful see long,independent,0
132,5198,90654,filesprocessor could benefit slide op,92220,necessary full check every,independent,0
133,785,35723,proy environment environm,39016,modify evaluate returned value,relates,1
134,1371,17900,might great individual field,17436,offer possibility define field,relates,1
135,3775,8462,usual query could done adding,11533,latest fingerprint caretaker,independent,0
136,136,22015,good idea configurable pid p,90014,onnly value normal allowed global opt,independent,0
137,929,34133,scoped path parametersrnrnthe uri rfcs,26678,hi everyonernwe need set central st,independent,0
138,431,62101,system status update test cli environ,52283,please add feature skip test,relates,1
139,1463,16835,using condition typoscript po,19515,normally use compar,relates,1
140,4985,960,add localization view log entr,92231,error type error message,independent,0
141,464,59502,hellornrnwe still sitting,29342,system thousand page make,relates,1
142,1619,10680,use case content negotiatio,315,request object mainly webrequest,relates,1
143,6756,49500,would nice able set option,12587,patch attached,independent,0
144,465,62931,based existing typolink view helper th,59396,many request viewhelper,relates,1
145,1407,17638,perhaps start example,17630,us gr list indicates g,relates,1
146,1374,22627,according documentation possible,17886,better solution bug,relates,1
147,7161,48972,would nice could configure,9514,brainstorming addition,independent,0
148,666,17406,initial situationrni menu point f,46138,currently page type shortcut l,relates,1
149,1361,18072,since palette open inline,17680,currently menu left frame us pa,relates,1
150,1703,64023,right tsfe initialized,15076,dropdownmenue visible editin,independent,0
151,6592,85146,id like possibility read environ,16921,try upload extension keep getti,independent,0
152,4940,33748,integrate signal slot handling signal,3576,like filtering certain category,independent,0
153,4457,2335,concern usabilityrnrnundo redo funct,92341,came accross several occasion wou,independent,0
154,556,58557,would nice one could define name,53059,one major source error working f,relates,1
155,3419,9534,would cool possibilty get r,92795,nightly test offer composer max min,independent,0
156,1224,16340,rte configuraion issue,20555,say parsefunc im sure thi,relates,1
157,6162,87552,hellornrnpw teaser aint working wi,16615,user log secured area,independent,0
158,605,21423,log install tool passwo,50613,enhanced security change install tool p,relates,1
159,1574,14669,possible make field edit pag,55976,tca config overridden w,relates,1
160,8772,67745,make possible define list backgroun,538,doctrine sourcecode fetched via,independent,0
161,4204,22324,attached patch rewrite default image,90747,hirnrni think meta tag generator,independent,0
162,5769,16390,would nice checkbox showhi,47914,possible export log entry di,independent,0
163,1597,13230,problemrncurrently standard cs styled,13229,problemrncurrently standard cs styled,relates,1
164,3583,3276,chainvalidator replaced two n,62268,id like default setting youtube,independent,0
165,2665,24511,deleted page marked suff,20146,integrate mass file uploader allows one,independent,0
166,2694,17822,made individual patch file new file,16855,tmenugmenu accept normal wrap,independent,0
167,1036,37604,rest controller provided b,27117,route need option limited certain,relates,1
168,1114,23724,part query determine wheth,23726,tca definition table page loc,relates,1
169,1650,6844,remove shutup operator instead cr,6389,currently objectaccessor always e,relates,1
170,1316,54278,cm team request following change fo,49429,mein kunde hat den steuersatz direkt einer,independent,0
171,507,56744,currently flow developer set sess,30378,would nice proof cookie authent,relates,1
172,4118,46040,would nice add target link ta,39109,hi rnrnbasically table wizard g,independent,0
173,1388,49171,use standard language icon,52495,many time need implode piece co,independent,0
174,1131,23374,prepared query would help take better advant,21614,adodb support memcache query,relates,1
175,8479,37662,example situationrn get arrayrn te,49166,would like integration ex,independent,0
176,333,1545,currently flexform field pm info inc,49749,several module use extbase fluid,independent,0
177,5262,16105,hi would nice possible say,20023,extension rscliem handle cliba,independent,0
178,1603,17860,hirnrnplease heard rndo,76209,may necessary use custom result bro,independent,0
179,1205,21144,use ext autoloadphp file sup,25337,target php core shoul,relates,1
180,4340,16291,cached table info contains type th,46643,would really nice extensio,independent,0
181,2638,38067,would possible create pauseplay bu,4821,new keyword encrypt encryptobsc,independent,0
182,4299,39799,using jquery colorbox tt nwes val,15474,possible use abbrsomething,independent,0
183,7957,9697,hy guysrnrni extend automatic,20375,adding following line function,independent,0
184,734,43133,currently there possibility handle nul,41773,current implementation backen,relates,1
185,8566,50526,new setting available field configuration,18307,creating reference copy element,independent,0
186,1088,24037,problemrninstall script edit point token,23911,currently install lack way store,relates,1
187,7444,28318,language constant used tabl,81844,conditional comment outlook remov,independent,0
188,1658,8774,discussing widget concept r,6609,one possibility join implementation coul,relates,1
189,1125,18879,introduces several page tsconfig setting,23506,different module still f,relates,1
190,8763,8596,isempty constraint check co,16651,ability configure showpermalink boolean,independent,0
191,6508,14470,function platform dependent f,12340,tx linkvalidator linktypes interface curre,independent,0
192,8382,47499,currently implementation doesnt support p,6762,sometimes would great able bind,independent,0
193,705,33914,currently postprocessor sen,44482,currently postprocessor,relates,1
194,2370,16253,quite number extension rely stora,24712,problemrncurrently initlanguage method,independent,0
195,1231,20445,expall menu property going throu,19685,problem currently expall lack stdwrap proper,relates,1
196,91,87092,currently many message feedback error,17274,moved one standard langua,relates,1
197,4449,46892,could nice show difference,55853,hook jquery datatable,independent,0
198,1254,19987,possible attack server try,75987,current brute force protection non exis,relates,1
199,548,61799,currently cm easyworking way fo,53421,youtube video url medium element,relates,1
200,396,64764,hirnrnthe current system browse record,79679,show file creation date,relates,1
201,1437,17630,us gr list indicates g,17253,logged user dont get result query,relates,1
202,3738,3937,hi membersrnrntoday found extension,14254,fix enable movi,independent,0
203,497,48090,would nice would possible,57417,introduced new responsive image whe,relates,1
204,4396,4459,paddingviewhelper useful format st,23844,view page workspace get,independent,0
205,1195,80793,admins able define password pol,21659,currently way configure minim,relates,1
206,1628,4704,fluid parsing exception contain pa,9211,currently viewhelper throw exception,relates,1
207,6101,18017,content element uploads always display,45761,need banner showing,independent,0
208,195,80378,hi rnin filelist module upload,20558,many user want upload lot file,relates,1
209,1278,19497,extmgm api provides method add n,19512,divtrimexplode possible,relates,1
210,938,91419,form framework cache form cause,90509,add widget showing recently edite,independent,0
211,7276,1545,currently flexform field pm info inc,39690,make table accessible property edit,independent,0
212,2625,19255,save file filefilelist scri,2212,implement auto setup option get multiple,independent,0
213,1102,24009,attempt bring selfmonitoring typo,24572,task introduced execute syst,relates,1
214,406,80559,input output able handle,64372,website user side,relates,1
215,3476,23915,every change mor,16860,currentlyrnafter session timeout there,independent,0
216,5598,20395,tsfe frontend user group tried l,17304,right tsconfig possible,independent,0
217,357,66608,current element browser need support,64764,hirnrnthe current system browse record,relates,1
218,1585,45604,please change svn repo git one,6675,hirnrnanother hintrnrni read othe,independent,0
219,9011,10374,would great able retrieve l,62612,show topbar dropdown menu mousehover n,independent,0
220,1468,16666,would great add stdwrapfunctionality,16665,would like writernrnalwaysactivepidl,relates,1
221,833,83395,use mailfinisher reaso,3971,wondering code exists,independent,0
222,3902,7422,would great would possible,87117,problemdescriptionrnrnwould make,independent,0
223,6489,90545,ive seen already,1932,hi rnrnfirst thank gr,independent,0
224,3878,13563,implement option either display pro,8453,hirnrnvery good extension detailed,independent,0
225,790,29565,felogin decides display according,38844,request codelist felogin,relates,1
226,6937,90184,shortrnwe using elts,27097,workspace preview several view p,independent,0
227,6485,5286,userfriendly way check internal,15960,given possible check method,independent,0
228,1361,67164,extension say compatible php,72149,dateviewhelper support datetime obje,independent,0
229,8743,88442,allow loading video kind defer,49446,hate scrolling bottom whole frame,independent,0
230,374,66111,fluidtemplate support layoutrootpaths,38732,hirnrnlets start modernize content e,relates,1
231,859,35807,following security best practice user shou,35627,following security best practice user shou,relates,1
232,1338,18595,feature see attached patch depends,17568,webpage column view tt content,relates,1
233,3178,37638,trying use extension slider th,896,entry array var need ch,independent,0
234,975,29105,pagetree icon inserti,25183,feature request result,relates,1
235,373,64157,configure robotstxt page type realurl,66151,type configuration could automatically ad,relates,1
236,15,78931,actually ajax used hideunhide delet,92295,itwould nice possibleto sort,relates,1
237,3099,43250,would great extension would,33531,currently datetimeconverter accepts targe,independent,0
238,3975,77387,usage xml namespaces supported column,817,sobald sie wirklich reif ist scheint aber,independent,0
239,506,46063,extend persistedusernamepasswordprovider wit,56744,currently flow developer set sess,relates,1
240,1064,25338,bug entry serf umbrella sched,25342,easy trash within fileadminr,relates,1
241,292,77572,similar search extrecordlist se,71469,similar record search list modul,relates,1
242,5577,34223,organiser installer set configlocale al,66262,hirnrni issue share button,independent,0
243,5945,32116,could give try rsttohtml extension whi,2825,route part need configurable,independent,0
244,1442,17175,cache parameter used disabli,17509,page preview work sending paramete,relates,1
245,4546,47696,pdflatex available server wou,31942,hi folksrnmaybe usefull new act l,independent,0
246,5745,17149,managing content fces large num,11981,hy guysrnrnit would wonderful name,independent,0
247,1136,23260,hook missing allow postprocessing u,23244,hook missing allow postprocessing f,relates,1
248,4648,17857,currently rte processing option,39007,tried figure hook tha,independent,0
249,311,69863,complicated easy say hollow ou,70036,extbase scenario,relates,1
250,1527,15459,filter workspace change r,16858,like filtering based language user page,relates,1
251,78,87856,lts require swiftmailer v,90370,use eguliasemailvalidator email valida,relates,1
252,1511,15736,rte htmlarea link popup,15269,additionalparams behaviour al,relates,1
253,702,14618,search letter result,14834,patch enable clipboard paste firefox,independent,0
254,1481,16444,add two field crdate cruser id th,16445,workspaceview default,relates,1
255,34,64047,current way go implementing mail,90266,sends various email would,relates,1
256,6957,895,array var need rendered th,46274,visual feedback installing,independent,0
257,8614,19563,ive included fe login twice,18406,use kickstarted create new extension,independent,0
258,952,29547,property indentify annotation c,30933,define uniqueconstraints model,relates,1
259,1631,8736,provide generic routepart handler,29972,need new entity redirect mvcwebro,relates,1
260,475,58829,currently using viewhelpers part,53059,one major source error working f,relates,1
261,6626,88138,need middleware transfer extbase fe,5749,one sometimes need different pdfs version,independent,0
262,1533,15360,update wizard install,15118,would great install tool wi,relates,1
263,1078,24009,attempt bring selfmonitoring typo,24572,task introduced execute syst,relates,1
264,298,71112,adding placeholder attribute formengi,61308,extension tx form allow using p,relates,1
265,3661,92778,provide way programmtically,61503,would like deploy one application,independent,0
266,1501,16914,database structure optimized,15897,tsdebugger adminpanel fe opti,relates,1
267,1966,55757,similar template analyzer,15086,opinion would cool add ge,independent,0
268,4554,66597,currently isnt possible use extensi,72149,dateviewhelper support datetime obje,independent,0
269,6065,24948,currently manually check,65103,integration backend usergroup,independent,0
270,758,40110,precode classxmlconfigrn typeinp,40111,handle parameter string gene,relates,1
271,6209,69891,interface unintuitive see,83962,time ago munich discus,independent,0
272,532,54651,currently backend provide get,54652,backends would queried order exampl,relates,1
273,1520,15537,select row cell would seem h,18308,following would make life easier autho,relates,1
274,6906,5692,list personalizeoption vfoldertree,79530,following possiblernrn save,independent,0
275,21,88818,use case arernrnkriss toff,91619,one tree installation two langua,relates,1
276,2585,5757,file coult compressed,36449,often customer call ask backend,independent,0
277,6300,30232,decided enough make one,39021,enetcache ignores config option cache clearatm,independent,0
278,9183,9265,hirnrnafter several week experience w,19438,let makeinstance test object implement,independent,0
279,5859,61990,would nice could sort country,25177,would like introduce possibility dis,independent,0
280,1122,23565,problemrncurrently need use another,23626,problemrncurrently use extdirect de,relates,1
281,903,33556,indexed searchpiclasstx indexedsearchph,23156,displaying search result slash hard,relates,1
282,3068,28228,work without doctrine package,86004,hirnrnim currently working project,independent,0
283,678,89524,currently possible search loca,46017,multi language site really conv,relates,1
284,8462,37566,issue impossible use,59228,publishing record user opti,independent,0
285,8222,88442,allow loading video kind defer,14313,class doesnt privide functionnnn,independent,0
286,6009,8499,enable manual sorting role inside,33044,hi guysrnrnsometimes useful,independent,0
287,1107,24037,problemrninstall script edit point token,23911,currently install lack way store,relates,1
288,748,40857,currently fluid throw nice exception,39423,possible render certain except,relates,1
289,7976,3176,manual need bit cleaning uprn,11093,add option plugin pagern syntax h,independent,0
290,150,77667,folder icon suggest wizard somet,64599,see attached patch,independent,0
291,779,39430,update caching framework version,36564,tagging feature file backend p,relates,1
292,421,63391,would usefull form object,61308,extension tx form allow using p,relates,1
293,1100,24009,attempt bring selfmonitoring typo,24010,part selfmonitoring core need,relates,1
294,3734,45406,xing requires certain login button use,90225,difference accessor detection,independent,0
295,2758,24067,one part current typoscript tuning proc,65119,database error something similar occ,independent,0
296,430,62210,install process cm website,72744,image shown full size upg,relates,1
297,1244,20164,gifbuilder lack possibility define,20199,refactor tslib gifbuildercalcoffset,relates,1
298,4523,39461,attached patch allow u extjs,34177,use resource file operation one,independent,0
299,930,61308,extension tx form allow using p,32594,specifies new attribute called placeh,relates,1
300,7713,80741,separate typolink rendering dedicated c,12500,time ke stats table get really,independent,0
301,806,37919,videojs included since contr,37921,currently ship requires n,relates,1
302,96,29568,result list allow markerrnr,11159,near future connector service,independent,0
303,25,90826,since comparing user record,90478,hirnrni would like make suggestion f,relates,1
304,32,789,payment registration paypal etc,11701,ive started rewrite main function p,independent,0
305,1604,5204,implement draw circle function using svg,15580,extension updated em shoul,independent,0
306,885,39939,alternative regularly executing sche,34227,alternative executing scheduler via,relates,1
307,1128,20167,backend locked maintenance,23464,error screen like current username,relates,1
308,7814,7249,user unregisters event op,64566,hello therernrni recently experienced,independent,0
309,1647,7203,im exactly sure bug mi,6390,would great enable access array,relates,1
310,592,51756,utility method added dynamicall,51280,browser reference stored documen,relates,1
311,7635,5911,addition feature committed revisi,15073,would useful logic salutation,independent,0
312,163,82211,currently possible override form defin,84133,variant allow change property f,relates,1
313,489,57692,able move rename file cre,55193,would useful add drag drop,relates,1
314,7015,31262,working positional argument construct,86222,parameter shall take array value ea,independent,0
315,1273,15134,please create text link alternative con,87748,siteprocessor make possible retrieve,independent,0
316,843,36695,developer want able validate,32832,sometimes validation executed,relates,1
317,6350,35933,adapt requirement sr feuser register versi,65808,search language key translation,independent,0
318,602,50739,paved way welcome,50733,online service,relates,1
319,794,29737,install new youll get page,38731,currently successful install,relates,1
320,6851,12728,moment search field input,9303,sometimes would nice could empty,independent,0
321,5834,46761,optimize listing functionality module,45693,need new default format business,independent,0
322,1145,52471,note issue came issue,22992,atm meta tag added complete html tag,relates,1
323,1379,17678,move ui element around ui,17867,need menu clear cache cache pa,relates,1
324,856,28453,optionalrnrnthe advantage block,36693,differentiate file long file name,independent,0
325,3458,17149,managing content fces large num,21145,using following condition userfunc use,independent,0
326,816,24081,extension provide way report broken,16613,patch includes modification tslib cobj,independent,0
327,7946,71290,currently possible add accept,5224,would great wiki enabled,independent,0
328,1016,28258,curl allowsrncurlopt proxytype teither cur,27988,override curl option eg forg,relates,1
329,4489,66603,hirnrnfor possible use,5113,prerncurl setoptch curlopt url allu,independent,0
330,1462,15459,filter workspace change r,16858,like filtering based language user page,relates,1
331,6889,40231,migrate helpmodulecontroller cshmanual e,92022,week number missing datetimepicker,independent,0
332,6486,16281,indexed search look tag wit,12581,would useful option allow,independent,0
333,743,46761,optimize listing functionality module,81409,momentrnlogin timedoutrnrsa publick,independent,0
334,2574,1010,optionally show download snippet link,58151,would nice write validator,independent,0
335,6177,60469,think would useful initialize r,90746,hirnrnin config removety,independent,0
336,2733,53583,hirnto increase extbaseperformance would,22111,current iconset contains several uglylook,independent,0
337,5801,69643,sure found bugmissing feature,7621,currently categoryrecords selected,independent,0
338,2931,24047,one part current typoscript tuning proc,14038,dear frankrni feature requestrnr,independent,0
339,4355,84216,migrating old htmlphp code fl,52696,sometimes schedulerjobs,independent,0
340,3485,77157,list view az listrnit would nice,70633,user allowed edit file meta data b,independent,0
341,8966,14177,cant specifi password special char,45377,would great viewhelper ea,independent,0
342,1311,15077,would great user tsconfig could overr,45923,time time useful extra,independent,0
343,1469,16666,would great add stdwrapfunctionality,16665,would like writernrnalwaysactivepidl,relates,1
344,6195,65514,use version label route hie,29354,working feature put language c,independent,0
345,584,51842,allow remove height width information f,50075,result workshop implementing reponsiv,relates,1
346,694,54600,building rest service us pat,45293,parsing body argument eg xml json cur,relates,1
347,1236,30271,problemrncurrently password transmission,20382,problem currently backend frontend login,relates,1
348,1111,18758,paste function used rte give editor,23797,attached patch add optional paste p,relates,1
349,830,41297,currently possible extend typ,37372,class extended inheritance,relates,1
350,4632,75,framework mvc uri represents uri,14130,would remove value loginscr,independent,0
351,631,50811,since implementation po,49129,would useful let people register thei,relates,1
352,1883,51202,createdatabase offered,38787,currently method php inst,independent,0
353,318,79225,since possible use fluid,69459,new option via tsconfig allows render tt,relates,1
354,8664,22327,using simulatestatic realurl,23663,use extjs api rte notification dialo,independent,0
355,7311,47296,doesnt seem possibility anymor,65902,hi laurentrnrnfor reason im abl,independent,0
356,1956,22313,attached patch add border around,33480,change enable following bl,independent,0
357,138,84517,would nice could change delimit,54075,would nice could change delimit,relates,1
358,852,35348,widget show content going offline,36247,widget show content going offline,relates,1
359,1508,15810,would great there possiblity c,38185,feature suggestion use,relates,1
360,4301,1171,would nice passibility,9020,german label locallang dbxml would,independent,0
361,1154,84584,setting influencing page rendering b,22564,previewing grouplimited content work,relates,1
362,983,6594,fe would nice,4221,bash script already support com,independent,0
363,634,24071,problemrncurrently way integ,11720,template coding complex ne,independent,0
364,1168,16237,issue task center av,22363,taskcenter redone completly make,relates,1
365,4289,78132,javascript function linkto uncryptmailtos,7386,implement product article could used,independent,0
366,416,88684,rnwhen using static info table together wit,45127,label mail address namedrn,independent,0
367,3776,8963,hirnrni would really love stdwrap c,3683,currently moving work correctly hi,independent,0
368,5,89509,fluid provide way access flexfor,92875,tca allows field flex want use,relates,1
369,6325,29630,dont think convenient display,52579,hi allrnrnin pagelayoutcontroller,independent,0
370,1656,6681,path php binary configura,4469,currently provides command line interf,relates,1
371,1364,18039,throughout discussion core list integrate,17825,new extension rewrite impro,relates,1
372,1199,21423,log install tool passwo,22245,rsaauth library servic,relates,1
373,8738,42352,actually possible display multipl,20556,typoscript setting configadmpanel,independent,0
374,3439,93099,use flexfield define static data,2230,implement overloading namespacesrnrnn,independent,0
375,468,73200,suggest following workflowrn add fiel,58819,earlier admin changed core,independent,0
376,1103,23954,configured newrecordlinkposition,24019,current implementation always add new irr,relates,1
377,12,88147,heyrnrncan maybe set configurable pat,92364,sitemap sysext seo stylesheets c,relates,1
378,8665,439,nesting depth subprojects dee,41713,currently tca config property localizerefe,independent,0
379,686,45798,defaulttca field medium int,43424,kickstart controller allows use,independent,0
380,1516,15631,lost session could change,19152,part implemented idea rnpa,relates,1
381,4266,84474,right proxy databag hold,44322,would great see alternative,independent,0
382,2032,845,hirnrnhere idea start p,55689,fieldname field added ind,independent,0
383,6263,26603,would nice ip condition also,33226,validation option set constru,independent,0
384,620,49301,sometimes newly installed extension break,49760,install tool could check whether,relates,1
