Unnamed: 0,Unnamed: 0.1,id1,Description1,id2,Description2,Type of dependency,label,AnnotationStatus
729.0,873.0,36565.0,various application part need prominent pla,35243.0,order cleanly separate domai,relates,1.0,M
247.0,1136.0,23260.0,hook missing allow postprocessing u,23244.0,hook missing allow postprocessing f,relates,1.0,M
580.0,992.0,75858.0,hellornrni would suggest option en,28382.0,instead evaluating google analytics code ri,relates,1.0,M
2167.0,639.0,48829.0,would really cool override crosslink,51875.0,usecase followsrnrn document,relates,1.0,M
0.0,404.0,64764.0,hirnrnthe current system browse record,64401.0,folder image th,relates,1.0,M
1847.0,697.0,45282.0,currently flow relies session activ,45100.0,ajax rest request default,relates,1.0,M
70.0,576.0,51933.0,usability viewpage module imp,51865.0,since viewpage module show sele,relates,1.0,M
1971.0,468.0,59074.0,flag user password neeeds,59073.0,flag user password neeeds,relates,1.0,M
1035.0,717.0,31377.0,currently possible copy single,44002.0,possible paste contentelements,relates,1.0,M
1175.0,1105.0,23938.0,integrate new workspace module based extjs,23942.0,new workspace module functionali,relates,1.0,M
2592.0,150.0,83677.0,hello coreteamrnrni would prefer globa,83655.0,add possibility export redirects w,relates,1.0,M
26.0,693.0,45293.0,parsing body argument eg xml json cur,37604.0,rest controller provided b,relates,1.0,M
1217.0,1250.0,20164.0,gifbuilder lack possibility define,20199.0,refactor tslib gifbuildercalcoffset,relates,1.0,M
1841.0,1627.0,9313.0,currency probably handled spe,33143.0,formatcurrency viewhelper currently,relates,1.0,M
2037.0,632.0,6969.0,patch attached us extension,49108.0,add flag language supported,relates,1.0,M
659.0,950.0,63699.0,scheduler cli task help,31073.0,would nice feature would allow,relates,1.0,M
299.0,930.0,61308.0,extension tx form allow using p,32594.0,specifies new attribute called placeh,relates,1.0,M
1791.0,1300.0,19188.0,add api methodrnrntemplateaddrecords,19190.0,add api methodrnrntemplateaddtcareco,relates,1.0,M
2358.0,1026.0,27391.0,would need allow uploading one,27390.0,flash ipad,relates,1.0,M
1378.0,182.0,80793.0,admins able define password pol,87299.0,enhance functionality concerning passwor,relates,1.0,M
2250.0,1493.0,16218.0,following patch introduces new page t,16771.0,hellornrnit would nice size,relates,1.0,M
776.0,378.0,65505.0,exist case many childrecords,17247.0,editing record based irre curren,relates,1.0,M
1143.0,676.0,46017.0,multi language site really conv,28441.0,use page languageoverlays pa,relates,1.0,M
819.0,767.0,39788.0,basic requirement registration,47191.0,rfc proposed notexistsvalidat,relates,1.0,M
1323.0,1046.0,11869.0,hellornrni think filter field th,26722.0,think select condition filter item,relates,1.0,M
426.0,995.0,28839.0,case may necessary,28344.0,divgeturl know hudge,relates,1.0,M
1952.0,939.0,32051.0,hi therernrnit would nice able,79054.0,hellornrnin repository sort,relates,1.0,M
1948.0,1433.0,87091.0,currently installtool english,17274.0,moved one standard langua,relates,1.0,M
2346.0,764.0,39870.0,would great configure alterna,42176.0,currently resolution view class,relates,1.0,M
2102.0,1410.0,17638.0,perhaps start example,17630.0,us gr list indicates g,relates,1.0,M
103.0,77.0,88147.0,heyrnrncan maybe set configurable pat,92364.0,sitemap sysext seo stylesheets c,relates,1.0,M
1814.0,293.0,80398.0,able store byte unicode character,71454.0,possibility set conne,relates,1.0,M
1150.0,531.0,54651.0,currently backend provide get,54652.0,backends would queried order exampl,relates,1.0,M
2124.0,75.0,88322.0,allow overwriting slug field via pa,89875.0,would recommend make slug fie,relates,1.0,M
2636.0,1333.0,18822.0,make possible use stdwrap property uid,17881.0,stdwrap possible selectwhererne,relates,1.0,M
1229.0,1701.0,64093.0,would nice data provider sche,4387.0,itd useful way automatically,relates,1.0,M
1875.0,372.0,17406.0,initial situationrni menu point f,66218.0,add linkhandler functionality page type sho,relates,1.0,M
1958.0,235.0,77572.0,similar search extrecordlist se,71469.0,similar record search list modul,relates,1.0,M
2105.0,491.0,57691.0,documentation editor allow file,55193.0,would useful add drag drop,relates,1.0,M
2625.0,1050.0,26139.0,using clipboard normal,40690.0,situationrnlistview one specific rec,relates,1.0,M
2160.0,164.0,82108.0,add support reference file wirh ext syntax,82091.0,currently svg content object render svg f,relates,1.0,M
1813.0,559.0,52987.0,information seern,52986.0,summary request new field type currenc,relates,1.0,M
2486.0,250.0,75858.0,hellornrni would suggest option en,28382.0,instead evaluating google analytics code ri,relates,1.0,M
823.0,1057.0,25336.0,function deal ip addres,25404.0,feature add anonymizing capability,relates,1.0,M
1517.0,1556.0,15082.0,hirnit would useful one defi,14967.0,sometimes need file mount eg al,relates,1.0,M
2066.0,1652.0,6724.0,hirnrnfirst sorry bad english,7721.0,existing resource management subsystem need,relates,1.0,M
206.0,1628.0,4704.0,fluid parsing exception contain pa,9211.0,currently viewhelper throw exception,relates,1.0,M
1370.0,141.0,84493.0,noticed page language tab,84244.0,tried use new way handle restric,relates,1.0,M
1733.0,966.0,29737.0,install new youll get page,38731.0,currently successful install,relates,1.0,M
1467.0,438.0,61594.0,page foundrnrnreason request paramete,61663.0,page foundrnrnreason request paramete,relates,1.0,M
1549.0,1007.0,28230.0,implementation already pending,28095.0,currently possible get,relates,1.0,M
1874.0,1243.0,20164.0,gifbuilder lack possibility define,20207.0,imagine youve two different dynamically c,relates,1.0,M
1504.0,460.0,63011.0,text response,60045.0,currently action tstemplate modul,relates,1.0,M
98.0,888.0,34031.0,alloweditems currently modified th,34027.0,apply defaultordering based order,relates,1.0,M
1017.0,630.0,49282.0,news gnu aspell project,57928.0,would nice index search would autode,relates,1.0,M
1138.0,189.0,80659.0,need set charset database u,80398.0,able store byte unicode character,relates,1.0,M
1473.0,1667.0,6142.0,possible set identity iden,6140.0,class schema exists type set,relates,1.0,M
1833.0,1087.0,24059.0,first important step towards vision,20862.0,came across video tim berners lee,relates,1.0,M
1750.0,1113.0,23615.0,login screen offer way display,23740.0,give user possibility format th,relates,1.0,M
64.0,657.0,46734.0,would safe class name get,46735.0,difficult eliminate unwanted brtag,relates,1.0,M
1391.0,294.0,50360.0,using modweb listallowedtables ad,71365.0,ive got container element grid colum,relates,1.0,M
2455.0,349.0,67455.0,video tag possibility add,37073.0,hirnrni playing around new f,relates,1.0,M
489.0,539.0,84517.0,would nice could change delimit,54075.0,would nice could change delimit,relates,1.0,M
306.0,885.0,39939.0,alternative regularly executing sche,34227.0,alternative executing scheduler via,relates,1.0,M
1119.0,1034.0,27116.0,variable declared get signatu,27117.0,route need option limited certain,relates,1.0,M
1144.0,1598.0,12958.0,hirnrnsince suppose form inclu,13229.0,problemrncurrently standard cs styled,relates,1.0,M
1987.0,1336.0,18749.0,tsconfig per content tt content needed,17299.0,doc core tsconfig tell u syntax u,relates,1.0,M
566.0,1695.0,6681.0,path php binary configura,4469.0,currently provides command line interf,relates,1.0,M
2556.0,1020.0,27577.0,please ordered t result url,27469.0,would nice get list link grou,relates,1.0,M
962.0,829.0,37372.0,class extended inheritance,37373.0,objectsyaml allow adding ove,relates,1.0,M
2062.0,571.0,60835.0,dealing lot image quite pai,52150.0,miss possibility delete multiple file,relates,1.0,M
918.0,500.0,66495.0,would nice hook opcod,57258.0,opcode cache web process cannot b,relates,1.0,M
529.0,188.0,80697.0,think usefull feature define def,68895.0,adding optionsdefaultuploadfolder paget,relates,1.0,M
1846.0,1356.0,18239.0,patchrequest contains function,18238.0,plugins enabled let,relates,1.0,M
2236.0,1069.0,25282.0,since every content element consider,26776.0,could nice useful separate c,relates,1.0,M
2028.0,1729.0,2408.0,similar automatic flushing refle,2305.0,similar automatic flushing refle,relates,1.0,M
645.0,663.0,43134.0,dragndrop content element p,46437.0,hirnrnit would great like p,relates,1.0,M
1704.0,912.0,39564.0,currently eel parser regex doesnt recogn,33394.0,boolean viewhelper attribute like fi,relates,1.0,M
1262.0,66.0,88954.0,would like able tell fimage f,59067.0,rendering image place,relates,1.0,M
1233.0,1401.0,17678.0,move ui element around ui,17795.0,need add workspace selector clea,relates,1.0,M
1561.0,64.0,89292.0,new feature correlation id,89143.0,record history need correlation id,relates,1.0,M
935.0,107.0,86496.0,updating urlsegment parentpag,86495.0,slug change example one,relates,1.0,M
1920.0,393.0,64764.0,hirnrnthe current system browse record,23631.0,hi teamrnrnno pagination available htt,relates,1.0,M
1052.0,856.0,36071.0,pagetree filter could improved addin,36075.0,original concept new pagetree,relates,1.0,M
1318.0,1325.0,16400.0,dont see possibility add existing reco,18968.0,currently possible create compl,relates,1.0,M
604.0,1544.0,15092.0,list module extended view lo,15074.0,would great one could also change,relates,1.0,M
129.0,768.0,39729.0,basically related extbase f,39730.0,case backend module rely,relates,1.0,M
596.0,1274.0,19497.0,extmgm api provides method add n,19512.0,divtrimexplode possible,relates,1.0,M
1692.0,1256.0,19856.0,problem want show link access r,56760.0,would nice able alter link,relates,1.0,M
1943.0,1717.0,5849.0,need monitor setting probably l,3306.0,class containing route part handler,relates,1.0,M
376.0,1103.0,23954.0,configured newrecordlinkposition,24019.0,current implementation always add new irr,relates,1.0,M
