,id1,Description1,id2,Description2,Type of dependency
166,50262,think we should add keywords to the composer,45627,name changes of bulgaria palestine,independent
167,48218,currently the numberviewhelper doesnt regard,50663,implement transferscptask like the rsync,independent
168,47697,user must be able to save rdf rss and atom fe,4983,hi peterrnrnjust an idea that circled aro,independent
169,48657,flow has great http api already but does not,24063,one part of the current typoscript tuning proc,independent
170,69625,listing staff by groupsrnthe list view with,89382,regarding storing domain objects with differe,independent
171,29377,view of all private albums select specific on,14730,using proxy connection wia curl on typo fails,independent
172,20460,currently gifguilder does not support blendm,60036,there seams to be great version patched for,independent
173,9861,currently the shutdown phase candoes shut dow,3176,manual needs bit cleaning uprn,independent
174,51641,out of the practice we have some ideas sugge,45224,the attached patch contains the following new,independent
175,9819,team discussion needed for the following quest,21911,hi everyonernrnthe function divlo,independent
176,70985,attachment example file is moved from to r,15532,every paragraph is classed with classbody,independent
177,14594,id like to hide the table operations bar and,32702,please have look at the latest example scree,independent
178,25895,currently removeformat doesnt strip all the,13825,when try to open link inside the backend a,independent
179,10291,show action column icons only on rolloverr,49448,in new versions of jquery some feature,independent
180,42125,categories should get offsetsrnrnpoints w,56711,tail currently only has rest client new c,independent
181,16926,as im using dont know whether thi,64884,in the context of the scheduler the task met,independent
182,39410,currently in fluid there are reserved variabl,85569,as an integratordeveloper its useful if you,independent
183,29558,on the site the link to the shop aka,17738,let htmlarea rte use divminifyjavascri,independent
184,65032,dear teamrnrnproblemrnrnther,15556,to get to this result we have to patch the cm,independent
185,75691,implementation of listing of available documen,19345,it would be great to have hook in functions,independent
186,29198,sql query parts are rendered by general stdwra,59834,hello have the version and the de fie,independent
187,39648,when debugging with xdebug major difficulty,9264,hirnrnafter several weeks of experience w,independent
188,15168,the page type shortcut can not link to conte,29258,in you can define several environments i,independent
189,28474,at the moment indexed search checks only the l,24086,problemrnthe current pagetree is not based,independent
190,19599,the attached patch enables the use of stdwrap,7291,it would be nice to include the html template,independent
191,41301,currently theres only one erroraction for al,92874,say you create new page in the page tree and,independent
192,32099,hy guysrnit would be wonderful to control p,52695,allow creation of groups for the scheduler,independent
193,19024,if improved handling is used eg fepa,43104,for interactive confirmation or multiple choic,independent
194,23472,hirnrnid like to add two new methods to,83366,hirnrnwould be nice if pagination of com,independent
195,2669,in the attachment there is the pdf version of,24033,when clearing the rte cache if gzip compressi,independent
196,48618,to check uniqueness provides function,6696,configure sorting order of results,independent
197,39108,currently it is not possible to configure the,62353,refactor the module menu to be based on navbar,independent
198,38591,add method to get the instance of the global,72309,the content element of extform should allow t,independent
199,72877,hirnit would be nice if the metatags noi,29569,if ke search is used in static mode see no,independent
200,16726,presently the extension show all current user,64599,see attached patch,independent
201,14834,this patch enable clipboard paste in firefox,31064,if type some html code in the text field of,independent
202,63773,as stated in the link below german there is,20986,when an ajax call fails the error is reported,independent
203,46202,it would be great to lookup defaultstrings i,47471,hirnrni have created test for disk spac,independent
204,15274,the patch assigns random value to encryption,30634,add an option in flexform formulartab which,independent
205,72052,the specialcategories in hmenu should allow t,89332,currently norwegian is defined with no which,independent
206,54303,to simplify the login after registration admi,19992,if you installremove an extension this is alw,independent
207,65186,when users want to add files to an contentelem,89171,the sitemap feature is unnecessarily limited t,independent
208,649,tsvariable to set the pid where the feusers,49522,very common scenario for authentication prov,independent
209,9599,guysrnit would be wonderful to be able to c,1815,areas need to be sortable,independent
210,17488,hirnrnplease add rogif as an possible la,65194,it would be nice for getprocessedvalue to also,independent
211,27010,currently the link check doesnt updates itsel,25590,following properties have to be updatedrnr,independent
212,11785,hook for handle the list and single result in,9753,the data that is delivered must be visualized,independent
213,47456,all manytoone and onetoone relations of object,18846,in the followin,independent
214,33646,in cal bugtracker we have issue from ancien,83584,hirnrnis it possible to implement setti,independent
215,58978,requestbuilderphploaddefaultvalues make no u,77366,for the linkvalidator handling some notificati,independent
216,7936,if you have download with very simliar names i,1294,it would be nice to have the possibility to cr,independent
217,83843,input types are enabled and the default,5087,the layout for lists will extended with marker,independent
218,45670,need solution to add additional classes to,68515,this wiki article,independent
219,34428,opened up this issue as reference for br,3220,it provides the possibility to get full addres,independent
220,961,move passwords between groups,19235,the function tceformsgetsinglehiddenfi,independent
221,19899,saw that indexed search already uses unzip f,39626,with this feature it is possible to define,independent
222,26976,the current use of ab booking is for roomsr,10480,since some mails always tend to be overseen it,independent
223,13014,set of tags should be allowed to modify html,71691,permits totoale control of the source,independent
224,4370,in particular we should be able to override si,2180,have what think is small request for scr,independent
225,60996,in order to make the usage of logging api easy,81535,add proc,independent
226,19859,as of version opera has fixed most bugs,29995,add new options from pending documentationh,independent
227,26832,when adding new plugin and selecting templ,35355,the list of fields that are being used by the,independent
228,9514,we have been brainstorming over some additions,1101,it would be great if we could have list of a,independent
229,12442,hirnrni suggest to add type json to the e,10079,this feature needs viewhelper that will be s,independent
230,56073,this should be no brainerrnrni tried to,14712,in rtehttmlarea only urls with at the,independent
231,11443,from rn ig,20915,sometimes after long db operations db connec,independent
232,1113,should offer user guide through the bui,90545,ive seen there is already,independent
233,38162,create issue categorie support,20741,sessions and session data are currently cleane,independent
234,6251,right now only individual users are owners of,21950,globalstbe stylesloginboximage rotation,independent
235,4890,the childnodes should be visible in beovervie,51641,out of the practice we have some ideas sugge,independent
236,17943,flexforms are missing csh labels add support,58366,for automatic distribution configurationrnli,independent
237,42467,forardport this patch,23848,this is an svn patch requestrnrntype fea,independent
238,59136,hi rnrnthanks for this great extension i,84574,it would be nice if could handle speakin,independent
239,48229,not sure if my questionrequest is allready pl,29883,the kickstart commands which create new models,independent
240,77034,in tca its possible to use displayconditions,24071,problemrncurrently there is no way to integ,independent
241,36682,in mailing applications it is possible to pro,31230,the browser will extended with module for st,independent
242,41922,recuring events would be greatrn,61733,new special content designer elements for irre,independent
243,86650,the fieldcontrols must be able to use requirejs,58072,original issue and created by chennc,independent
244,52695,allow creation of groups for the scheduler,36811,hello friendsrnrnon,independent
245,77669,the helpblock labelicon of an suggest wizard,34230,hi kairnrnthanks for your useful contact,independent
246,2589,it would be really great if the spellchecker p,3984,hirnrnit will be really nice if in the v,independent
247,17177,scenariornrnmany users working on several,22191,the attached patch will ensure that the size o,independent
248,88279,since php sem acquire has nowait p,72871,now the default value is gfxthumbnails png,independent
249,49826,currently it is possible to add additional url,6602,the basic idea behind after invocation handlin,independent
250,1543,rn entityrn rnclass site rnr,55853,hook jquery datatable on all in the,independent
251,16982,would be nice if the upload fields displayed i,38942,please make ce uid available in fluid see htt,independent
252,17262,in the method executefinalquery the hook for a,13898,the current bugday banners are outdated the,independent
253,32132,it would be nice if we have more possibilitie,12813,hy guysrni extend the brower with hook fo,independent
254,44308,what about enhancing this extension and making,18098,the file module list has file titles lenght fi,independent
255,1215,pls add template support or an option to swit,55719,fe using dependency to twitter package twb,independent
256,23266,core lacks an goodlooking flag setrnrn,88609,inside the debug panel of adminpanel the page,independent
257,45630,update bolivar and zambian kwacha,47231,hellornrnwill this extension supports the,independent
258,57016,when you click on calc route it just shows a,70984,terms and attachment example files are moved f,independent
259,15041,afaik you cant really control clickmenurn,4459,paddingviewhelper can be useful to format st,independent
260,14196,in hosting folks on the same server run c,68429,add hook to allow extensions to define own a,independent
261,19141,there should always apear content edit panel,84628,if one of the update wizards throws an excepti,independent
262,14681,found bug in the htmlarea rte if genera,9754,implement workspaces list tab,independent
263,90680,it would be useful to have the possibility to,8035,in recent versions of tagpack the startlength,independent
264,8807,it would be nice to have category menu which,15542,it would be great to have followingrnin use,independent
265,11563,some users namely the ones responsible for an,1232,the current version of doctrine comes with t,independent
266,3376,the default view should contain more hel,8077,columndefinitionviewhelper doesnt yet honor c,independent
267,422,think it would be useful to have an xmlhttpr,21893,hi stan rnrnproblemrnif you use the,independent
268,31307,switch from llxml to xliff add dependency on,45683,try to reuse the single media element plugin,independent
269,62916,intergrate jquery ui,30569,hirnrnas written in faq of extension as,independent
270,10430,the allwrap property should be consideredrn,59964,is the compatibility foreseen,independent
271,89708,currently the only su,42055,ive set up an distribution using the cor,independent
272,34684,hi linarnrnas just explain in feedback,22642,problemrnthe current implementation of the,independent
273,20267,the ts configuration is still included via ext,51782,when css or javascript files are wrapped throu,independent
274,45761,we need banner for showing that we,9027,the browser is able to deliver each data prope,independent
275,32132,it would be nice if we have more possibilitie,13623,the owner of ticket can in the long view an,independent
276,59498,would like to display loading mask when user,20597,currently theres no possibility to trigger th,independent
277,42615,hi therernrnim using your hook aftercom,87028,it is currently not possible to do the followi,independent
278,20475,since autoloading is integrated in the c,56134,have found lack of functionality of consta,independent
279,19343,this hook allows to add additional tabs to use,24250,this is the second milestone release of the ne,independent
280,45210,doesnt support acronym tags anymore it,4726,pages navigationrn firstrn prevrn pa,independent
281,6325,find way to display the products in catego,5326,im sorry there is no screenshot on this one,independent
282,40431,for compatibility reasons especially xhtml,18040,not all labels in the backend are localizable,independent
283,14991,currently if you want to put something in the,32215,am right to expect that workpace previewli,independent
284,86222,the parameter shall take an array as value ea,33018,we are somewhat limited in the extensibility o,independent
285,11068,the attached patch add an edit icon next to,33814,currently string comparisons are not directly,independent
286,31942,hi folksrnmaybe its usefull that new acts l,28293,prerncurrent js files are located in diffe,independent
287,26103,the html template for extfelogin should be co,69388,as of cms the http s,independent
288,68338,generalutilityfixpermissions could use ear,77792,overridden configuration in additionalconfigur,independent
289,3098,when use the template module and click on,79342,the nginx sites recipe should look for datab,independent
290,52579,hi allrnrnin the pagelayoutcontroller,26655,if requireapproval notification mail upo,independent
291,10286,module move generate workspace preview link i,51405,valueobjects are reusable or reused from r,independent
292,65926,it would be nice if the slider displays only,54875,the ability to navigate to folder by clickin,independent
293,50180,when enabled the indentation of the code an,20395,in tsfe frontend user groups are tried to be l,independent
294,9677,it is sometimes very difficult to read the jou,27171,if you switch to the install tool module in th,independent
295,55478,hirnrnfor usability reasons it would be u,41922,recuring events would be greatrn,independent
296,19419,even if the content is correct in the database,17598,if include cssjs with rnpageincludecss,independent
297,66709,now standaloneview supports layoutrootpaths an,79442,add new button to the email finisher configu,independent
298,5952,for tagcloud it is only possible to limit the,82176,in order to allow projects that do not belong,independent
299,89426,if page or content element or is re,700,it would be helpful ifrn in bugtracker list,independent
300,8011,weve requested this feature some time ago and,53190,hirnrnthere are already configurations fo,independent
301,7485,likernrnprerniftrue rn tx hype,89015,hi guysrnrnespecially when having records,independent
302,809,eine firma sollte mehreren landkreisen region,91672,given the following real life scenariornr,independent
303,13305,suggest the following improvements for the l,30014,here is the ticket for which is about a,independent
304,83843,input types are enabled and the default,3852,the class sho,independent
305,48245,hellornrnwhile developping websites us,62057,this issue has been created so that the exten,independent
306,87451,rnthe scheduler currently executes multiple,56134,have found lack of functionality of consta,independent
307,83962,some time ago at in munich we discus,32120,some work mainly maintenance has been done r,independent
308,60244,it would be nice if the output of the questio,22226,just needed way to filter the list of resu,independent
309,8850,it should be possible to set the width of the,1995,search engine make and search added in fle,independent
310,30232,have decided that it is enough to make one,692,clone functionality from irre in backend for i,independent
311,77667,the folder icon at the suggest wizard is somet,62042,make use of less hierarchy and constraintsr,independent
312,22714,in the dialogue text color there is this inp,14425,were running fairly old version of mediawik,independent
313,38612,record browser should respect all records sa,23589,using below configuration in tcarnrnthe p,independent
314,39461,the attached patch allow us to have both extjs,40063,wanted to be able to use additional myvars i,independent
315,33131,input field does not allow names like object,10983,hi it is me again rnrnone more thing t,independent
316,16967,hellornrni need for extension logouth,2870,there should be readme with the basic inform,independent
317,86748,hello therernrnare there plans to make th,72169,the extension fluid includes jquery librarie,independent
318,7204,implement the possibility to define different,10598,was just checking if finding unlinkedunencr,independent
319,8453,hirnrnvery good extension and detailed ma,23248,in flexforms when you use link field the c,independent
320,90079,if you have regional content the slug generati,24067,one part of the current typoscript tuning proc,independent
321,6432,simple typoscript configuration should be add,41759,we need graphics for the upcoming release,independent
322,39028,instead of relying on system administrator to,36790,integrate language handling in workspace modul,independent
323,43636,the content of the html markerrnrn f,2868,it should be possible to hide the play pause,independent
324,28104,it would be nice if there were polish zones in,16494,it would be great if the insert modify link,independent
325,7166,categories now have tags related items and ne,43333,the project,independent
326,33878,im using the extension browser which handles,21163,mouseover on content elements makes in the pag,independent
327,35800,currently on lot of places only div without,83353,suggest to add new operand that allows usi,independent
328,89950,edit page eg standard page behaviou,7930,the command line interface offers fu,independent
329,27171,if you switch to the install tool module in th,27711,editor should have the right to set startst,independent
330,5351,if we have solved dd reordering of con,50637,currently httprequest checks if the provided,independent
331,24493,defining an icon for pagetreesubmenu has no,86654,adapt extension update script to use schema mi,independent
332,39444,very neat feature would be if the plugin wou,407,michael feinbier needs an getaspectcontainers,independent
333,80904,the description of the flush caches button in,36384,integrates helper method to setup proper tca,independent
334,8279,the test result charts should contain informat,91724,the fluidbased template paths are configured,independent
335,1938,cleaned up the patching function bit so n,94,would be great if you could close the,independent
336,14373,when editing ds with tv and saving the new d,23752,right now when you want to notify adminsedit,independent
337,34818,bastian wrotern it would be cool if we add,3829,in front end only one image can be input for,independent
338,36532,template editor should use the complete window,34476,hook is needed that is processed when storin,independent
339,49477,here is be viewhelper to render submit but,84851,it would be useful to have records of related,independent
340,17688,if the extension cache has not been updated fo,41526,am working very often with the option hide,independent
341,18129,it would be very cool if it was possible to ad,29573,currently the link in the invitation mail does,independent
342,17606,you can override itemlabels with tceformtab,36317,since you have added condition whi,independent
343,23360,currently message is shown to inform user th,324,currently all dependencies injected through au,independent
344,75846,allow to override configuration via env,19742,the old method has few issues that makes it,independent
345,81090,the element function rnprernlinebreak,50151,without further options git fetch only fetc,independent
346,10004,the whole showitemphp file should be migrated,10430,the allwrap property should be consideredrn,independent
347,44085,have an lts version whil,80193,the form framework should support the optgroup,independent
348,16680,am not shure if am right here its worth,8289,with frontend plugin existing user should,independent
349,2415,we want rendered pdf documentation of our do,60335,in every new installation the first do,independent
350,49756,my modelrnrnprernclass model rntp,62963,provide new styling to list module and base st,independent
351,8270,the extension should support dmitrys pagebrow,23472,hirnrnid like to add two new methods to,independent
352,79472,redis needs to be installed on all webservers,92193,when you create new task in the scheduler y,independent
353,83127,we show location map in bigger website on ev,79531,add an multiselect inspector editor,independent
354,21093,add parameter to the method call befunc,71314,are there plans to make this extension compati,independent
355,95,nice iconset,48439,currently it is possible to filter for upcomin,independent
356,1661,the php spellchecker spellchecker plugin for,84546,made frontend form these days with extbase,independent
357,72621,as an issue reporter would like to be able,62953,hi marcrnrnwould it be possible to add,independent
358,71277,with the validation error messages o,69292,deliver viewhelper for the indexed search sear,independent
359,82004,want to make it possible to render some cont,700,it would be helpful ifrn in bugtracker list,independent
360,3556,this feature permits to create customized ba,85177,in order to streamline the localization mode b,independent
361,78671,please consider removing textshadow from,38252,add jquery to rnrnrn,independent
362,5079,would be pretty cool if the imagemap could che,83091,this might be the hardest change towards doctr,independent
363,77875,hirnrni think it would be useful to have,93039,if one wants to set prefix to prepend links,independent
364,33775,similar to adobe flex mxmls objectproperty,2999,currently package is created with the gnu gp,independent
365,24041,inline relational record editing irre is par,54094,live isnt compatible from jquery,independent
366,62511,neither do images keep their aspect by default,61145,in one of my project need to create miniwe,independent
367,15420,the old bug it is not possible to change the,56099,should we maybe have show titlecheckbox o,independent
368,68766,we need to disable the jqueryinclusion on cer,78691,feature requestrnhave link to approve c,independent
