Unnamed: 0,id1,req1,id2,req2,Type of dependency,Label
2586,6954,it is essential for my work the possibility of,4729,it would be great to be able to filter the iss,relates,1
14127,10073,is it possible to get redmine to send mail,319,allow the user to upload file as part of c,independent,0
36606,24050,currently the custom fields are displayed in,16639,we devised plan to implement our scrum metho,independent,0
9679,30838,currently when mail handler receives multip,21967,dear colleagues\r\ni use redmine not so long,independent,0
491,23858,as described in d like to have anot,21577,if the custom field type version is used the,relates,1
671,21413,please change the implementation so that,1561,am constantly juggling tasks to try and assi,relates,1
688,21568,the idea would be nice to configure logic de,21149,hi \r\ni hope that this feature is not too com,relates,1
4923,17907,redmine is good for project management but no,724,redmine can be used for tracking in many diffe,relates,1
1870,15010,is it possible to admin setting list of keyw,16679,it would be useful to be able to manipulate wi,independent,0
5014,12222,hi \r\n\r\ni don know if there is still re,565,if task exceed due date is it possible to mar,relates,1
27930,2661,it is very necessary to have ability to create,8676,it is very helpful to notify an user when an,independent,0
4759,4960,in our organization we do large amounts of pee,14125,it would be nice to be able to save temporary,independent,0
803,18631,current pagination is based on results timesta,17889,when we run search we can see in the debug,relates,1
2270,10162,this may be covered in or relates to it,8050,the problem with bigger workflow is that som,relates,1
4106,4768,currently it only has name and default assigne,2568,we have the problem that users are not always,relates,1
5202,1726,would really like the ability to store my do,19919,hello everybody \r\n\r\nwe use redmine ver,independent,0
4428,6234,think this request is similar to \r\n\,1707,tipically we have different teams involved on,relates,1
3184,5061,when viewing an issue all updates are shown,3058,we have some issues where there are so many st,relates,1
2350,6772,for easy structured user group management it,7774,did preliminary search but did not find f,relates,1
2602,3050,if you add file and later delete it you wil,2405,how can change the tracker of issue \r\n\r\n,independent,0
4537,1459,global holidays calendar should be desirable,7011,customize your calendar holidays each member,relates,1
25684,27315,sort the column of attachments by alphabetical,1373,in its current form activity does not offer,independent,0
1192,13844,we are using redmine for project management,16962,currently html only emails are handled by just,relates,1
2363,7751,looking for an enhancement to the project drop,23310,d like to replace the jump to project,relates,1
31743,439,please add sortable due date column in the,24941,this is something just noticed at the moment,independent,0
10697,20106,bq currently issues visibility options in,21572,it would be great to custom field support for,independent,0
137,30808,at custom query\r\nchild task can select singl,30482,at custom query\r\nparent issue can select sin,relates,1
9283,5882,it be nice to have way for user to get,1749,in the select box to move an issue you have,independent,0
33381,3013,in order to allow plugin to change the issue,8845,啊啊啊,independent,0
43655,8959,it would be very usefull to have office docu,27315,sort the column of attachments by alphabetical,independent,0
1755,10709,need way to view uploaded file should be in,11543,is it possible to modify one of the controller,relates,1
27858,19754,steps to reproduce \r\n\r\n create pr,20931,in admin controller you can delete your acc,independent,0
41053,10475,wiki suggests to install the required gems usi,14054,would be useful if there a way to hide all,independent,0
19371,20650,we removed the standard fields start date an,9760,autofetch commits not working with bazaar repo,independent,0
3949,2973,numeric custom fields \r\npriority field \r\ne,33101,currently the priority issues filter supports,relates,1
4451,3687,we have situation like this \r\n\r\n one ce,1657,d like subprojects to have the option of usi,relates,1
2292,7982,dear redmine team \r\n\r\ni would realy like,6522,for convenience on installations with many pro,relates,1
3929,2477,please add an option to the watchers if they,3035,redminereminderemails reminder sends email,relates,1
4220,7142,just installed to take look at the,2161,imagine this is common requirement for l,relates,1
16502,5017,it would be nice feature to show custom fields,4258,on redmine devel mysql and on th,independent,0
30892,30733,when user submits an update to issue and,473,it would be very handy to be able to create an,independent,0
3136,34042,hello \r\nis there way to list the number of,30032,greetings the redmine download page,independent,0
2425,524,currently users can only edit non custom field,7484,sometimes want to see the activity of my col,relates,1
12338,683,currently we are able to produce some very nic,5103,when corporate wiki has grown searching outdat,independent,0
1329,10480,this adds filter on the time entries for the,13157,on my page there is no link below the spent ti,relates,1
21250,3335,it would be handy to be able to divide cm te,32545,in lib/redmine/notifiable rb there is todo,independent,0
30279,10343,m using redmine from almost two years often,6909,let you have the fixing keywords anywhere you,independent,0
20229,9182,add new class for admin schools,12613,private comments is great but sometimes our te,independent,0
16953,26155,currently when by project breakdown is used,7858,as stated in this forum message message,independent,0
41403,15760,in applicationcontroller render error respond,24079,when click on forgot password then feel,independent,0
1266,13538,abstruct \r\n\r\nextending rbac on subversion,2667,with subversion it is possible to change the,relates,1
3677,7839,m looking for way to limit the tracker typ,3726,wonder if its possible to add restriction,relates,1
2936,5798,if you bulk update lot of issues like when,9068,this is new toogle link called submit witho,relates,1
15669,24078,when am running localhost/redmine on browser,384,the svn integration is really cool but it wo,independent,0
14809,10428,sometimes want to create very small but very,4814,not sure if this is huge problem or why man,independent,0
38392,6644,m writing scripts to check various inconsist,33835,using examples from,independent,0
4178,20812,although css class overdue on issues was im,2337,it would be perfect if overdue tickets are hig,relates,1
4292,1973,there are many companies that have recurring,6715,hello \r\n\r\ni think about issue templates,relates,1
207,4826,background \r\n\r\n one of the features n,7546,problem members on project,independent,0
42985,4566,missed the function to add manager for all,25781,think we can upgrade the redcarpet gem to th,independent,0
3749,3517,in the same way we can assign an issue to pe,482,it would nice to have setting item to select,relates,1
3442,2716,for simple dependencies instead of creating,4347,when an user replies to an issue he/she is de,relates,1
464,20126,little but simple to realize improvement \r\,4066,it would be great to have way to obfuscate,independent,0
3712,3395,add ability to filter on blank start and end,3600,problem d like to be able to add q,relates,1
16435,15718,currently there appears to be no way to create,1352,since the plugins are vital to building grea,independent,0
2992,5594,have few changes to make to mailhandler so,6112,redmine should allow me to send and mail usi,relates,1
47723,27371,right now there a single permission allowing,1137,add feature move project version up and down,independent,0
14581,4980,using git every commit in the repository has,17461,file in issue cannot be searched in the search,independent,0
7424,33375,it will be really nice if we can add an email,6281,saw some tickets and explanation to migratin,independent,0
13284,18618,it would be nice to have to possibility to ass,1244,this may be similar to \r\n\r\ni intere,independent,0
18844,5621,part of the main rest api issue this,4664,we have couple of forum threads with lot,independent,0
3794,4267,think it would be useful to implement the fo,3382,currently if you use pre \r\n pre code class,relates,1
10651,10428,sometimes want to create very small but very,18668,when using issue reference like issue,independent,0
324,13277,believe that this is major mistake to loa,15236,when changing custom field the diff in the,independent,0
533,23306,would be nice to have way to get list of,23307,it would ve been nice to be able to get which,relates,1
28330,31304,hello \r\ni would like to hide the checkbox,7897,описание тестовой темы,independent,0
4055,482,it would nice to have setting item to select,2709,is there way the default values of new tic,relates,1
35760,11144,the feature would like to see is the ability,271,how about adding add new link when you are,independent,0
34699,4937,intégration avec le ldap est intéressante \r,21785,add please panel macro to both textile and,independent,0
5376,7550,it would be nice and useful that the project,22474,it would be nice to be able to request the gan,independent,0
12130,3714,as understand the forums are very limited in,9422,my project hierarchy is one topproject with tw,independent,0
736,17620,hi every body \r\ni would like spent time fiel,13911,as with wikis and issues would like relativ,independent,0
2486,1798,hi \r\n\r\nis there way to control the modif,10268,would be great to be able to access fi,independent,0
2133,16845,hello \r\ni need to add this rule permission,8488,as requested by some people note,relates,1
7532,534,new user won get notified when the account,8928,there are much more wikipage in one projects,independent,0
30544,13245,it would be really nice addition if we could,13767,hi \r\n\r\nmy department hosts projects for,independent,0
3935,24681,propose replacing coderay with other syntax,3032,believe it would be preferrable to use the,relates,1
153,29947,redmine uses roadie gem that is bit ol,25538,support for ruby and has ended by ru,relates,1
3566,3995,when files are uploaded/added to an issue,1196,would it be possible to implement some version,relates,1
5070,4932,pre \r\n,465,it would be really nice if issues of subpro,relates,1
43488,380,some projects are similar or connected thus,327,like the new features that include sub proje,independent,0
36620,1203,have feed for overall activity going,4224,find myself using the acronym tag from tex,independent,0
17798,1203,have feed for overall activity going,9733,this is tool very useful for us and is imple,independent,0
318,5990,currently email notification is sent only in,26791,with this patch series we are introducing the,relates,1
38173,300,it is currently not possible to filter issues,25482,it would be great benefit if the recursive,independent,0
6553,6489,because have some projects where have some,2485,the issues that care about most are thos,independent,0
25855,23641,it would be great to be able to set more than,33276,it would be very helpful to have addtional fie,independent,0
27073,24788,we use emails to create tickets automatically,13025,this that it would be useful to have ability,independent,0
7916,11036,could redmine support configuration paramete,15341,at the moment you can define custon theme an,independent,0
1251,13585,background\r\n\r\nsub task as such is pr,6217,when adding subtask it takes lot of time,relates,1
4038,3760,when send an attachment via mail or via,2770,now if we would like to include attached image,relates,1
3882,19048,hello guys \r\n\r\ni have installed bitnami re,6212,writing text/link pair every time is too much,independent,0
6842,27831,repositories currently offer views over revi,5965,use this approach often but unfortunately ou,independent,0
31272,12361,now done can be set manually or calculate,34566,currently it is possible to re title an issue,independent,0
1163,14130,there is possibility in spent time report now,13558,it would be very helpful to be able to filter,relates,1
2814,2529,when view issues for parent project am,6121,m using stable checkout from,relates,1
37424,2769,if you are adding new file to documents sectio,18003,in the tickets view redmine admins and users,independent,0
3838,9693,supports attachment images in pdf \r\nsu,3261,when an issue is exported to pdf by using the,relates,1
2959,5742,it should be possible to add ldap based auth,1113,it would be great feature for corporate wide,relates,1
1927,11159,it would be helpful to have possibility to,9664,my redmine java api tests check that new iss,relates,1
192,33490,current subproject of filter implementation,29482,the attached patch adds the existing query sys,relates,1
4080,1086,permissions should be appliable per forum per,2636,it would be nice if redmine would support acls,relates,1
43453,417,the assigned to me list should sort by priorit,24381,the rest api for issue relations lacks means,independent,0
557,23106,the new code highlighting toolbar button,14937,planio has developed and woul,relates,1
3039,5458,can very good feature to add time fields for,11044,it would be nice to have time and datetime as,relates,1
3388,2209,didn like that images didn just load in,4477,ok so appart from the export links in wik,relates,1
1507,12223,as described in the topic \r\nit would be grea,11709,see it as just being ordered by priority \r\,relates,1
2666,643,when opening new issues it would help guiding,6715,hello \r\n\r\ni think about issue templates,relates,1
1531,12089,hello \r\nwe are using redmine to manage our,9432,it would be useful to have the possibility to,relates,1
2154,12250,think nice feature is add the possibility,8417,\r\ni thought about an approach to make the,relates,1
26846,23390,hi \r\none way to speedup the issue show vie,8006,hi \r\n\r\nthe right click context menu for is,independent,0
4222,2128,there are problems when the assigned to field,4582,automaticly set issue status to assigned whe,relates,1
1987,14555,hi redmine team \r\ni suggest this feature \r\,5185,how to make summary custom such as \r\n add,independent,0
5117,9233,think nice feature are add inside the issu,19640,hello \r\n\r\nit would be great to have feat,independent,0
113,31321,from redmine the parent issue can be ab,31322,wish to add the function of reminder which,relates,1
1332,13143,do you have an idea how to build custom field,6717,use case\r\n\r\nthe administrator of the,relates,1
5213,8668,the text editor for project overview don pro,202,ve noticed another missing textilization \r\,relates,1
445,24681,propose replacing coderay with other syntax,2623,this would be useful both for inline code in,relates,1
6031,1684,changing the category of an issue still requir,3365,cannot seem to find any way within redmine,independent,0
400,2783,it would be handy to have an filter for issues,25515,width attachments column png,relates,1
391,25625,problem with issue numbering\r\n\r\nit see,2885,am using redmine for all internal projects,relates,1
3877,12917,currently to add note/comment have to cl,3143,most of the issue update operations are to,relates,1
2625,28097,dear team \r\n\r\ni need to upgrade redmine,18286,if we create new subproject it is possible,independent,0
34668,6622,see redmine forum topics are flat,4615,log,independent,0
4442,1675,as described in this forum post,2096,want to add custom field which is named as,relates,1
44746,23589,hello there\r\n\r\nim working with redmine and,23763,hi didn found anything about it \r\n\r\nis,independent,0
15846,17732,as far as can tell the rest issues api retu,13386,hii am developing the tool for my company,independent,0
42701,12822,by using capybara,22018,in trying to style the options section of the,independent,0
42986,2073,ve created small plugin for redmine \r\nit,10698,when assign issue think nice feature,independent,0
470,24346,inspired by \r\ncould you also add pre,8761,sorry for my english am from québec native,relates,1
39851,11457,dear sir \r\n\r\ni need to add field that,30477,\r\ncurrently there are four choices for user,independent,0
47977,10858,at the moment there is no filter/search functi,25482,it would be great benefit if the recursive,independent,0
1558,12005,ability to hide field\r\n\r\nrelated to,11853,congratulations for the version the optio,relates,1
23941,10011,in our company we re using time estimation as,15066,rm timer is an air client application utilizin,independent,0
904,17288,this request is to implement with existing fu,6945,lot of issues have generic responses such as,relates,1
2275,8045,an example \r\n\r\n pre \r\n git commit b,6395,relatively new but useful feature of git ar,relates,1
626,22621,hello \r\n\r\nis there possibility to reprod,22026,like the very old topic below d like to req,relates,1
2775,10078,there should be broader support for textile,6269,adding support for redcloth would be nice si,relates,1
2344,7811,the mail notification system doesn work with,7723,for enterprise installation it would be inter,relates,1
2116,34556,currently the watchers section in the new,8562,we face the problem that we have many project,relates,1
5121,2964,it would be nice feature to add since there,408,it would be great if it was possible to assign,relates,1
3967,2937,now issue can be assigned to every user that,8313,currently the assignee list shows every member,relates,1
1070,15124,with the introduction of the new ipos cli whic,15108,with the introduction of the new ipos cli whic,relates,1
5057,16351,currently one can set default person for th,482,it would nice to have setting item to select,relates,1
40888,3309,rtrh,887,d like an option to disable html email jus,independent,0
5220,6280,my company has recently adopted redmine as b,69,when exporting an issue then textile symbols,relates,1
333,26617,hi \r\n\r\nwould please help me stopping concu,10840,regularly access my project redmine site,relates,1
24342,11312,\r\n\r\nnow issue can be assigned to every,6122,imagine situation \r\n\r\ni am working on feat,independent,0
133,30916,as jan wrote in beginners often get con,9226,at planio online project management,relates,1
3546,4015,allow some application settings eg theme to,850,have situation in which want any registe,relates,1
6663,332,if create filter in the issue listing page,23266,m aware that we can create roles and allow,independent,0
3843,9207,on some redmine installations the single redm,3224,as project managers we are going to project,relates,1
11737,21570,the table hasn much details this is ok \r\n,362,users should be able to create issues without,independent,0
68,32002,didn found way to get inherit members fi,5605,alternatively the roles permissions secti,relates,1
4724,2313,it often needs to add some typical tasks \r\n,1138,it would be cool to allow pre filled issues,relates,1
19317,12476,at the momment there is roles rights report,11425,this request is featured by an real problem,independent,0
41564,19484,is there way to have different ordering in,16863,integrate redmine with my applications auto,independent,0
4066,13513,hi there \r\n\r\nmaybe this could be good id,2675,love the watch feature use it all the tim,relates,1
1858,10027,redmine \r\n\r\nit could be interesting,5127,think it would be very useful to change set,relates,1
36529,11989,consider situation where defect can be re,17153,hy \r\n\r\nworking with svn advanced integrati,independent,0
13336,17205,hi all \r\n\r\ni want to add custom field,9385,was trying \r\n\r\nsource /show rev=vc po,independent,0
48308,5528,this will help to associate who people are on,10514,hello \r\n\r\nat the moment when we rename or,independent,0
927,9122,it should be possible to track adding and remo,16934,make global or project based setting for,relates,1
32862,20903,is it possible the user to see the problem onl,5289,please could request an option for initials,independent,0
30904,11637,can you create tree structure in issue list,6880,really like the new task feature when check,independent,0
1312,13295,have to implement software which moves iss,12275,hi \r\n\r\ni making simple bot who update,relates,1
24025,5748,could it be possible to integrate this plugin,14512,hello\r\n\r\ni am developing plugins and use,independent,0
42403,6206,if have custom variable list of the values,23212,work in big company where we have implemen,independent,0
21590,2671,will redmine has report page for manager to,8329,projeto de tecnologias móveis,independent,0
20743,10345,want to define hierarchical structure in my,1870,it would be nice if minimized version of the,independent,0
2499,7319,the issue just came up to me while was doin,1176,can we implement recurring tasks in redmine,relates,1
4151,22425,there are no means of styling text such as co,2416,pre \r\ntable border bordercolor darkblue,relates,1
3762,10734,there is no way to limit my issue searches to,3491,when do search to check if feature has,relates,1
795,18858,the order of custom fields determines the orde,12909,want to configure issue statuses order on,relates,1
2064,8856,we import ldap groups and assign them to proje,9878,hi in my company we need relay role for,relates,1
6215,5391,in some schools of thought major release vers,30462,the current developer guide references using,independent,0
43625,463,make something similar to www wrike com,3506,was looking through the roles/permission sec,independent,0
21400,25692,hi \r\nfor client we need to create quarterl,10884,presenting the tool redmine to anyone \r\n\,independent,0
3142,5195,there are should be edit own issues and del,3683,would like to know if it is possible to dele,relates,1
236,25925,in order to see more of the old notes on scree,29034,in ve proposed to add an collapse/ex,relates,1
29785,652,this way css can be used to style the list of,7066,dear developers \r\n\r\nfirst of all d like,independent,0
4273,15396,create order execution of the tasks and relati,2024,this is patch to edit gantt chart \r\nyou ca,relates,1
91,28492,hello \r\n\r\ni saw that \r\n\r\nbut,31589,you cannot close an issue if it has open subta,relates,1
2297,23581,have class inherited from query to perform,4877,in my company as we use only svn we modified,independent,0
2585,6964,we developed mental model how our roles gro,442,hi \r\n\r\nin project when having testers/r,relates,1
3333,2082,currently by default the gui use the,4636,think it would be useful for expanding exten,relates,1
44538,11181,would be nice to have the log time link on,20929,hi \r\n\r\n\r\nit possible to change the redm,independent,0
18370,14769,hi there \r\n\r\nwould it be possible to add,12932,sometimes we have number of tickets that ask,independent,0
19810,6560,please block this user he has,13088,add cdn support to jquery/ui lib include,independent,0
616,22124,instead of plain list of projects there cou,22122,when you have many subprojects the overview,relates,1
2152,4388,for example would like the custom field out,8417,\r\ni thought about an approach to make the,relates,1
1654,13839,when project / tracker has an important numb,11361,this is just suggestion but\r\n\r\nit would,relates,1
4744,6637,we started using redmine for issue tracking,1091,want to create tracker with all the custom,relates,1
42447,17201,as of redmine the group options appear,31526,used redmine to manager issue and knowledge,independent,0
1847,11228,d like to request email this issue funct,12522,hello \r\n\r\nwe use redmine with succes for,independent,0
34993,20555,symptoms and how to reproduce \r\n\r\n,21777,hi \r\n\r\nsorry m not sure if this is fe,independent,0
4988,20069,want report to track the total time of the,32312,add configuration point to be able to disable,independent,0
37254,4897,the field search to search for stuff in red,12367,hello all \r\n\r\ni have the requirement to vi,independent,0
38011,15286,want to make some minor changes to the defau,28531,we have theme with styling dependent on kn,independent,0
45381,10159,often even project authors misses that they ar,23524,as discussed in this thread,independent,0
2299,7956,if root project does not have defined versions,2666,if the main project can see the activity of al,relates,1
426,24934,issue limited the watch list when creati,8562,we face the problem that we have many project,relates,1
47415,14115,some enhancements would make using huge wiki,17142,\r\nit is common particularly with java code,independent,0
1697,11001,one of the possible new feature that would be,7575,sometimes the exact due date does not matter,relates,1
4390,1763,currently the autologin cookie is generated by,982,is it possible to have gui setting to contro,relates,1
2742,580,could be nice to sort issues by subject too be,30843,hi there \r\n\r\ntoday have set up my system,independent,0
21182,4305,the company work for uses redmine to track,271,how about adding add new link when you are,independent,0
47149,3595,it would be great if redmine could provide evi,4976,hey currently the rake task from /etc/aliase,independent,0
1139,8897,issues are sorted by id in the gantt chart \r\,14397,as of the issues in the gantt will be so,relates,1
43386,22656,request \r\n\r\nadd the ability to toggle logi,9171,xzxzx,independent,0
2729,6434,have many projects that start with the same,6965,am wondering if there is way to make the,relates,1
12539,13067,at the moment it not possible to choose the,10823,it would be nice if you could see what the dev,independent,0
40202,10503,we have groups of employees specialised in dif,12834,hi \r\n\r\ncurrently the relation filter on th,independent,0
4289,1982,one of the things love about redmine is that,1040,it would be very helpful to have global wiki,relates,1
46949,1721,it will be very useful to find what issues are,13680,планируем запуск сайта апреля в день космо,independent,0
37913,23975,for each changeset of the issue in the issue,12858,permit user/group only to view/select spec,independent,0
12576,15062,inheriting members is cool however you are,6266,with ldap set up to create on the fly users,independent,0
49770,8803,hallo erwin \r\n\r\nbitte um einrichtung eines,6211,to reduce work and troubles with sloppy users,independent,0
3095,7077,am looking forward to using lig as my,5393,replace tub and tile round tub into square ar,independent,0
16936,8443,hi \r\n\r\ni working on plugin which creates,17312,to reproduce create new issue and enter sub,independent,0
3324,12005,ability to hide field\r\n\r\nrelated to,4670,why can anybody =any role assign due date,relates,1
19387,1696,it would be great if project could be assign,9420,bonjour à tous \r\nen premier lieu je suis tr,independent,0
8962,31531,you can quote note by clicking the comment,23615,for projects with lots of users it may be time,independent,0
1322,9847,begin implementation of clio database,13058,at the moment roadmap all versions without dat,independent,0
13239,12282,how to set target version as required field,14871,name is required for custom field this sh,independent,0
15713,31718,hi \r\ni want to restrict assignee list base,3566,started this idea as comment on this featu,independent,0
33370,19412,reqtify is traceablility tool developed an,283,redmine looks very nice most ruby/rails proje,independent,0
1772,10541,it would be nice if the gantt chart would star,9296,it would be great to have user preference wh,relates,1
44185,4282,typing for example \r\n pre \r\n foo\r\n,12282,how to set target version as required field,independent,0
10281,6003,hi \r\nich wollte fragen ob es sinn macht es,5645,m trying to build dashboard workflow \r\ni,independent,0
36886,14641,hi day\r\n am using redmine in my company,634,currently after you move an issue it takes,independent,0
1704,31589,you cannot close an issue if it has open subta,10989,am able to close parent issue while its ch,relates,1
1960,9421,sometimes it is desirable to reopen closed,1919,currently access to these fields is controlle,relates,1
1638,12508,is it possible to get the diff in the email if,11530,could you support hooks in mailer \r\n\r\nview,relates,1
29072,25616,currently the changelogs both the ones on red,629,it will better to put text format link /hel,independent,0
6761,31381,d like to find change status on issues at,788,is there any possibility of being able to embe,independent,0
4364,2214,it should be possible to automatically and imm,1833,let me expose lack of feature in redmine reg,relates,1
40967,4626,if you do some work for an issue on but,5131,pm rsyring query has,independent,0
106,7751,looking for an enhancement to the project drop,31355,this patch aims to make the project jump box,relates,1
1420,16067,one off issue creation is cumbersome when jugg,12704,happy new years \r\nas you know redmine sub,relates,1
47392,6930,in my company there is workflow according,4722,currently it possible to show the estemated,independent,0
5034,5078,sería deseable un plugin que permitiera config,32766,problem usecase \r\nthe markdown module of,independent,0
339,26554,the overview page of project with its issue,1040,it would be very helpful to have global wiki,relates,1
2536,30981,when we add new members to project through,8396,sssss ssssss ssss,independent,0
14027,28616,from time to time images may have different,5849,hi \r\ni just wanted to know the best way to,independent,0
2872,5990,currently email notification is sent only in,26791,with this patch series we are introducing the,relates,1
48179,27162,know it simple enough to just use the quot,11246,would be extremely useful if in redmine will,independent,0
230,9994,this helps to stay on the report window and,29042,this issue is extracted from note \r\n,relates,1
47532,1290,implement an atom feed for the project list pa,9538,hi want to know if it is possible to track,independent,0
3799,27355,hi all \r\n\r\nhow to provide custom acknowled,350,would it be possible to set the roadmap to not,independent,0
2329,25384,in order to be able to manage cumulative works,7849,in different projects am using redmine with,relates,1
296,27368,this patch implements preview for comments for,2604,when creating new issue we can preview our,relates,1
26256,7683,he spamming issues and there is no way we ca,902,in project planning is important to see member,independent,0
3361,4985,would be nice if it was possible to filter,4561,also good filter should give access to all sta,relates,1
37977,32796,since there is already an easy way to get the,972,it should be great to have same date range se,independent,0
270,28829,patch has added icons to open the conte,28086,in addition to the nice improvements in,relates,1
1198,13834,hi \r\n\r\ni am looking for datetime field,31300,in was implemented the browser native,relates,1
8254,29183,think it would be better to show latest new,13233,it would be fine being able to sort the custom,independent,0
4254,924,it would be great to track not only hours spen,6903,changeset views should be more configurable \r,independent,0
709,20698,think it necessary to create the task list,20691,add please ballot boxes\r\n\r\n pre \r\n☐\tu,relates,1
48263,19293,hi \r\n\r\nit possible to load the issue edi,32844,if the specified page does not exist many web,independent,0
37216,2162,d like to add some additional fields to the,4232,we are using the documents module so users can,independent,0
13730,7789,if user is inside project it would be fine,2543,redmine has this hook when displaying versio,independent,0
163,29725,in documents page documents are listed in asc,1958,on the page that list the documents /projects,relates,1
1617,11709,see it as just being ordered by priority \r\,7769,the my page shows lists of for instance is,relates,1
39718,14435,it would be nice if you could edit some fields,27097,hello\r\n\r\ni want to use the key/value list,independent,0
2537,22810,hi \r\n\r\nin order to parse time logs it v,6504,it would be quite useful to be able to compare,independent,0
4702,7319,the issue just came up to me while was doin,1176,can we implement recurring tasks in redmine,relates,1
3192,4896,as the project identifier is limited to cha,5040,project name is limited to characters but,relates,1
30339,1539,plugins should be able to hook into the activi,25012,in redmine inputting decimal values such as,independent,0
15407,33784,as mercurial is transitioning to python ht,2678,do get some questions over and over from f,independent,0
15252,1082,think there should be new project link /,6504,it would be quite useful to be able to compare,independent,0
9573,15311,imagemagick convert is now used for generating,1149,currently the file size is shown as when,independent,0
3725,3543,it would be helpful if long text custom fiel,12789,hi there \r\n\r\ni trying to give some ideas,relates,1
4506,1193,hi\r\n\r\ni sure that the following would be,1554,hi \r\n\r\nprivate issues would be great but,relates,1
1679,11177,it would be very nice if redmine send notifica,13585,background\r\n\r\nsub task as such is pr,relates,1
16742,1453,when used with the automatic repository creati,1341,hello \r\n\r\nafter trying to lazily import is,independent,0
1584,31050,see the image attached this is sample ticke,11969,would like to have the option to display cer,relates,1
8071,2487,file is plug in for software reliability growt,19583,currently the only permission configuration fo,independent,0
3704,9829,if put time on project that is archived,3640,the same as archiving project except it isn,relates,1
44677,271,how about adding add new link when you are,11413,in publicly registerable deployment of redmine,independent,0
42351,9413,now start and due dates of an issue are hard,6653,let me know is there any migration way to migr,independent,0
3126,1189,my project manager wants to be able to assign,5220,let me start out by saying that m quite impr,relates,1
23087,534,new user won get notified when the account,10019,it would be good to have integration between,independent,0
17973,7428,it would be great to allow users to modify iss,17238,was wondering if it would be possible to mod,independent,0
704,20812,although css class overdue on issues was im,2337,it would be perfect if overdue tickets are hig,relates,1
1692,10953,m looking to create project that functions,11049,is it possible to have custom field which be,relates,1
16631,5285,calculate it as estimated time estimated ti,31562,hi everyone m new redmine user and need,independent,0
3602,6795,we have to see due date and closed date on,3946,display green or similar line indicating,relates,1
3562,4796,migrate redmine to rails once rails is out,4005,shoulda,relates,1
