,Unnamed: 0,id1,Description1,id2,Description2,Type of dependency,label
172,1319,7145,imap protocol support fetching range,16336,purpose constant privacy keep c,independent,0
173,286,13807,frequently see code us value,15557,often see code like thisrnrn rubyr,relates,1
174,6493,4016,beginn please consider adding age unicod,5157,unused variable uglyrnrnas often,independent,0
175,563,8848,commit yui naruse added stringb,10391,occasionally need use string l,relates,1
176,4117,6354,let remove global escape breakreturnredo,2832,beginrn vector implement,independent,0
177,707,16425,thread method like array ha,12304,would like stringsplit take optiona,independent,0
178,6367,8684,propose gcdisable blockrnit usef,11801,current rb inspect raise encodingcompatibil,independent,0
179,1600,5555,shouldnt include method renamed,10323,doc little bit diffic,independent,0
180,12,15799,implemented pipeline operator topi,17353,since ruby already moving directionfu,relates,1
181,686,9487,object cant use dup clone bc,12328,problemrnrnusers often still using,independent,0
182,3551,13507,complex method call numericreal r,11227,hellornrnionew want numberrnr,independent,0
183,700,16364,defining toplevel keywordsr,10182,cleanup case mvm development proceeds,independent,0
184,1667,16637,term like strftime strptime,14278,opensslhmacdigest show unclear,independent,0
185,107,16253,using thisrnrnrubyrn def,16296,settled syntax rem,relates,1
186,5997,16348,replacing match start end w,11599,hirnrnthis first code contributi,independent,0
187,279,13984,currently bigdecimal instance frozen,13985,since truefalsenilintegerfloat jus,relates,1
188,5216,13017,secure enough used hash,16347,notice ruby oop language also include,independent,0
189,875,5481,beginrnrnuptodate summary propo,11057,gemified json libraryrnrn,relates,1
190,1979,3793,beginrn taskrnendrn,10323,doc little bit diffic,independent,0
191,6139,5009,beginrnhellornrnin ruby please use,12719,language operator performing,independent,0
192,192,14819,general pattern notice pg mysql,12656,currently fileexpand path expands short path,independent,0
193,2618,8494,developerrni want simple method,2666,beginn looking bit stdlib rubyd,independent,0
194,1032,4698,ruby licensing ruby,2000,beginn hellorn rn recently readline,relates,1
195,5657,5460,nethttp sends connect request comm,16233,deal specifically setting,independent,0
196,418,12306,time rejected featur,8110,useful method allowing pattern,relates,1
197,21,13334,mathncomplex mathnrational deprec,17281,mathn deprecated canonicalization,relates,1
198,206,14709,rubykaigi presentation,14912,propose new pattern matching syntaxrnrn,relates,1
199,6399,8490,seems common sense usef,16252,hashpartition implemented enumerable,independent,0
200,155,14392,would like see implemented ruby pipe,15799,implemented pipeline operator topi,relates,1
201,78,12650,window environment variable support unicode,16604,issue related,relates,1
202,913,6697,consistency seems make sense add,14329,abstractrnrnspeedup blockcall,independent,0
203,2250,4633,beginrnthe ruby world known using ea,3888,beginn macports updated autoconf,independent,0
204,982,10319,pretty trivial add internal typechecki,9347,currently argument enumerable,independent,0
205,1033,17006,sometimes need create hash e,10197,good idea implementationinternalsdepe,independent,0
206,7429,13575,today increase ioclose performance,16411,problem safe keyword extension,independent,0
207,534,11105,support hash literal,16095,common usern rubyrnclass arn de,relates,1
208,1016,2509,beginrn like freezing constant confi,17145,id like propose objectdeep freezern,relates,1
209,763,6973,numericinteger check whether instance,5310,believe ambiguous object beha,relates,1
210,2567,13118,useful array return repeated p,15818,common experience google,independent,0
211,878,13177,issue tracking gem release csv,5481,beginrnrnuptodate summary propo,relates,1
212,179,8468,yesterday github tokyo drinkup thanks gi,15344,would like start discussion relating,relates,1
213,5811,9941,think would appropriate issue,6769,beginrnhellornrncurrent behavior rb,independent,0
214,662,8640,hirnrnwe time many thing rail,8096,beginrna lot scenario application,relates,1
215,7102,15627,singleton class aclass,7375,people hard time using psych thus,independent,0
216,646,8846,propose changing moduleinclude public,6539,feel inconsistency meth,relates,1
217,1040,9112,module included class,1586,beginrn scenariorn include foo,relates,1
218,2619,14666,hi everyone rubytrunkrnrni encountered,13667,since cant rubyvminstructionsequenceto,independent,0
219,757,7241,often use inject method build,4151,beginrn hirn rn method,relates,1
220,7730,6070,hirnrnin ruby scope loop va,2347,beginn easy get infinity ruby,independent,0
221,6240,11139,application wanting nonblocking acce,8820,quick comparisonrnrnin rubyrnr,independent,0
222,813,6470,attr accesor currently return nil would b,11539,summaryrnrnwe seek add mechanism fo,relates,1
223,840,6056,patch fix one issue protecting new o,1400,beginrn two way find,relates,1
224,5829,5574,array comparable array already,3986,beginn hirn rn ruby vrn ruby,independent,0
225,577,10152,stringstrip doesnt remove nonbreaking space,10085,case conversion function currently limite,relates,1
226,869,11049,sometime want grep like operation,5588,please add negation flag regexps whic,relates,1
227,913,5065,ive noticed issue subjecting endal,5054,though matz said ruby,relates,1
228,461,12334,sort relates,12021,final instance variable ruby,relates,1
229,129,12447,sometimes want extract digit placeva,16011,ruby seems way format number w,relates,1
230,867,10320,requiring library global namespace alw,5643,current kernelload defined asrnrn,relates,1
231,525,11256,since capturing block proc slow f,14045,backgroundrnrnif need pas given b,relates,1
232,999,3426,beginrn documentation exec state,2715,beginrn old issue think going,relates,1
233,3035,5644,please add enumerableexclude antonym e,9997,increase performance machine,independent,0
234,7357,2984,beginn would awesome string,9303,write unit test fileutilsc,independent,0
235,2507,8377,beginrn usually constant looku,17276,although obviously syntax error,independent,0
236,7351,11358,rnioc argf read nonblock support exc,8700,adding integerbitsize actually fix,independent,0
237,6897,15999,exception class accept receiver,10844,situation ruby vm creates,independent,0
238,413,12928,rncurrent nethttp netpop use timeoutt,12435,hey ive got pull request,relates,1
239,305,13563,hirnrni propose hashchoice methodrnr,8499,according experience following two,relates,1
240,503,6470,attr accesor currently return nil would b,11539,summaryrnrnwe seek add mechanism fo,relates,1
241,419,12403,moment match dynamically dispatc,12306,time rejected featur,relates,1
242,4780,12352,matz showed rubyconf fol,6261,inspired ruby enumerablechun,independent,0
243,3952,16821,gemspec want express version requ,16848,make easier implement load path cachi,independent,0
244,182,5663,pretty common want map en,15323,proposal combined filter,relates,1
245,6703,4414,beginrn im wondering whether following,14452,result fewer conversion common mod,independent,0
246,164,15743,understanding rubyvm supposed,17500,rubyvm traprn user think,relates,1
247,225,13767,order ruby used scientifi,14722,way implement even copy pyth,relates,1
248,5405,14832,netreadtimeout occurs cant get,6390,xyxyrnxyxyrnxy xyrn,independent,0
249,900,6973,numericinteger check whether instance,5310,believe ambiguous object beha,relates,1
250,1684,2456,beginrn example module th,10251,current implementation urifind proxy w,independent,0
251,571,16260,seems symbolto proc return proc tha,6503,openssl added support next protocol,independent,0
252,897,5394,proposal anonymous symbol anonymous,4288,beginrn one groovy feature tend,relates,1
253,3663,11749,variablec remove spurious define global,14932,sure exactly pull,independent,0
254,53,16989,opening series feature request,16990,currently set operator array work,relates,1
255,699,8658,adding new method processclock g,8096,beginrna lot scenario application,relates,1
256,203,14763,enumerable short hand accepts meth,11137,libwebrickserverrb avoid redundant fcntl,independent,0
257,466,12019,nowadays almost every processor,12021,final instance variable ruby,relates,1
258,800,6636,made clear enumerab,3715,beginrn would useful able,relates,1
259,2133,13174,reduce size id table platfo,7519,limitation module g,independent,0
260,873,9612,previously discussed removing open,5481,beginrnrnuptodate summary propo,relates,1
261,1102,4264,beginrn justification ruby object various,6583,beginrnif user try bind port tha,independent,0
262,3581,16559,hellornrnthere appears bug net,5102,seems currently creating wit,independent,0
263,473,11925,propose make struct subclass constructor w,15076,struct used instantiate object,relates,1
264,663,12173,frequent time instancer,8640,hirnrnwe time many thing rail,relates,1
265,6926,4111,beginn chance adding support,3653,beginrn expression ab applie,independent,0
266,2961,11796,fix reduce call get stat much po,7274,beginrnas corollary unboundmethods,independent,0
267,96,16378,think important otherwise,16463,ruby outrnit aim warn ever,relates,1
268,4614,3021,beginn arraypermutation combination wi,12008,hi know sort deep freeze c,independent,0
269,712,7854,propose new class method symbol,7839,hirnrnon team rail trouble,relates,1
270,264,14097,currently concat method ruby whi,14105,sure also add feautures th,relates,1
271,2540,10173,suppose empty ensure like,15580,hellornrni sure whether propo,independent,0
272,3940,9502,id like remove deprecated definitionsrn,15004,rubyspec single codebase supporting,independent,0
273,3660,6515,method like include method,7546,beginrnthis concrete proposal fix,independent,0
274,6408,7849,even though symbol technically hon,11124,monotonic clock preferred guar,independent,0
275,543,8921,would handy select could accept r,11049,sometime want grep like operation,relates,1
276,789,7384,propose object renamed,6687,beginrnlet propose enumerablewith,relates,1
277,620,9112,module included class,1586,beginrn scenariorn include foo,relates,1
278,271,14042,hi rnrnive attached patch make iop,9323,propose addition iowritevrnit enables,relates,1
279,314,13334,mathncomplex mathnrational deprec,17281,mathn deprecated canonicalization,relates,1
280,729,7424,documented way embed ruby interpreter,3731,beginrn ruby become,relates,1
281,498,11541,since ruby def return symbol th,14397,matsudasan suggested public prote,relates,1
282,134,12957,currently create lambda proc one u,15973,kernellambda receives proc,relates,1
283,1017,2348,beginrn merit library bee,9121,rbtree slower pure ruby versionr,relates,1
284,4595,7258,eric hodel planning update rdoc e,8691,following codernrndef reassigned unuse,independent,0
285,6199,14815,benchmarkdriverrb add cpu time measurement,6720,found discrepancy datetimestrf,independent,0
286,106,16345,propose ruby doesnt emit deprecation,17000,matz decided disable deprecation warnin,relates,1
287,98,16355,currently single line pattern matchingexpr,16370,wrote codernrn rubyrnn,relates,1
288,3333,6521,ive added patch cover kernel module docu,10090,aix process listing displayed th,independent,0
289,381,12697,method like alias method attr accessor defi,8846,propose changing moduleinclude public,relates,1
290,554,5220,noticed nilclassto accept,16350,im sure bug feature,independent,0
291,401,12512,think value transformation fundamental,6669,given hash hmap return arrayali,relates,1
292,350,12968,kernel provides global conversion functi,12732,would like able pas option,relates,1
293,3716,13208,found need recently class,6362,id like ask opinion adding two,independent,0
294,634,8556,propose adding mutexeddelegator simpl,8961,beginrni propose synchronizable mixin,relates,1
295,7702,8452,imagine code like rn long,16815,previously discussed,independent,0
296,748,12957,currently create lambda proc one u,7314,code need convert proc,relates,1
297,119,15865,adding syntax oneline pattern,16182,new syntax expr pattern,relates,1
298,790,7340,following discussion,6687,beginrnlet propose enumerablewith,relates,1
299,352,12957,currently create lambda proc one u,7314,code need convert proc,relates,1
300,656,8661,currently way ruby print backtrace th,16684,mostrecentcalllast order backtrace,relates,1
301,863,5663,pretty common want map en,15323,proposal combined filter,relates,1
302,31,17134,add resolve timeout tcpsocketnewrnit,17187,add connect timeout tcpsocketnew sa,relates,1
303,6219,10340,add example term underscore given,9634,ive written patch collect symbol,independent,0
304,105,4326,beginrn fiber considered corouti,9174,seems useful able check presence,independent,0
305,4377,2643,beginrn hi ryan davis rn rn wri,2523,beginn whats proper procedure check,independent,0
306,6896,8083,beginrnwindows us process exit cod,10123,broken using rnrnrn echo,independent,0
307,7678,17546,riscv architecture getting mo,15605,release json gem,independent,0
308,500,9453,ruby returning symbol def,11541,since ruby def return symbol th,relates,1
309,327,13199,issue tracking gem release stri,5481,beginrnrnuptodate summary propo,relates,1
310,7246,9140,possible arrayeach,2771,beginn believe following simple constr,independent,0
311,3121,9319,hirnrnwould possible list ke,9678,whatever worth ive,independent,0
312,973,8765,beginrni propose symbol literal,13838,descriptionrnrni want detect current,independent,0
313,91,16363,mean gem bundled gem,16431,opened pr allows ruby,relates,1
314,7582,16602,would make sense eval frozen stri,8119,beginrnrnthe purpose rindatuplespace,independent,0
315,956,10590,getting current gc state gclatest gc info,10081,increase performance machine,independent,0
316,3739,7091,suggest new method objectputs toio fi,2523,beginn whats proper procedure check,independent,0
317,586,10084,unicode string normalization frequent ope,9111,beginrncurrently string con,relates,1
318,513,11420,let introduce id key table optimization,11414,relax ordering rule id table,relates,1
319,407,12461,would nice hash way create,8499,according experience following two,relates,1
320,251,14392,would like see implemented ruby pipe,15799,implemented pipeline operator topi,relates,1
321,889,13248,issue tracking gem release gdbm,5481,beginrnrnuptodate summary propo,relates,1
322,910,5065,ive noticed issue subjecting endal,16746,ruby syntax full end im paranoid,relates,1
323,582,10085,case conversion function currently limite,2034,beginrn consideration recently giv,relates,1
324,893,3697,beginrn issue bug,17307,would like design way mark extensi,independent,0
325,967,4151,beginrn hirn rn method,6669,given hash hmap return arrayali,relates,1
326,963,4477,documentation common sense would e,4269,beginrn hellorn currently linuxrn,relates,1
327,382,12697,method like alias method attr accessor defi,6539,feel inconsistency meth,relates,1
328,1281,15181,wasnt long ago appveyor ci w,11734,ternary operator would nice abl,independent,0
329,1048,1200,beginrn possible use named,4239,beginrn rn,relates,1
330,2296,15350,thread syncc queue sleep remove deadlock c,8458,simple method definedrnrnclas,independent,0
331,344,13006,hello right difficulty u,6647,many application user dealt,relates,1
332,329,13186,issue tracking gem release zlib,5481,beginrnrnuptodate summary propo,relates,1
333,376,5749,string class contain instance,12745,simplified stupid example replace som,relates,1
334,767,10051,rnwhen nbsp character string,6727,beginrni run many instance en,independent,0
335,575,13335,mathn deprecated feature ye,10169,englishrnrnas mentioned,relates,1
336,839,13849,current help show help dum,12354,step reproducernrncreate ec keyrn,independent,0
337,676,8568,fixnumsize really useful represent,8553,changing bignumsize well defin,relates,1
338,1440,16663,many library use caller,10481,id like propose syntax change allow boo,independent,0
339,4767,10882,levenshtein distance algorithm,15371,php allows pas argv interactive mod,independent,0
340,1649,5767,patch add caching expanded load path,13574,hirnrnif redefine method like,independent,0
341,1786,9992,hirn rni would like discus,8614,beginrnmost time use object,independent,0
342,7502,4786,hello allrnrnas discussed,16491,complex regex string work fine,independent,0
343,196,10200,abstractrnrnwe need consider specific,12746,code worksrnrn array b,independent,0
344,876,12160,xmlrpc library longer maintain actively,5481,beginrnrnuptodate summary propo,relates,1
345,3083,10083,hirnrntheres issuernrnrubyr,15777,zeitwerk need able check given,independent,0
346,5441,10386,far research couldnt find reas,5123,read controversial decision,independent,0
347,1013,12047,add set alias setinclude,13934,hello rubycore team everyone elsernr,independent,0
348,6935,14777,hirnrnas mentioned,16372,tried code got sytax errorrnr,independent,0
349,428,12240,often improvement implicit block argume,15741,numbered parameter introduced,relates,1
350,125,16122,value object useful concept introduc,16769,backgroundrnweve discussed interface,relates,1
351,409,12460,currently unicode version used speci,15341,emoji version different unicod,relates,1
352,750,7340,following discussion,7297,would love shorter alias,relates,1
353,1112,13124,instancernrn put,8038,beginrni propose introduce new keyword,independent,0
354,123,8468,yesterday github tokyo drinkup thanks gi,16131,ruby taint checking originally,relates,1
355,434,12173,frequent time instancer,8096,beginrna lot scenario application,relates,1
356,426,12241,refinement feature,5054,though matz said ruby,relates,1
357,3174,12586,hellornrnclass array sample method,14615,currently need either use kind,independent,0
358,4276,11781,hellornrnfor string dornrn,16703,often see code intends remove port,independent,0
359,5438,6712,activesupport add support alias method ch,1206,beginrn created new unit test runn,independent,0
360,6675,16833,surprising enumerator somet,10083,hirnrntheres issuernrnrubyr,independent,0
361,849,2021,beginn graduate student univer,10179,alternatively nethttp could detect,independent,0
