Unnamed: 0,Unnamed: 0.1,id1,Description1,id2,Description2,Type of dependency,label,AnnotationStatus
957,4560,15289,abstractrnrnto enable tracepoint spe,14426,writing data sslsocket,independent,0,M
445,5000,2619,beginn used processfork av,10038,objectspacedump expose internal information,independent,0,M
715,7603,9565,argument method form constcla,2456,beginrn example module th,independent,0,M
703,219,13118,useful array return repeated p,6869,started commenting r,independent,0,M
940,4302,14187,currently mri many test suite bootstr,15289,abstractrnrnto enable tracepoint spe,independent,0,M
1098,6697,17277,given matrixrnrnrubyrnmatrix mat,10182,cleanup case mvm development proceeds,independent,0,M
44,4973,6611,folkrn rn ive implemented twister ne,13252,hirnrnid like c api allow,independent,0,M
657,3564,15017,hirni see ruby already use sigaction f,11081,case process encounter highnumbered fds,independent,0,M
117,5906,9785,proposing dirchdir block b,16818,range introduced alias range,independent,0,M
995,6201,16637,term like strftime strptime,14383,running old code ruby,independent,0,M
1004,6133,13379,hirni found using standard ima,2021,beginn graduate student univer,independent,0,M
399,4275,13780,ruby regex engine support grapheme,7748,beginrnif write method us send,independent,0,M
1293,6382,17036,allow regexp match ruby,2347,beginn easy get infinity ruby,independent,0,M
1254,290,11307,learned nonblocking io apis ex,13630,rubyrn givenrnmodule bamrn def sel,independent,0,M
1072,2066,10199,symbian o ended,3206,beginrn futex timer thread inherits,independent,0,M
1079,2244,10082,reduces code binary sizesrnzalloc,16851,implemented linear probing simple,independent,0,M
822,6467,4614,beginrnthe patch committed issue,12490,running ruby option report warning,independent,0,M
460,6115,17261,abstractrnrni propose software transact,3206,beginrn futex timer thread inherits,independent,0,M
1115,1947,6002,beginrni propose call ioadvise fileu,15002,rnspurious interrupt sigchld cause,independent,0,M
1239,96,1482,pretty convoluted test casernrn,15955,id love way apply unboundmethod,independent,0,M
1446,3616,13562,yield self enumerator instance always,1873,beginrn suspect matchdatasymbol,independent,0,M
1025,2666,2586,beginn unix extopenssl use syst,8262,trying use minus operator,independent,0,M
1232,6576,14888,im working improved coverage library fo,8632,remove following warning refinem,independent,0,M
1159,7194,4877,class vartesterrn global rn,9725,least every month get erro,independent,0,M
1470,7373,10323,doc little bit diffic,6724,gimme gimme gimme waaaaaant dont need,independent,0,M
668,5033,6277,beginrnmany time hash uniform key,16502,hello everyonernrnid like able,independent,0,M
1124,6704,6668,currently multiple assignment,8707,currently reverse call enumerablere,independent,0,M
1209,7066,16295,original discussion,8062,noternfeature request stack tr,independent,0,M
524,3733,15327,refinement enabled various context,11634,variablec rb global tbl convert id tabl,independent,0,M
930,4118,4116,beginn easy compare nam,12145,size length impleme,independent,0,M
49,4536,12654,window ntfs support unicode,2117,beginn guess best way explain,independent,0,M
1417,7758,8947,def return method name would,5102,seems currently creating wit,independent,0,M
811,2517,15797,one reason simplicity,13527,currently open,independent,0,M
982,463,14230,providing bindingsource location,2759,beginn oniguruma flag called onig optio,independent,0,M
1296,7220,13639,propose add key rtmin rtmax,6435,attached patch break net,independent,0,M
316,3739,7091,suggest new method objectputs toio fi,2523,beginn whats proper procedure check,independent,0,M
1372,7628,11161,currenty curry replace eleme,12754,arraypack always return new allocated str,independent,0,M
237,6897,15999,exception class accept receiver,10844,situation ruby vm creates,independent,0,M
1134,3153,11923,structnewargs block creates subclass,12254,hirnin order secure sinatra api using,independent,0,M
1353,6945,15961,method verbose mode war,6638,many library use array queue cause stdli,independent,0,M
996,1522,9427,linux us splice internally sendfile sinc,3888,beginn macports updated autoconf,independent,0,M
530,6930,10867,case rb atomic type retrieved,14340,testexcludes exclude expensive mdns resolv,independent,0,M
74,1739,13676,callrnrn setnewr,5922,ruby doc equal method neve,independent,0,M
182,3551,13507,complex method call numericreal r,11227,hellornrnionew want numberrnr,independent,0,M
1419,5598,11056,libnet use iowait method instead io,5589,another committer review request th,independent,0,M
330,2296,15350,thread syncc queue sleep remove deadlock c,8458,simple method definedrnrnclas,independent,0,M
966,1017,4645,case need pas prein,8956,currently hash require member delimi,independent,0,M
1256,6473,2043,beginn following example fails,13653,created experimentally implementation zl,independent,0,M
366,1119,2084,beginn cat tmpattrrb rn class crn,15559,currently bitwise logical,independent,0,M
575,1828,10881,would like nomethoderror receiver,17276,although obviously syntax error,independent,0,M
818,1993,6868,beginrni propose make use,1900,beginn important property encoding,independent,0,M
234,7357,2984,beginn would awesome string,9303,write unit test fileutilsc,independent,0,M
1007,2024,16755,im using notation lot scriptsr,8449,beginrnrneven array subclassified,independent,0,M
874,6474,15927,right method sprintf string,9650,hi guy rnrna quick idea next maj,independent,0,M
1399,3645,12525,know probably right place fo,17315,add new method transform transform,independent,0,M
1196,4078,7795,im pulling deep discussi,1206,beginrn created new unit test runn,independent,0,M
204,982,10319,pretty trivial add internal typechecki,9347,currently argument enumerable,independent,0,M
608,3070,5033,minor gc improvementrnrnavoid recurring,5444,came across gem todayrnrn,independent,0,M
763,4476,16260,seems symbolto proc return proc tha,16255,abstractrnrnmonitorrb introduces mon,independent,0,M
1060,423,12574,believe true false nil lo,11550,consider classrnrnrn class pr,independent,0,M
958,602,9804,would like filecreate synon,13246,bashrn cat duprbrnputs one one,independent,0,M
1533,5102,10881,would like nomethoderror receiver,5482,ill give three great reason whyrnrn,independent,0,M
788,7555,7998,code implement ruby method definit,6150,please add grep method enumerable tha,independent,0,M
358,4276,11781,hellornrnfor string dornrn,16703,often see code intends remove port,independent,0,M
849,2558,11999,rnclass matchdatarn def hrn se,14084,id like propose new method enumerato,independent,0,M
1053,2925,9346,install systemlevel signal handler,8827,beginrnif often happens need,independent,0,M
31,877,5677,related proposal rubycore,15017,hirni see ruby already use sigaction f,independent,0,M
1077,1249,13625,add shorthand creating bigdecimal sim,15609,rb sleep us time internally,independent,0,M
864,1666,17326,abstractrnrnwe add method kern,8573,think itd great string included met,independent,0,M
1299,3411,7730,following code variable metho,16274,hashtransform key bang ver,independent,0,M
1008,6696,13838,descriptionrnrni want detect current,12913,easy way configure,independent,0,M
586,3742,15668,hi rubystdlibrnrncomputing,11507,discovered implementing soap client,independent,0,M
193,2618,8494,developerrni want simple method,2666,beginn looking bit stdlib rubyd,independent,0,M
1003,5195,5434,following pullrequestrnrn,8714,beginrnrni propose new string non,independent,0,M
1314,7296,13625,add shorthand creating bigdecimal sim,7240,inheritable hook mechanism module woul,independent,0,M
131,381,16175,new keyword freeze intro,5805,would like see object hexid added rub,independent,0,M
926,7534,16451,method end able,10295,note committed trivial,independent,0,M
82,1306,17551,pattern matching powerful feature b,2984,beginn would awesome string,independent,0,M
130,5374,9450,ruby team hashing future,11952,since poor precision want u,independent,0,M
1138,7727,15990,rubyrnif falsern put falsernelse,11154,patch make possible parse execu,independent,0,M
538,1677,10785,english follows japanese english,15955,id love way apply unboundmethod,independent,0,M
625,5228,7738,beginrni almost sure reject,10674,hirnrnive noticed nethttp retries,independent,0,M
1066,3005,8564,extend attr reader attr writer attr acces,7848,hirnrnconsiderrnrn class stringrn,independent,0,M
1559,2106,12858,hello short proposal unlike,17269,seems immutable informationrn,independent,0,M
94,1619,9401,please angry close th,6534,ive added patch cover delegator,independent,0,M
631,1809,12354,step reproducernrncreate ec keyrn,10356,wondering preferred remove comm,independent,0,M
1395,3976,10490,id like reopen could,11525,proposed moduleused invoked w,independent,0,M
1186,6326,5554,often want apply proc self sel,7299,ruby completely ignore blocksrn,independent,0,M
617,2980,10316,ive looking csvforeach equivalent,16817,would like attr predicate like attr reader,independent,0,M
728,5008,8494,developerrni want simple method,9383,unit test fileutilschown r,independent,0,M
256,203,14763,enumerable short hand accepts meth,11137,libwebrickserverrb avoid redundant fcntl,independent,0,M
427,957,7288,documentation chmods uppercase featu,14411,wonder predicate method say secure,independent,0,M
510,1097,4720,decided document libtracerrb since w,14473,hi therernrnid like propose method,independent,0,M
471.0,504.0,11537.0,sometimes write following code rail ap,8191.0,beginrnas ducktyped language ruby,relates,1.0,M
795.0,90.0,16441.0,method like take al,16446.0,led think issue ge,relates,1.0,M
1544.0,240.0,4910.0,suggest add two class classr,14498.0,hellornrni creating list class,relates,1.0,M
803.0,42.0,11588.0,ruby current warning system lacking warn,17122.0,deprecation warning warning rub,relates,1.0,M
612.0,425.0,12247.0,found useful arraydelete,12333.0,would like stringconcat arrayconcat,relates,1.0,M
457.0,65.0,16378.0,think important otherwise,16891.0,based feedback railscore matz de,relates,1.0,M
410.0,328.0,13197.0,issue tracking gem release file,5481.0,beginrnrnuptodate summary propo,relates,1.0,M
417.0,823.0,6309.0,interesting us weakref much hard,6308.0,weakrefs delegation feature really awf,relates,1.0,M
632.0,15.0,12075.0,sometimes write following codernrnru,17330.0,always core method proposal,relates,1.0,M
1511.0,28.0,17273.0,proposal introduce shareable con,17397.0,think shareable constant value literal,relates,1.0,M
1230.0,163.0,15743.0,understanding rubyvm supposed,15752.0,believe introduce module exp,relates,1.0,M
64.0,239.0,11741.0,git svnrnrnconverting ruby wholesale,14551.0,know migrating git get asked least eve,relates,1.0,M
949.0,739.0,7378.0,variant filewrite pa,7363.0,year ago sumbitted yet accept,relates,1.0,M
834.0,562.0,10420.0,gcm cipher accepts variable iv length rub,8667.0,hellorn rn openssl allowed,relates,1.0,M
375.0,190.0,11925.0,propose make struct subclass constructor w,15222.0,ruby struct subclass dif,relates,1.0,M
544.0,957.0,4335.0,ruby behaviorrn rnrubyrn,3575.0,currently work like thisrnrnrubyrn,relates,1.0,M
474.0,776.0,6802.0,ruby method obtain array,12745.0,simplified stupid example replace som,relates,1.0,M
313.0,91.0,16363.0,mean gem bundled gem,16431.0,opened pr allows ruby,relates,1.0,M
981.0,617.0,14042.0,hi rnrnive attached patch make iop,9323.0,propose addition iowritevrnit enables,relates,1.0,M
491.0,584.0,10152.0,stringstrip doesnt remove nonbreaking space,10085.0,case conversion function currently limite,relates,1.0,M
157.0,884.0,13186.0,issue tracking gem release zlib,5481.0,beginrnrnuptodate summary propo,relates,1.0,M
400.0,556.0,10600.0,multipleproducer multipleconsumer sit,17357.0,currently difficult reliably distingu,relates,1.0,M
1524.0,414.0,12403.0,moment match dynamically dispatc,12306.0,time rejected featur,relates,1.0,M
1219.0,782.0,7388.0,beginrnfrom githubrn,6721.0,rni think following method missing fr,relates,1.0,M
352.0,750.0,7340.0,following discussion,7297.0,would love shorter alias,relates,1.0,M
327.0,382.0,12697.0,method like alias method attr accessor defi,6539.0,feel inconsistency meth,relates,1.0,M
1485.0,320.0,13241.0,currently exploratory proposalr,13240.0,unicode property check eg phiragan,relates,1.0,M
1247.0,108.0,16289.0,problemrnrncurrently interpreter e,16345.0,propose ruby doesnt emit deprecation,relates,1.0,M
252.0,897.0,5394.0,proposal anonymous symbol anonymous,4288.0,beginrn one groovy feature tend,relates,1.0,M
1472.0,256.0,14197.0,none one accept,11286.0,proposalrnit proposed enumerable,relates,1.0,M
0.0,649.0,8804.0,introduce syntax,17474.0,ruby borrowed conceptsidioms allot,relates,1.0,M
1323.0,988.0,3715.0,beginrn would useful able,3714.0,beginrn given enumerator wa,relates,1.0,M
641.0,37.0,17145.0,id like propose objectdeep freezern,17273.0,proposal introduce shareable con,relates,1.0,M
1317.0,58.0,16989.0,opening series feature request,16994.0,would like shorthand syntax frozen se,relates,1.0,M
309.0,327.0,13199.0,issue tracking gem release stri,5481.0,beginrnrnuptodate summary propo,relates,1.0,M
198.0,206.0,14709.0,rubykaigi presentation,14912.0,propose new pattern matching syntaxrnrn,relates,1.0,M
1264.0,891.0,5481.0,beginrnrnuptodate summary propo,16170.0,im working extract standard library r,relates,1.0,M
750.0,661.0,8658.0,adding new method processclock g,8640.0,hirnrnwe time many thing rail,relates,1.0,M
571.0,713.0,7854.0,propose new class method symbol,7839.0,hirnrnon team rail trouble,relates,1.0,M
329.0,1048.0,1200.0,beginrn possible use named,4239.0,beginrn rn,relates,1.0,M
1031.0,462.0,12019.0,nowadays almost every processor,12020.0,defining memory model language nece,relates,1.0,M
372.0,168.0,5481.0,beginrnrnuptodate summary propo,15657.0,maintenance webrick hard rub,relates,1.0,M
1523.0,276.0,13984.0,currently bigdecimal instance frozen,13985.0,since truefalsenilintegerfloat jus,relates,1.0,M
673.0,248.0,11541.0,since ruby def return symbol th,14397.0,matsudasan suggested public prote,relates,1.0,M
1542.0,917.0,5044.0,reason zip doesnt return r,16261.0,upd discussion comment method,relates,1.0,M
518.0,1005.0,3112.0,beginrn whyrnendrn,2340.0,beginn yaml syck why product,relates,1.0,M
154.0,621.0,10084.0,unicode string normalization frequent ope,9111.0,beginrncurrently string con,relates,1.0,M
38.0,210.0,14912.0,propose new pattern matching syntaxrnrn,17260.0,propose promote pattern matching offic,relates,1.0,M
777.0,339.0,13109.0,using refinement one file using,13805.0,refinement currently lexically scoped wh,relates,1.0,M
539.0,1022.0,2321.0,beginn created new patch ar,2322.0,beginrn patch add standard deviatio,relates,1.0,M
1345.0,727.0,10728.0,add warning fixnumsize rn,7517.0,maximum minimum number fixnum,relates,1.0,M
749.0,939.0,12116.0,sometimes need apply divmod repeatedly,4787.0,suggest new feature integer enumerat,relates,1.0,M
1147.0,4.0,17273.0,proposal introduce shareable con,17397.0,think shareable constant value literal,relates,1.0,M
769.0,887.0,2635.0,beginn rdoc trunk outdated,5481.0,beginrnrnuptodate summary propo,relates,1.0,M
685.0,749.0,7314.0,code need convert proc,15973.0,kernellambda receives proc,relates,1.0,M
385.0,7.0,15865.0,adding syntax oneline pattern,17371.0,reintroducing expr pat akr,relates,1.0,M
765.0,965.0,4247.0,beginrn planning add followin,3647.0,arraysample support sampling,relates,1.0,M
604.0,313.0,13334.0,mathncomplex mathnrational deprec,10169.0,englishrnrnas mentioned,relates,1.0,M
1519.0,75.0,12241.0,refinement feature,16746.0,ruby syntax full end im paranoid,relates,1.0,M
1525.0,149.0,8499.0,according experience following two,15863.0,add hashslicernrnin,relates,1.0,M
1404.0,971.0,7292.0,official method expl,4151.0,beginrn hirn rn method,relates,1.0,M
1236.0,683.0,8468.0,yesterday github tokyo drinkup thanks gi,15344.0,would like start discussion relating,relates,1.0,M
299.0,352.0,12957.0,currently create lambda proc one u,7314.0,code need convert proc,relates,1.0,M
322.0,910.0,5065.0,ive noticed issue subjecting endal,16746.0,ruby syntax full end im paranoid,relates,1.0,M
956.0,511.0,11420.0,let introduce id key table optimization,11414.0,relax ordering rule id table,relates,1.0,M
863.0,63.0,15198.0,frequently find needing determine,16928.0,hirnrnthe ruby array class currently,relates,1.0,M
4.0,72.0,16752.0,defining private constant require,17171.0,rubyrnclass foorn def call mern,relates,1.0,M
98.0,61.0,14138.0,many good reason simply define,16963.0,englishrb longer maintained ruby cor,relates,1.0,M
326.0,963.0,4477.0,documentation common sense would e,4269.0,beginrn hellorn currently linuxrn,relates,1.0,M
1374.0,154.0,10425.0,method near like following would u,15811.0,backgroundrnrnequal comparison method,relates,1.0,M
1161.0,469.0,12010.0,direach dirread including direntr,10121.0,irc someone asked find dire,relates,1.0,M
692.0,723.0,7792.0,recently replace several symbol,5964.0,put another way make symbol st,relates,1.0,M
52.0,120.0,5481.0,beginrnrnuptodate summary propo,16170.0,im working extract standard library r,relates,1.0,M
230.0,867.0,10320.0,requiring library global namespace alw,5643.0,current kernelload defined asrnrn,relates,1.0,M
1246.0,984.0,5016.0,calling kernelcaller negative limit sh,3917.0,beginrn propose introduce kernelcalle,relates,1.0,M
416.0,648.0,9037.0,beginrni thinking frozen lite,8804.0,introduce syntax,relates,1.0,M
241.0,419.0,12403.0,moment match dynamically dispatc,12306.0,time rejected featur,relates,1.0,M
1042.0,255.0,5977.0,hellornrnas mentioned rubyconf wo,14240.0,think four special variable separat,relates,1.0,M
105.0,304.0,13577.0,first argument file,13568.0,using filetmpfile tmpfile allows u,relates,1.0,M
994.0,148.0,15865.0,adding syntax oneline pattern,17371.0,reintroducing expr pat akr,relates,1.0,M
774.0,24.0,17273.0,proposal introduce shareable con,17274.0,ticket describes semantics sharea,relates,1.0,M
1320.0,1013.0,2635.0,beginn rdoc trunk outdated,5481.0,beginrnrnuptodate summary propo,relates,1.0,M
331.0,344.0,13006.0,hello right difficulty u,6647.0,many application user dealt,relates,1.0,M
134.0,846.0,5903.0,given preparation patch alr,12142.0,rn hello following patch contains,relates,1.0,M
318.0,513.0,11420.0,let introduce id key table optimization,11414.0,relax ordering rule id table,relates,1.0,M
582.0,1012.0,4477.0,documentation common sense would e,2715.0,beginrn old issue think going,relates,1.0,M
1477.0,57.0,16989.0,opening series feature request,16993.0,create set hash key currently impli,relates,1.0,M
319.0,407.0,12461.0,would nice hash way create,8499.0,according experience following two,relates,1.0,M
1129.0,756.0,7241.0,often use inject method build,5008.0,beginrnhellornrni using ruby,relates,1.0,M
590.0,650.0,12973.0,require relative speed loading file,8781.0,wrote attached small script rrcrb stand,relates,1.0,M
53.0,828.0,6241.0,beginrncurrently modulemethod defined,5673.0,significant reason undef met,relates,1.0,M
824.0,641.0,8579.0,id like propose new type string liter,8909.0,suffix declare frozen string,relates,1.0,M
551.0,968.0,4151.0,beginrn hirn rn method,5662.0,ruby often use idiom build,relates,1.0,M
798.0,283.0,9508.0,since coverage extension introduced,13901.0,plan add branch coverage method c,relates,1.0,M
1324.0,396.0,12546.0,unicodenormalizeunicode version defined,12460.0,currently unicode version used speci,relates,1.0,M
663.0,252.0,14344.0,rely refinement lot dont want,16241.0,original discussion,relates,1.0,M
1172.0,187.0,15236.0,pr github,15286.0,suggestion hash shorthandrn,relates,1.0,M
1141.0,585.0,10084.0,unicode string normalization frequent ope,2034.0,beginrn consideration recently giv,relates,1.0,M
355.0,434.0,12173.0,frequent time instancer,8096.0,beginrna lot scenario application,relates,1.0,M
593.0,796.0,7793.0,would nice following method,6669.0,given hash hmap return arrayali,relates,1.0,M
914.0,1034.0,2166.0,beginn patch implement th,1999.0,beginn ive written improved version,relates,1.0,M
654.0,1041.0,6056.0,patch fix one issue protecting new o,1400.0,beginrn two way find,relates,1.0,M
1113.0,686.0,8271.0,proposal moving visible formal,7549.0,matzrnrnat rubyconf gave talk,relates,1.0,M
851.0,146.0,15865.0,adding syntax oneline pattern,16182.0,new syntax expr pattern,relates,1.0,M
125.0,290.0,13767.0,order ruby used scientifi,14722.0,way implement even copy pyth,relates,1.0,M
639.0,853.0,5856.0,feature raise objectrnrn proposalr,5818.0,proposalrnrnthe ability raise obj,relates,1.0,M
145.0,330.0,13183.0,issue tracking gem release date,5481.0,beginrnrnuptodate summary propo,relates,1.0,M
1001.0,843.0,5977.0,hellornrnas mentioned rubyconf wo,14240.0,think four special variable separat,relates,1.0,M
833.0,307.0,11541.0,since ruby def return symbol th,13560.0,hirnrnim suggesting moduleattr,relates,1.0,M
734.0,74.0,5065.0,ive noticed issue subjecting endal,16746.0,ruby syntax full end im paranoid,relates,1.0,M
870.0,73.0,5054.0,though matz said ruby,16746.0,ruby syntax full end im paranoid,relates,1.0,M
1386.0,573.0,10208.0,convert list key value,12512.0,think value transformation fundamental,relates,1.0,M
383.0,64.0,16463.0,ruby outrnit aim warn ever,16897.0,rubyrnrequire benchmarkipsrnrnmodu,relates,1.0,M
1349.0,781.0,6737.0,generally speaking nice,6442.0,ruby hash class internally conn,relates,1.0,M
805.0,499.0,6470.0,attr accesor currently return nil would b,11541.0,since ruby def return symbol th,relates,1.0,M
93.0,6376.0,8688.0,beginrnhi therernrnkernelsprintf shou,11700.0,basicsocket reverse lookup,independent,0.0,
877.0,379.0,12968.0,kernel provides global conversion functi,12732.0,would like able pas option,relates,1.0,
387.0,845.0,7792.0,recently replace several symbol,5964.0,put another way make symbol st,relates,1.0,
757.0,389.0,12996.0,proposal range optimize red,12612.0,currently range alias includ,relates,1.0,
1111.0,254.0,14138.0,many good reason simply define,14240.0,think four special variable separat,relates,1.0,
1550.0,658.0,8658.0,adding new method processclock g,8640.0,hirnrnwe time many thing rail,relates,1.0,
71.0,397.0,12543.0,introducing new syntax tail ca,6602.0,hirnrnsome hour ago matz proposed turni,relates,1.0,
553.0,7388.0,6362.0,id like ask opinion adding two,13544.0,currently way load instruction,independent,0.0,
827.0,27.0,17273.0,proposal introduce shareable con,17278.0,description rnrnthis proposal aim,relates,1.0,
422.0,173.0,13807.0,frequently see code us value,15557.0,often see code like thisrnrn rubyr,relates,1.0,
1467.0,5795.0,11446.0,chance work around,13751.0,hirnnot sure correct place,independent,0.0,
794.0,247.0,14430.0,instead using tcpsocketopen wrapped ti,15553.0,currently use timeout nethttp oth,relates,1.0,
929.0,2904.0,8834.0,intended difference kernelrequir,13936.0,ruby kind feature allow pr,independent,0.0,
1514.0,2275.0,15330.0,id like propose way autoload consta,14717.0,case may beneficial disable,independent,0.0,
1199.0,7587.0,8215.0,beginrnas part debugging celluloid ha,12625.0,well aware ruby typed,independent,0.0,
925.0,378.0,12737.0,provide moduledefined refinement,9704.0,refinement remain filescoped,relates,1.0,
1089.0,83.0,16038.0,know objectspaceweakmap isnt really sup,16471.0,id like request two feature weakref,relates,1.0,
810.0,986.0,16827.0,want write custom random number generator,1880.0,beginrn hashflatten claim flatten recu,independent,0.0,
418.0,7581.0,2084.0,beginn cat tmpattrrb rn class crn,15899.0,seems method getting su,independent,0.0,
407.0,5222.0,10658.0,here story wrote testing framework,12715.0,hello try somewhat short much,independent,0.0,
771.0,847.0,5856.0,feature raise objectrnrn proposalr,5818.0,proposalrnrnthe ability raise obj,relates,1.0,
344.0,876.0,12160.0,xmlrpc library longer maintain actively,5481.0,beginrnrnuptodate summary propo,relates,1.0,
462.0,733.0,7384.0,propose object renamed,6687.0,beginrnlet propose enumerablewith,relates,1.0,
453.0,59.0,16989.0,opening series feature request,16995.0,quite minor set r,relates,1.0,
1369.0,54.0,16989.0,opening series feature request,16990.0,currently set operator array work,relates,1.0,
1537.0,394.0,9785.0,proposing dirchdir block b,17333.0,enumerablemany method implemented ac,independent,0.0,
1133.0,6850.0,8083.0,beginrnwindows us process exit cod,17022.0,method kerneldate de,independent,0.0,
37.0,6760.0,14116.0,add exponentiate method result retur,5281.0,fhs system might beneficial allo,independent,0.0,
107.0,4437.0,16602.0,would make sense eval frozen stri,4682.0,fix indentation mathnrb,independent,0.0,
1281.0,6947.0,15217.0,allows u perthread default,10366.0,currently rational inspection expressed wi,independent,0.0,
127.0,7017.0,9678.0,whatever worth ive,4514.0,beginrntheres often need deep cl,independent,0.0,
766.0,881.0,13197.0,issue tracking gem release file,5481.0,beginrnrnuptodate summary propo,relates,1.0,
364.0,4347.0,4601.0,beginrnin attempt make old gem,7519.0,limitation module g,independent,0.0,
429.0,214.0,14830.0,ticket picking mjitpause ht,14954.0,problemrnto measure mjitgenerated cod,relates,1.0,
1529.0,987.0,7424.0,documented way embed ruby interpreter,3731.0,beginrn ruby become,relates,1.0,
214.0,662.0,8640.0,hirnrnwe time many thing rail,8096.0,beginrna lot scenario application,relates,1.0,
1538.0,5797.0,8793.0,use thread hpux currently raise rb e,16833.0,surprising enumerator somet,independent,0.0,
790.0,684.0,8468.0,yesterday github tokyo drinkup thanks gi,16131.0,ruby taint checking originally,relates,1.0,
6.0,894.0,5064.0,currently problem netht,5461.0,beginrnthe attached patch add pip,relates,1.0,
1520.0,310.0,13488.0,currently encodingdefault external set,16604.0,issue related,relates,1.0,
403.0,6375.0,14777.0,hirnrnas mentioned,17099.0,moduleattr work moduleattr reader,independent,0.0,
293.0,3716.0,13208.0,found need recently class,6362.0,id like ask opinion adding two,independent,0.0,
618.0,628.0,8977.0,memory profiling noticed large,8976.0,yesterday facetoface developer mee,relates,1.0,
513.0,465.0,12019.0,nowadays almost every processor,8259.0,motivated gist url,relates,1.0,
1466.0,5138.0,15211.0,found integer doesnt try convert,15123.0,hirnrnwhile enumerable provide,independent,0.0,
1266.0,2708.0,9445.0,ruby first introduced support keyword,17054.0,looking pull request wondered,independent,0.0,
390.0,2078.0,12064.0,creation encunicodecasefoldh bee,11007.0,id like execute following codernrn,independent,0.0,
1217.0,2495.0,10131.0,happens often want calc,11137.0,libwebrickserverrb avoid redundant fcntl,independent,0.0,
652.0,6961.0,7644.0,upcoming feature refinement bringin,7240.0,inheritable hook mechanism module woul,independent,0.0,
852.0,50.0,16989.0,opening series feature request,16993.0,create set hash key currently impli,relates,1.0,
16.0,206.0,16166.0,parameter signature code block,4414.0,beginrn im wondering whether following,independent,0.0,
713.0,6988.0,17157.0,warning say removed ruby,16968.0,obsolete effect since,independent,0.0,
120.0,5760.0,10238.0,malloc usable size show near top,8919.0,queue class libthreadrb extthreadthrea,independent,0.0,
1059.0,263.0,14133.0,module class reopened change,14132.0,module class reopened change,relates,1.0,
879.0,343.0,12593.0,rubyrna b rnb,11955.0,need able perform logic based th,independent,0.0,
1234.0,1045.0,1279.0,beginrn please add relevant dtrace prob,2565.0,beginrn hirn rn made commit e,relates,1.0,
579.0,940.0,12447.0,sometimes want extract digit placeva,4787.0,suggest new feature integer enumerat,relates,1.0,
41.0,821.0,6817.0,know propose significa,6373.0,recently suggested extens,relates,1.0,
709.0,2847.0,16037.0,pattern matching argument seems pro,11139.0,application wanting nonblocking acce,independent,0.0,
922.0,1265.0,1377.0,beginn would like able specify fi,11785.0,propose add encoding optional argument,independent,0.0,
1081.0,2453.0,8773.0,addition bindinglocal variable ge,7055.0,beginrni propose make use self,independent,0.0,
1427.0,536.0,11105.0,support hash literal,11104.0,support hash literal,relates,1.0,
724.0,629.0,8579.0,id like propose new type string liter,8976.0,yesterday facetoface developer mee,relates,1.0,
1371.0,5164.0,16102.0,since symbol proc method n,16602.0,would make sense eval frozen stri,independent,0.0,
102.0,4672.0,10585.0,define optimized setter first,15571.0,proposalrnthe rubygem root provides,independent,0.0,
55.0,808.0,14133.0,module class reopened change,6539.0,feel inconsistency meth,relates,1.0,
912.0,772.0,7939.0,beginrni really like new assuming,6817.0,know propose significa,relates,1.0,
767.0,829.0,16960.0,obstacle preventing use nonsy,14859.0,implement timeout vmrnrnbased ug,independent,0.0,
