req1,req2,id1,id2,Label
with the rte htmlarea link popup doing an,since it is possible to use the quer,15736,22837,1
in the list view you can select to see only,situation \r\nlist view only one specific rec,40689,40690,1
following security best practices user shou,following security best practices user shou,35807,35627,1
currently it not possible to search for loca,hey guys \r\n\r\ni want to suggest new featu,89524,73665,1
to move ui elements around in the be ui it is,we need menu to clear caches all caches pa,17678,17867,1
problem \r\ncurrently the standard css styled,hi\r\n\r\nsince suppose form will be inclu,,,0
this text was response to / in,added support to clear cache only in subtrees,63011,14700,1
to improve single sign on services backport,backport openid sysext developed at hackontest,19619,19409,1
dealing with lots of images in be is quite pai,this applies to all fal capable media fields,60835,59341,1
when you lost your session you could change,as part of implemented this idea \r\npa,15631,19152,1
further information see\r\n,summary request for new field type currenc,52987,52986,1
the workspace selector is currently using lo,functionality which is not needed on system,,,0
since the standard allows the integrity attrib,in order to ensure that stylesheets and javasc,85939,87420,0
for multi language sites it is not really conv,hey guys \r\n\r\ni want to suggest new featu,46017,73665,1
the scheduler cli task should have help /,this would be nice feature it would allow,63699,31073,1
hello core team \r\n\r\nsince years it is not,problem \r\n\r\nat the moment it not possibl,56647,51137,1
related to \r\ncite \r\n it would be,was wondering why the new form content eleme,56517,45709,0
it is possible to output list of files from,fal file folders should contain an option to,67727,45725,0
as from the news from the gnu aspell project,it would be nice if index search would autode,49282,57928,1
d like to bring some crypto related code int,this is my second task for equipping wit,,,0
div geturl is know to be hudge and,in some cases it may be necessary to have an,,,0
adding placeholder attribute to the formengi,the extension tx form should allow using the,71112,61308,1
think that should have debug toolbar,it would be nice if could calculate the,,,0
this text was response to / in,added support to clear cache only in subtrees,63011,14700,1
many users want to upload lot of files in,unfortunately that is currently chrome specifi,,,0
please use gz instead of gzip for statically,make the compressed file extension configurabl,75043,93182,1
the debugexceptionhandler and productionexcept,hi folks \r\nright at this point am thinking,,,0
currently the flow does not support multi doma,it should be possible to set protoc,,,0
general problem of is the xhtml suppor,while making use of the function xmlr,,,0
adds some new possibilities to upload mu,would be nice to have an implementation of the,22004,20736,1
it must be possible to ask fluid\templateview,fluid should be the default templating engine,3385,3382,0
some type configuration could automatically ad,configure robots txt as page type for realurl,,,0
filter the workspaces changes that only the,the workspace configuration is extended by an,,,0
in order to comply with accessibility guidelin,links to prev page page next use onclick \,10667,14902,0
there are several use cases where it is necess,sometimes there may be problems with external,89457,85127,1
the confirmation page button button label an,currently it not possible anymore to change,54654,69176,1
after being able to move and rename files cre,git based documentation projects should allow,57692,57697,0
the tagging features of the file backend are,the tagging features of the file backend are,,,0
we should supply mechanism in the viewhelpe,formviewhelper needs new argument designa,,,0
now double value can only be evaluated with,hi \r\n\r\nit would be nice if there would be,14850,15081,0
we have few functions to deal with ip addres,feature add anonymizing capabilities to the,25336,25404,1
hi \r\n\r\ni suggest to cross the apparence an,the use of settings in the appearance tab ar,28226,27345,0
our current brute force protection is non exis,it possible to attack the server and try to,,,0
the tagbuilder should allow access to the attr,as developer for viewhelpers would like to,,,0
when using the propertymapper it is useful to,settings allowed properties on the configurati,,,0
add an option to prepend the currency sign,the format currency viewhelper currently only,36014,33143,0
to be able to version the configuration and re,here longer term idea proposal move all,,,0
see,the base for the new layout \r\n,13199,13198,1
locale dependent messages texts will be stor,hi \r\n\r\n first sorry for my bad english,,,0
above the pagetree there are icons for inserti,this feature request is result from ge,29105,25183,1
with more complicated permissions and owner,if want to edit for number of nested level,,,0
when you log into the install tool the passwo,as we have an rsaauth library now and servic,21423,22245,1
to move ui elements around in the be ui it is,need to add the workspace selector to the clea,17678,17795,1
if you try to add tables with type innodb this,if you try to add tables with type innodb this,14335,14334,0
the forgot password template can only be cha,ext sr feuser register and others add new fiel,19329,17055,1
hey world \r\n\r\nwhile working with res,sometimes have contents with restricted ac,78373,52225,0
there are flag icons for serbia and romania,hi \r\n\r\nthe faroese flag is missing from th,21765,19627,1
admin tools db check provides task to mana,this bug entry serves as an umbrella for sched,,,0
am looking for way to change the label of,for the release would like to propose,15801,15893,1
it is difficult to eliminate unwanted br tag,it would be much easier to style the map when,46735,46733,1
problem \r\ncurrently the standard css styled,problem \r\ncurrently the standard css styled,13230,13229,1
for the new workspaces module some functionali,integrate new workspace module based on extjs\,,,0
this text was response to / in,currently most actions in the tstemplate modul,63011,60045,1
the ts debugger in adminpanel fe has an opti,database structure should be optimized,,,0
if you are trying to build link in fluid,developers having hard time figuring out wha,37765,30777,1
configure robots txt as page type for realurl,some type configuration could automatically ad,64157,66151,1
if you use the wizard add feature in the tc,it is not possible to make fields at edit pag,25049,14669,1
for easier usage the behaviour should be norm,it would be really nice to have keyboard co,57065,5390,1
based on the existing typolink view helper th,on many requests there should be viewhelper,62931,59396,1
task has been introduced to execute the syst,as part of the self monitoring core need,,,0
should be great to be able to declare head,it should be possible to configure the pageren,,,0
installations with extensive gmenus and rollov,when using layermenus you are confronted with,,,0
currently it is not possible to copy single,currently all actions to the clipboard are rou,31377,32152,1
the title of records displayed in the list mod,it doesn respect the user preference title,17386,18999,0
hi \r\n\r\nin revision added support,beispiel das wort telefon \r\n\r\nich möchte,2733,2042,1
clear the first available cache for administr,it would be amazing to have keyboard shortcuts,43165,42966,1
in boolean viewhelper attributes like the i,currently the eel parser regex doesn recogn,,,0
the fluid viewhelper passwordviewhelper should,if you need compact formular one possible wa,64531,53406,1
an alternative to regularly executing the sche,an alternative to executing the scheduler via,39939,34227,1
only say parsefunc as not sure where thi,my editors create lot of empty paragraphs li,20555,39676,1
it should be possible to shorten the link or,the forgot password template can only be cha,34130,19329,1
when using layermenus you are confronted with,the onclick popup for images in extensions nee,,,0
currently with fal there is no possibility to,actually use with dam because of,66514,56133,1
hallo \r\ni have created patch for media con,the video tag has the possibility to add,63395,67455,1
local extension \r\n only active/inactive/upd,it would be nice to have an filter to see onl,,,0
m currently putting an package tog,currently provides command line interf,7216,4469,1
usability feature \r\n\r\nproblem \r\nactual,when the user select sysfolder in the page,64406,39051,0
it quite some work to add like alternativ,domain handling could be improved and simplifi,34342,50319,1
currently there is only postprocessor to do,there are no options to set subject for the,44482,38094,0
if you insert image in rte miss the option,feature request \r\n\r\nthe ability to add,20188,16918,0
as complicated as it is easy to say hollow ou,the information around an error templating ta,69863,49903,1
hello \r\n\r\nwe are still sitting on but,having system with thousands of pages makes,59502,29342,1
hi \r\n\r\nthe current system to browse record,my wishlist show file creation date,64764,79679,1
please add categories palette from,hi \r\n\r\nhaving enabled categories tab in ba,,,0
in order to be able to load pagetsconfig fil,just like the inclusion of typoscript static,68313,68315,1
sometimes it is needed or can be very helpful,in order to allow powerful processing for flui,,,0
it would be really nice to have possibility,when the slug changes for example because one,87341,86495,0
cms is allowing user to set custom,general problem of is the xhtml suppor,,,0
hello \r\n\r\nin repository will sort the,hi there\r\n\r\nit would be nice to be able to,,,0
usually when upgrading from one version,we need concept and implementation for flush,,,0
fluid and extbase are now ready to be included,for the upcoming extbase object relational map,20441,20242,1
similar to the already existing task that remo,didn find any recycler project here on for,60223,32651,0
in are no flags for turkey an,there are flag icons for serbia and romania,,,0
if you have configured newrecordlinkposition,the current implementation always adds new irr,23954,24019,1
currently the menu in the left frame uses pa,since palettes open inline this,,,0
variants allow you to change properties of f,is known for its good multilanguage supp,,,0
the attached patch implements autoloading for,in every class instances are done throug,19503,18548,0
if be user opens page with doctype sysfold,dear people and community \r\n\r\nthere is oft,36705,29790,1
we need replacement for the lazy loading tha,it should be possible to count objects in re,6120,3337,0
sometimes you need to set multiple headers of,this patch adds stdwrap to config additionalhe,56236,23494,0
scenario \r\n\r\nthe developer programmed,we need mechanism which prevents the user fr,,,0
it might be useful to set the target language,this is kind of follow up of ticket,84656,90825,1
at this moment the exclusion of any kind of di,when browsing filesystem mount by means of,22968,17378,0
for each record in the databse the list module,like to give some be users the possibility,21928,16061,1
hi \r\n\r\nthis old trick from my weblog in,what about adding browse link wizard for ext,20183,17914,0
similar to the already existing task that remo,didn find any recycler project here on for,60223,32651,0
right now if page is deleted inside your sit,when change page alias have to find,,,0
with stdwrap it not possible yet to do orde,it would be very nice to be able to replace,,,0
refactor tslib gifbuilder calcoffset to be,imagine you ve two different and dynamically,,,0
if an editor selects one language it would be,for multi language sites it is not really conv,,,0
for custom applications the bundled validators,right now it not possible to display transla,,,0
hi \r\n\r\nthe current system to browse record,when you have lot of files in directory an,,,0
this change,all elements in can have any number of,61171,35748,1
the locate function isn supported in dbal \r,in order to support new feature of templavoilà,21902,21903,1
hello core team \r\n\r\nsince years it is not,problem \r\n\r\nat the moment it not possibl,56647,51137,1
when you log into the install tool the passwo,to enhanced the security change install tool,21423,50613,1
the user information in the beuser module is,with the rewrite of the module be user adminis,90298,52141,1
those urls get mangled rte and possibly part,it would be fine if editor can set in rtehtml,,,0
have ideas for improving relations part \r,all versions since ages \r\n\r\nhi \r\n,15112,48933,1
it would be very usefull if the form objects,the extension tx form should allow using the,63391,61308,1
we should provide generic routepart handler,we need new entity redirect in mvc/web/ro,8736,29972,1
the attached patch implements autoloading for,requirements and ideas for autoloading in typo,19503,19192,0
use case \r\nwe would like customize the csv,when create task sql query and make,85590,71321,1
this bug entry serves as an umbrella for sched,it easy to have trashes within fileadmin \r\,25338,25342,1
it would be nice if it could have section in,hi \r\n\r\nwhen you add section and into it,,,0
hi \r\n\r\nplease add the serbian flag in the,not bug but very simple feature request wi,20709,18860,1
in the installed extensions or loaded extensio,attached diff file integrates the ter update,16571,16884,0
keep backend preview templates feature but do,want to display not entries on section,74500,73597,1
would like to see hook added for checking,admins should be able to define password pol,37800,80793,1
in list or filelist you currently see that,in the filelist when clicking on the ref co,33808,23623,0
currently there is no way to controll concuren,it would be great if two persons with differ,21662,18783,1
see number in,hi folks and core team \r\n\r\ni’m worki,79889,79795,1
currently you can only place real images int,the multimedia ce is bit outdated and doesn,17854,20284,1
cldr data contains information in xml format,hi \r\n\r\n first sorry for my bad english,,,0
some users simple redactors don know what,hey there \r\n\r\nis there solution for the,,,0
to retrieve one single object from repositor,the base repository should provide some magic,1677,2603,1
current row should be part of cobj data \r\n\,flip it can used by tt content \r\nit should,,,0
would like to see hook added for checking,currently there is no way to configure minim,,,0
this feature see attached patch depends on,in the web page columns view each tt content,18595,17568,1
as complicated as it is easy to say hollow ou,in extbase have scenario where have to,69863,70036,1
in the different modules there still are the,introduces several page tsconfig settings to,,,0
to view syslog calls in the backend log mo,to view syslog calls in the backend log mo,20590,20591,0
website should be made to deliver the best,perhaps we should start with an example before,,,0
feature add anonymizing capabilities to the,we have few functions to deal with ip addres,,,0
in cases where tca related inline to different,there exist cases when many child records are,,,0
problem \r\ncurrently password transmission an,problem currently backend and frontend login,30271,20382,1
if use include typoscript source= file ext,pre include typoscript source= file filead,69789,16525,1
since the viewpage module shows sele,usability and of viewpage module should be imp,,,0
tried to use the new way to handle restric,noticed that only pages and language tab,,,0
hello \r\n\r\nsometimes it is necessary to use,this threat is associated to the ticket \r\n\r,11740,34944,1
for the upcoming extbase object relational map,fluid and extbase are now ready to be included,,,0
hi \r\n\r\n first sorry for my bad english,locale dependent messages texts will be stor,6724,7723,1
due to limited support in browsers or restrict,the rest controller provided by should,47137,37604,1
add wincache as an option for the cache backend,wincache is memory key value cache similar,,,0
hi \r\n\r\nit would be great if like in the,it should be nice if you can use drag and drop,46437,63315,1
an alternative to executing the scheduler via,an alternative to regularly executing the sche,,,0
in order to streamline conditions and make\r\n,in typoscripts userfunc condition userfunc =,,,0
hi \r\nin the be filelist module we can upload,many users want to upload lot of files in,80378,20558,1
to lower the entry level the workspace module,it would be great for user experience if it wa,89209,65249,0
patch attached it uses the same extension as,add flags for all languages supported by,6969,49108,1
currently cms has no easy/working way fo,think should be the default output for,61799,49547,1
we have multiple servers with multiple inst,it should be possible to assign testgroups or,27744,7365,0
it is sometimes useful to be able to specify,sometimes it nice to put smaller image on,20041,14777,0
atm meta tags are added with complete html tag,note this issue came about from issue,,,0
during the it was defined that we only,similar to the search in ext recordlist the se,,,0
currently most actions in the tstemplate modul,added support to clear cache only in subtrees,60045,14700,1
selicons are missing for the flag selector box,the title says all which is to say\n\n\n\nthe,,,0
if you try to add tables with type innodb this,if you try to add tables with type innodb this,14335,14334,0
maybe dbal could provide table prefixing eg,hello guys \r\n\r\nduring my work for ext piwi,16034,33136,1
imagine the following scenario crea,gather all ces which are not assigned to val,,,0
the taskcenter is redone completly to make it,as the taskcenter also the sys action extensi,,,0
the patch,the patch,,,0
here longer term idea proposal move all,to be able to version the configuration and re,80212,92431,1
it is not possible to remove slot from sig,the extbase signal/slot dispatcher should al,,,0
use javascript event handler onkeypress to,during entry of password data into password fi,19256,80791,1
in typoscripts userfunc condition userfunc =,in order to streamline conditions and make\r\n,20450,61489,1
this feature is already commited to,there is continous demand for prepending the,46081,44235,0
dates have to be entered like this,the current date/datetime fields of core,,,0
the stdwrap select function used by the conte,it can be very useful to have stdwrap for max,15059,18617,0
add view helper so that markers in the form,the current marker templating system collected,,,0
to let people experience the new translation,once the integration is done and stable backp,,,0
it should be possible to add plugin to htmla,htmlarea rte has been using its own handling,,,0
regarding this tweet,this feature request is related to,86548,86549,1
the base for the new layout \r\n,see,,,0
using latest firefox after the auto logout th,as part of implemented this idea \r\npa,19586,19152,1
registering plugins based on tt conent became,think it is too much boiler plate to registe,,,0
the filelist shows files at once but the,usually file layers like the linux file system,,,0
when updating an url segment from /parent pag,situation \r\n\r\n did fresh install,,,0
it should be nice if you can use drag and drop,now that drag drop for content elements in,,,0
when updating an url segment from /parent pag,situation \r\n\r\n did fresh install,,,0
would be nice to have an implementation of the,adds some new possibilities to upload mu,,,0
use cases are \r\n\r\n kriss toff,have one tree installation with two langua,88818,91619,1
objects yaml should allow for adding and ove,when classes are extended inheritance should,,,0
this is new feature request for replace,actually use with dam because of,67732,56133,0
as part of implemented this idea \r\npa,using latest firefox after the auto logout th,,,0
it would be nice if one could setup via typos,problem \r\npasswords of backend users are sto,14863,21152,1
currently the breakwidth property of gifbuilde,there are lots of parameters in gifbuilder tha,22482,24090,1
extend persistedusernamepasswordprovider wit,it would be nice having proof cookie authent,46063,30378,1
with more complicated permissions and owner,if want to edit for number of nested level,,,0
it should be possible to register custom views,currently the charts are created equally for,4718,4894,1
in my rfc proposed notexistsvalidat,very basic requirement for most registration,,,0
the forgot password template can only be cha,ext sr feuser register and others add new fiel,19329,17055,1
htmlarea rte has been using its own handling,it should be possible to add plugin to htmla,17763,17714,1
there is no sprite generator shipped with typo,does not generate sprites on its own,,,0
for sensitive data or other purposes it would,actual use case is amazon aws where stuff lik,,,0
it might be useful to set the target language,this is kind of follow up of ticket,84656,90825,1
hi team \r\n\r\nin one of our current pr,to modify or evaluate the returned values for,49309,39016,0
currently the repositories are all flushed on,routes need an option to be limited to certain,28136,27117,1
sometimes it necessary to include dynamic,in boolean viewhelper attributes like the i,,,0
fluid parsing exceptions should contain the pa,currently if viewhelper throws an exception,4704,9211,1
in the only thing an editor could do here,modes = notify someone current,,,0
fluid parsing exceptions should contain the pa,currently if viewhelper throws an exception,4704,9211,1
currently when using the standard pagetitle th,when using config pagetitlefirst the title se,31319,17030,0
currently the submitted data of the form is on,to be able to use ext form just as it is js,,,0
there are some tasks which could be improved,result of the workshop implementing reponsiv,,,0
similar to there should be way to decl,it should be possible to define additional val,3153,3092,1
see mailinglist thread about limitations in,allow fluid arrays only in viewhelper argument,,,0
browser for references stored in any documen,intersphinx mapping could easily be achieved,,,0
currently there is no way to configure minim,would like to see hook added for checking,21659,37800,1
hi \r\n\r\nit would be nice to have possibil,initial situation \r\ni have menu point in,81379,17406,1
we need to monitor the settings or probably,if class containing route part handler is,5849,3306,1
the hmenu should be extended to support the au,introduce new language menu processor which,84775,84650,1
imagine the following structure of deleted pag,imagine record is still available in the dat,1835,1834,1
when you select row of cells it would seem,the following would make life easier for autho,15537,18308,1
in an attempt to bring self monitoring to typo,task has been introduced to execute the syst,24009,24572,1
flag for user that the password neeeds to,flag for user that the password neeeds to,59074,59073,1
have an format case viewhelper with the op,would like to see viewhelpers for strtolow,44572,27091,0
don see possibility to add existing reco,currently it only possible to create compl,16400,18968,1
hi \r\n\r\nfor cms reimplemented the,it would be nice if packages are bootstrapped,,,0
little usability improvement would be if you,as reported in issue \r\n\r\na typical,22858,22859,1
it would be nice if we could extract the class,have created an additional date field in my,25925,25668,0
widget which shows the content going offline,and now new idea widget which show the re,35348,36248,1
locale detection can be done in web applicatio,hi \r\n\r\n first sorry for my bad english,7720,6724,1
atm the list shows only extension key title,it would be great if the extensionmanager woul,20416,17114,0
now finally the property mapper needs to suppo,the mvc framework needs to support file / mult,5660,342,1
it missing sort direction field for fileli,when creating file links ce and adding f,65403,56213,0
fluid and extbase are now ready to be included,propose to have method to register new,20441,20436,1
the titlelen cannot be set anywhere \r\n\r\nit,it doesn respect the user preference title,15482,18999,0
while editing records based on irre the curren,there exist cases when many child records are,,,0
parsing of body arguments xml json cur,the rest controller provided by should,45293,37604,1
for certain configuration would like to di,this is better solution for bug it of,,,0
right now if page is deleted inside your sit,when change page alias have to find,,,0
having system with thousands of pages makes,hello \r\n\r\nwe are still sitting on but,,,0
stores date and date/time values as un,since has been committed to core dbal,38965,38974,0
the feature of localized is already documented,the default behavior for the resourceviewhelpe,39792,32339,0
hi \r\n\r\nit would be great if we add an opti,similar to mod web list enableclipboard the,63805,63496,0
the messages congrats this page will look li,if field type slug is used in custom records,89574,89573,1
all the best and hope all is good on your si,we have the current situation \r\n we have,,,0
when updating models property wich is used,we need new entity redirect in mvc/web/ro,37405,29972,1
actual use case is amazon aws where stuff lik,for sensitive data or other purposes it would,45851,26783,1
now that drag drop for content elements in,hi \r\n\r\nit would be great if like in the,43134,46437,1
hi \r\n\r\nplease add the serbian flag in the,in are no flags for turkey an,20709,19093,1
hi \r\n\r\ni use sr feuser register an,in the setfix process once user has confirm,75723,46438,0
currently multiple records are shown one after,tceforms has the so called multi record edit,9063,53941,1
very common grinch is the access rights of,setfilepermissions sh only works if the curren,4445,4279,1
in pbsurvey issue new question type,new question type needs to be added called,53837,53835,1
the base repository should provide some magic,to retrieve one single object from repositor,,,0
if class schema exists and the type is set,it should be possible to set identity and iden,,,0
i would suggest to deprecate the following pag,introduce fallback site configuration to be,93170,93171,1
add option to exclude pages from speaking ur,in order to allow custom specifics for website,87844,88198,1
the workspace configuration is extended by an,filter the workspaces changes that only the,65720,15459,1
usually file layers like the linux file system,the filelist shows files at once but the,60221,66466,1
now that drag drop for content elements in,hi \r\n\r\nit would be great if like in the,43134,46437,1
whenever one is going to activate buttone,just usability suggestion which would correc,72908,75462,1
hi \r\n\r\nthe current system to browse record,hi team \r\n\r\nno pagination available on htt,64764,23631,1
hi there \r\n\r\ni am missing dopdown field,problem/description\r\n\r\nit would be nic,,,0
the row details view in the workspaces module,it is currently not possible to customize the,27442,12868,0
it would be really nice to have keyboard co,at the we get the feedback that hotke,,,0
is is possible to support lll markers in this,please reopen from,15760,92337,0
it would be nice to make something like this,typoscript option subjectfield wrap would be,,,0
it should be possible to set the title of the,make it possible to define the site title in,89502,85592,0
hi \r\n\r\ni was playing around with the new,hallo \r\ni have created patch for media con,,,0
as we have an rsaauth library now and servic,to enhanced the security change install tool,22245,50613,1
idea add filter options to,due to the var dump drawback that sometimes th,36955,33493,1
this makes sense for cli and for the be module,\r\nthe following command\r\n\r\n pre \r\ncli,4112,4108,0
the login error or session timed out page,as part of implemented this idea \r\npa,15422,19152,1
extbase fluid got boolean viewhelper your,added validator which validates boolean tr,45976,45553,0
this is lacking feature that me and probably,for now under the page tree we have only opt,,,0
hi team \r\n\r\nin one of our current pr,to modify or evaluate the returned values for,49309,39016,0
the patch,the nonrelationtables and nonrelationfields,,,0
to ease using the backend to newcomers of typo,the livesearch the search in the topbar coul,92009,92008,1
the search result has path with the pagetree,the result of an indexed search search shows,,,0
in boolean viewhelper attributes like the i,to make eel available in fluid templates eel,,,0
the livesearch the search in the topbar coul,to ease using the backend to newcomers of typo,,,0
adodb supports memcache for queries,prepared queries would help take better advant,,,0
add support to reference file wirh ext syntax,currently the svg content object renders svg,82108,82091,1
admins should be able to define password pol,would like to see hook added for checking,,,0
as we have an rsaauth library now and servic,when you log into the install tool the passwo,,,0
during the first prototype of the so,it would be nice to be able to layout the colu,24060,23905,0
extracted from issue conte,what is your opinion about introducing,,,0
hi \r\n\r\nthe faroese flag is missing from th,there are flag icons for serbia and romania,,,0
add an option to prepend the currency sign,the format currency viewhelper currently only,36014,33143,0
introduce fallback site configuration to be,i would suggest to deprecate the following pag,,,0
hi\r\n\r\nsince suppose form will be inclu,problem \r\ncurrently the standard css styled,12958,13229,1
introduces several page tsconfig settings to,in the different modules there still are the,18879,23506,1
the stdwrap select function used by the conte,it can be very useful to have stdwrap for max,15059,18617,0
when using layermenus you are confronted with,installations with extensive gmenus and rollov,15889,17035,1
similar to there should be way to decl,it should be possible to define additional val,3153,3092,1
today there no possibility to get flow worki,d like new session implementation which\r\,,,0
this patch add unicode detection for oracle da,thish is patch to begin adding oracle suppor,79900,79899,1
this is primarily intended to be used with,instead of evaluating google analytics code ri,62023,28382,1
annoy user with warning so that she changes,it would be great to add check/warning for the,,,0
pre include typoscript source= file filead,if use include typoscript source= file ext,,,0
the file object always iterates over everythin,the references property needs some more opti,52632,44113,0
hi \r\n\r\nthe current system to browse record,so im using now for few months and int,,,0
it would be great if there possiblity to,to manipluate general properties like lang xm,15810,15561,1
copyreferencefields\r\n\r\n key datatyp,at the moment there is no way to duplicate an,,,0
can an option for column properties be added,the following would make life easier for autho,15536,18308,1
with new feature for correlation ids,the record history needs correlation id to,89292,89143,1
the taskcenter is redone completly to make it,as the taskcenter is done new the impexp exte,,,0
it is possible to make an instance of dce us,hi \r\n\r\ni needed one ce to be loaded via ty,40957,40889,1
note this issue came about from issue,atm meta tags are added with complete html tag,52471,22992,1
an rte for the message in the confirmation fin,finisher „summary“ wich is the same as the,,,0
initial situation \r\ni have menu point in,hi \r\n\r\nit would be nice to have possibil,,,0
currently it is not possible to get an has,an implementation is already pending for,,,0
this feature see attached patch depends on,in the web page columns view each tt content,18595,17568,1
various application parts need prominent pla,in order to cleanly separate between the domai,36565,35243,1
some websites set cookies and redirect to othe,wikipedia and also out own wiki org redi,,,0
we can modify pages types allowedtabl,tsconfig mod web list allowednewtables allows,17950,17039,0
sphinx contrib,since compilation of ext sphinx manual,51850,51874,0
alloweditems can currently only be modified th,there is already functionality in place to fet,34031,34028,1
at the moment there is no way to duplicate an,copyreferencefields\r\n\r\n key datatyp,66840,66862,1
the list module has great mass edit function,image you drag drop many files in the fileli,60907,58628,1
on validation errors extbase forwards to the,when validation error happens during form su,77025,70384,1
it be useful to have way to automatically,serializing is not clean at all and can potent,,,0
it often useful to set default email from,currently there no way to avoid that insta,22447,22212,1
as an editor want read important instructio,as page may contain lot of records the dis,83965,61170,0
not sure if in the right category and ther,suggestion for don know if som,77842,67750,1
add hook signal or configuration options th,would like to provide different image crop,72619,72620,1
it would be more safe when all class names get,it is difficult to eliminate unwanted br tag,46734,46735,1
is known for its good multilanguage supp,variants allow you to change properties of f,83673,84133,1
update the caching framework to version,the tagging features of the file backend are,39430,36563,1
for multi language sites it is not really conv,currently it not possible to search for loca,,,0
functionality which is not needed on system,the workspace selector is currently using lo,19473,19474,1
currently the method process in fluidtemplated,sometimes it is needed or can be very helpful,67890,66907,1
it would be really nice to have possibility,situation \r\n\r\n did fresh install,87341,86937,1
please add the following options for the curl,curl allows \r\ncurlopt proxytype \teither cur,,,0
